curve,m_phi_GeV,gamma_GeV
4pi_etaeta_rhorho_extra,6.1529156092e-01,5.0125134253e-10
4pi_etaeta_rhorho_extra,6.1786323915e-01,5.1753756465e-10
4pi_etaeta_rhorho_extra,6.2213866565e-01,5.4423902956e-10
4pi_etaeta_rhorho_extra,6.2633918789e-01,5.7061268386e-10
4pi_etaeta_rhorho_extra,6.3095392049e-01,5.9941327313e-10
4pi_etaeta_rhorho_extra,6.3528460241e-01,6.2658796449e-10
4pi_etaeta_rhorho_extra,6.4000084044e-01,6.5653227035e-10
4pi_etaeta_rhorho_extra,6.4468036936e-01,6.8629647915e-10
4pi_etaeta_rhorho_extra,6.4906918014e-01,7.1435806970e-10
4pi_etaeta_rhorho_extra,6.5385138244e-01,7.4531262025e-10
4pi_etaeta_rhorho_extra,6.5833923517e-01,7.7479568753e-10
4pi_etaeta_rhorho_extra,6.6278416503e-01,8.0390131923e-10
4pi_etaeta_rhorho_extra,6.6766741639e-01,8.3623668736e-10
4pi_etaeta_rhorho_extra,6.7221270724e-01,8.6672613478e-10
4pi_etaeta_rhorho_extra,6.7720309284e-01,9.0062805819e-10
4pi_etaeta_rhorho_extra,6.8211670303e-01,9.3426149469e-10
4pi_etaeta_rhorho_extra,6.8676037032e-01,9.6646899994e-10
4pi_etaeta_rhorho_extra,6.9182027321e-01,1.0017067576e-09
4pi_etaeta_rhorho_extra,6.9656872386e-01,1.0355770021e-09
4pi_etaeta_rhorho_extra,7.0173992412e-01,1.0726482786e-09
4pi_etaeta_rhorho_extra,7.0687087405e-01,1.1100996899e-09
4pi_etaeta_rhorho_extra,7.1168306108e-01,1.1454353396e-09
4pi_etaeta_rhorho_extra,7.1696645724e-01,1.1846702626e-09
4pi_etaeta_rhorho_extra,7.2188751417e-01,1.2221190513e-09
4pi_etaeta_rhorho_extra,7.2680193045e-01,1.2594085764e-09
4pi_etaeta_rhorho_extra,7.3211612761e-01,1.3008826292e-09
4pi_etaeta_rhorho_extra,7.3714116763e-01,1.3400040400e-09
4pi_etaeta_rhorho_extra,7.4261355981e-01,1.3835422089e-09
4pi_etaeta_rhorho_extra,7.4800178205e-01,1.4272775684e-09
4pi_etaeta_rhorho_extra,7.5309396653e-01,1.4689470172e-09
4pi_etaeta_rhorho_extra,7.5864260111e-01,1.5150590701e-09
4pi_etaeta_rhorho_extra,7.6389218904e-01,1.5589588935e-09
4pi_etaeta_rhorho_extra,7.6900701970e-01,1.6027636489e-09
4pi_etaeta_rhorho_extra,7.7467289824e-01,1.6513154592e-09
4pi_etaeta_rhorho_extra,7.7994666324e-01,1.6977152236e-09
4pi_etaeta_rhorho_extra,7.8573683506e-01,1.7491433599e-09
4pi_etaeta_rhorho_extra,7.9117390727e-01,1.7979086944e-09
4pi_etaeta_rhorho_extra,7.9651570119e-01,1.8468522417e-09
4pi_etaeta_rhorho_extra,8.0238425778e-01,1.9011763878e-09
4pi_etaeta_rhorho_extra,8.0789159857e-01,1.9529311385e-09
4pi_etaeta_rhorho_extra,8.1388922813e-01,2.0103755372e-09
4pi_etaeta_rhorho_extra,8.1984019790e-01,2.0677457003e-09
4pi_etaeta_rhorho_extra,8.2542144974e-01,2.1226769914e-09
4pi_etaeta_rhorho_extra,8.3150296584e-01,2.1832520246e-09
4pi_etaeta_rhorho_extra,8.3725673839e-01,2.2412518321e-09
4pi_etaeta_rhorho_extra,8.4290967122e-01,2.2993215587e-09
4pi_etaeta_rhorho_extra,8.4907281966e-01,2.3634256152e-09
4pi_etaeta_rhorho_extra,8.5490061765e-01,2.4246608041e-09
4pi_etaeta_rhorho_extra,8.6124723301e-01,2.4922593988e-09
4pi_etaeta_rhorho_extra,8.6749623215e-01,2.5606505023e-09
4pi_etaeta_rhorho_extra,8.7340191347e-01,2.6253162580e-09
4pi_etaeta_rhorho_extra,8.7983693864e-01,2.6973587761e-09
4pi_etaeta_rhorho_extra,8.8587589292e-01,2.7660665869e-09
4pi_etaeta_rhorho_extra,8.9245246267e-01,2.8419714999e-09
4pi_etaeta_rhorho_extra,8.9897786863e-01,2.9180924720e-09
4pi_etaeta_rhorho_extra,9.0514820090e-01,2.9911474746e-09
4pi_etaeta_rhorho_extra,9.1181713842e-01,3.0712640604e-09
4pi_etaeta_rhorho_extra,9.1812664996e-01,3.1481537429e-09
4pi_etaeta_rhorho_extra,9.2432559473e-01,3.2255926630e-09
4pi_etaeta_rhorho_extra,9.3113582717e-01,3.3105771668e-09
4pi_etaeta_rhorho_extra,9.3752688266e-01,3.3920115961e-09
4pi_etaeta_rhorho_extra,9.4448689928e-01,3.4821230524e-09
4pi_etaeta_rhorho_extra,9.5133986506e-01,3.5731046619e-09
4pi_etaeta_rhorho_extra,9.5781631768e-01,3.6586563431e-09
4pi_etaeta_rhorho_extra,9.6487330257e-01,3.7542504499e-09
4pi_etaeta_rhorho_extra,9.7154994745e-01,3.8457784469e-09
4pi_etaeta_rhorho_extra,9.7810959199e-01,3.9370195583e-09
4pi_etaeta_rhorho_extra,9.8526130307e-01,4.0381649647e-09
4pi_etaeta_rhorho_extra,9.8734561865e-01,4.0675379154e-09
4pi_etaeta_rhorho_extra,9.8745543413e-01,4.0692722700e-09
4pi_etaeta_rhorho_extra,9.9933287938e-01,4.2419834246e-09
4pi_etaeta_rhorho_extra,1.0000000000e+00,4.2510355175e-09
4pi_etaeta_rhorho_extra,1.0062479746e+00,4.3435502266e-09
4pi_etaeta_rhorho_extra,1.0130982261e+00,4.4456530448e-09
4pi_etaeta_rhorho_extra,1.0205625307e+00,4.5598656813e-09
4pi_etaeta_rhorho_extra,1.0275673714e+00,4.6670533762e-09
4pi_etaeta_rhorho_extra,1.0351958458e+00,4.7869539769e-09
4pi_etaeta_rhorho_extra,1.0427649435e+00,4.9067960166e-09
4pi_etaeta_rhorho_extra,1.0498638071e+00,5.0221389216e-09
4pi_etaeta_rhorho_extra,1.0575989782e+00,5.1489662292e-09
4pi_etaeta_rhorho_extra,1.0649172580e+00,5.2700020604e-09
4pi_etaeta_rhorho_extra,1.0721072935e+00,5.3915835570e-09
4pi_etaeta_rhorho_extra,1.0800063498e+00,5.5253847230e-09
4pi_etaeta_rhorho_extra,1.0873587274e+00,5.6540633604e-09
4pi_etaeta_rhorho_extra,1.0954310820e+00,5.7956136006e-09
4pi_etaeta_rhorho_extra,1.0999483721e+00,5.8764743493e-09
4pi_etaeta_rhorho_extra,1.1034406050e+00,5.9381755958e-09
4pi_etaeta_rhorho_extra,1.1108907557e+00,6.0738773990e-09
4pi_etaeta_rhorho_extra,1.1191377918e+00,6.2246108281e-09
4pi_etaeta_rhorho_extra,1.1268192402e+00,6.3682159583e-09
4pi_etaeta_rhorho_extra,1.1344272213e+00,6.5123569816e-09
4pi_etaeta_rhorho_extra,1.1427218907e+00,6.6711271538e-09
4pi_etaeta_rhorho_extra,1.1505012180e+00,6.8235790611e-09
4pi_etaeta_rhorho_extra,1.1590423310e+00,6.9914268338e-09
4pi_etaeta_rhorho_extra,1.1669976563e+00,7.1527228230e-09
4pi_etaeta_rhorho_extra,1.1749422629e+00,7.3130617830e-09
4pi_etaeta_rhorho_extra,1.1835989851e+00,7.4913530041e-09
4pi_etaeta_rhorho_extra,1.1916565921e+00,7.6609156092e-09
4pi_etaeta_rhorho_extra,1.2005699951e+00,7.8493607833e-09
4pi_etaeta_rhorho_extra,1.2092810199e+00,8.0390131923e-09
4pi_etaeta_rhorho_extra,1.2175134802e+00,8.2192196741e-09
4pi_etaeta_rhorho_extra,1.2265520627e+00,8.4196028728e-09
4pi_etaeta_rhorho_extra,1.2349707725e+00,8.6101763668e-09
4pi_etaeta_rhorho_extra,1.2433089638e+00,8.7994338590e-09
4pi_etaeta_rhorho_extra,1.2523997513e+00,9.0120414682e-09
4pi_etaeta_rhorho_extra,1.2609958544e+00,9.2140598313e-09
4pi_etaeta_rhorho_extra,1.2703572596e+00,9.4366854300e-09
4pi_etaeta_rhorho_extra,1.2795746428e+00,9.6605703083e-09
4pi_etaeta_rhorho_extra,1.2882856432e+00,9.8750213363e-09
4pi_etaeta_rhorho_extra,1.2977774551e+00,1.0111461283e-08
4pi_etaeta_rhorho_extra,1.3066850174e+00,1.0335921455e-08
4pi_etaeta_rhorho_extra,1.3163856108e+00,1.0585652924e-08
4pi_etaeta_rhorho_extra,1.3260106989e+00,1.0836796997e-08
4pi_etaeta_rhorho_extra,1.3350378236e+00,1.1077358598e-08
4pi_etaeta_rhorho_extra,1.3449488839e+00,1.1342586388e-08
4pi_etaeta_rhorho_extra,1.3542555421e+00,1.1594375166e-08
4pi_etaeta_rhorho_extra,1.3633991315e+00,1.1849228010e-08
4pi_etaeta_rhorho_extra,1.3733679711e+00,1.2127765039e-08
4pi_etaeta_rhorho_extra,1.3827943841e+00,1.2396984308e-08
4pi_etaeta_rhorho_extra,1.3930599798e+00,1.2693808205e-08
4pi_etaeta_rhorho_extra,1.4032457121e+00,1.2989429600e-08
4pi_etaeta_rhorho_extra,1.4127986319e+00,1.3274946037e-08
4pi_etaeta_rhorho_extra,1.4232078085e+00,1.3586997085e-08
4pi_etaeta_rhorho_extra,1.4329763083e+00,1.3888609246e-08
4pi_etaeta_rhorho_extra,1.4426514003e+00,1.4187840715e-08
4pi_etaeta_rhorho_extra,1.4531997129e+00,1.4518256080e-08
4pi_etaeta_rhorho_extra,1.4631740687e+00,1.4837377965e-08
4pi_etaeta_rhorho_extra,1.4739544210e+00,1.5186156735e-08
4pi_etaeta_rhorho_extra,1.4841537603e+00,1.5523267984e-08
4pi_etaeta_rhorho_extra,1.4942574804e+00,1.5857718338e-08
4pi_etaeta_rhorho_extra,1.5052668272e+00,1.6230482010e-08
4pi_etaeta_rhorho_extra,1.5155985570e+00,1.6583703787e-08
4pi_etaeta_rhorho_extra,1.5268500649e+00,1.6977152236e-08
4pi_etaeta_rhorho_extra,1.5380140394e+00,1.7368823350e-08
4pi_etaeta_rhorho_extra,1.5484844258e+00,1.7746819664e-08
4pi_etaeta_rhorho_extra,1.5598933265e+00,1.8160118771e-08
4pi_etaeta_rhorho_extra,1.5706873383e+00,1.8559290448e-08
4pi_etaeta_rhorho_extra,1.5812921977e+00,1.8955111511e-08
4pi_etaeta_rhorho_extra,1.5928542404e+00,1.9396550079e-08
4pi_etaeta_rhorho_extra,1.6037871458e+00,1.9814450682e-08
4pi_etaeta_rhorho_extra,1.6156933485e+00,2.0280224335e-08
4pi_etaeta_rhorho_extra,1.6274164009e+00,2.0748100052e-08
4pi_etaeta_rhorho_extra,1.6384954146e+00,2.1190602692e-08
4pi_etaeta_rhorho_extra,1.6505674969e+00,2.1684102786e-08
4pi_etaeta_rhorho_extra,1.6618965298e+00,2.2151288939e-08
4pi_etaeta_rhorho_extra,1.6743272294e+00,2.2671994101e-08
4pi_etaeta_rhorho_extra,1.6865695227e+00,2.3195049238e-08
4pi_etaeta_rhorho_extra,1.6980512108e+00,2.3694788883e-08
4pi_etaeta_rhorho_extra,1.7105620874e+00,2.4246608041e-08
4pi_etaeta_rhorho_extra,1.7223986836e+00,2.4769003625e-08
4pi_etaeta_rhorho_extra,1.7341243111e+00,2.5297261609e-08
4pi_etaeta_rhorho_extra,1.7468038269e+00,2.5880881670e-08
4pi_etaeta_rhorho_extra,1.7587933740e+00,2.6438487843e-08
4pi_etaeta_rhorho_extra,1.7718503381e+00,2.7054203989e-08
4pi_etaeta_rhorho_extra,1.7848056724e+00,2.7672460081e-08
4pi_etaeta_rhorho_extra,1.7969561500e+00,2.8262641187e-08
4pi_etaeta_rhorho_extra,1.8101957370e+00,2.8914673990e-08
4pi_etaeta_rhorho_extra,1.8226203875e+00,2.9537643519e-08
4pi_etaeta_rhorho_extra,1.8242428604e+00,2.9619608897e-08
4pi_etaeta_rhorho_extra,1.8349262574e+00,3.0161174588e-08
4pi_etaeta_rhorho_extra,1.8484455999e+00,3.0850431029e-08
4pi_etaeta_rhorho_extra,1.8610292945e+00,3.1508389933e-08
4pi_etaeta_rhorho_extra,1.8748452395e+00,3.2235305489e-08
4pi_etaeta_rhorho_extra,1.8884486308e+00,3.2971960883e-08
4pi_etaeta_rhorho_extra,1.9013046548e+00,3.3667989393e-08
4pi_etaeta_rhorho_extra,1.9153130863e+00,3.4437385110e-08
4pi_etaeta_rhorho_extra,1.9284592314e+00,3.5171844351e-08
4pi_etaeta_rhorho_extra,1.9427757640e+00,3.5990948402e-08
4pi_etaeta_rhorho_extra,1.9569808632e+00,3.6805583484e-08
4pi_etaeta_rhorho_extra,1.9703034632e+00,3.7590550195e-08
4pi_etaeta_rhorho_extra,1.9849306116e+00,3.8449585998e-08
4pi_etaeta_rhorho_extra,1.9857034699e+00,3.8507001511e-08
4pi_etaeta_rhorho_extra,1.9883555310e+00,3.8655035096e-08
4pi_etaeta_rhorho_extra,1.9916755746e+00,3.8861579857e-08
4pi_etaeta_rhorho_extra,1.9918971230e+00,3.8878152140e-08
4pi_etaeta_rhorho_extra,1.9921186676e+00,3.8886439870e-08
4pi_etaeta_rhorho_extra,1.9925618592e+00,3.8911313663e-08
4pi_etaeta_rhorho_extra,1.9934485382e+00,3.8969418659e-08
4pi_etaeta_rhorho_extra,1.9951121321e+00,3.9069228245e-08
4pi_etaeta_rhorho_extra,1.9953340628e+00,3.9085889078e-08
4pi_etaeta_rhorho_extra,1.9955559897e+00,3.9094221092e-08
4pi_etaeta_rhorho_extra,1.9959999460e+00,3.9119229928e-08
4pi_etaeta_rhorho_extra,1.9968881549e+00,3.9177643260e-08
4pi_etaeta_rhorho_extra,1.9969992017e+00,3.9177643260e-08
4pi_etaeta_rhorho_extra,1.9973324076e+00,3.9202705461e-08
4pi_etaeta_rhorho_extra,1.9977767591e+00,3.9227783694e-08
4pi_etaeta_rhorho_extra,1.9985546193e+00,3.9277988300e-08
4pi_etaeta_rhorho_extra,1.9987769044e+00,3.9294736013e-08
4pi_etaeta_rhorho_extra,1.9989992427e+00,3.9303112548e-08
4pi_etaeta_rhorho_extra,1.9992215773e+00,3.9319873120e-08
4pi_etaeta_rhorho_extra,1.9994439651e+00,3.9328255013e-08
4pi_etaeta_rhorho_extra,1.9996663491e+00,3.9345026306e-08
4pi_etaeta_rhorho_extra,1.9997775789e+00,3.9345026306e-08
4pi_etaeta_rhorho_extra,2.0000000000e+00,3.9361802604e-08
KK,9.8740052486e-01,1.6966298781e-08
KK,9.8745543413e-01,2.5930580556e-08
KK,9.8751036051e-01,3.2449023736e-08
KK,9.8756527589e-01,3.7807523027e-08
KK,9.8762019432e-01,4.2456019001e-08
KK,9.8767511580e-01,4.6600946089e-08
KK,9.8773004034e-01,5.0371486378e-08
KK,9.8778498200e-01,5.3846924000e-08
KK,9.8783991264e-01,5.7073432247e-08
KK,9.8789484634e-01,6.0094847470e-08
KK,9.8794979717e-01,6.2953328415e-08
KK,9.8800473698e-01,6.5653223452e-08
KK,9.8805967985e-01,6.8221244034e-08
KK,9.8811462577e-01,7.0663407767e-08
KK,9.8822454085e-01,7.5265666221e-08
KK,9.8827949595e-01,7.9503966127e-08
KK,9.8838942937e-01,8.3445597164e-08
KK,9.8844439363e-01,8.5316154797e-08
KK,9.8849936095e-01,8.7135724956e-08
KK,9.8860930475e-01,9.0601953489e-08
KK,9.8866429532e-01,9.2258516902e-08
KK,9.8871927486e-01,9.3885314932e-08
KK,9.8882925720e-01,9.6977087196e-08
KK,9.8888424592e-01,9.8455951699e-08
KK,9.8893923770e-01,9.9914765750e-08
KK,9.8904923043e-01,1.0270035033e-07
KK,9.8910424547e-01,1.0404447460e-07
KK,9.8915924948e-01,1.0536126562e-07
KK,9.8926928076e-01,1.0790695289e-07
KK,9.8948935187e-01,1.1378911235e-07
KK,9.8954439139e-01,1.1488586508e-07
KK,9.8965445143e-01,1.1701137942e-07
KK,9.8987462232e-01,1.2104520807e-07
KK,9.8992966917e-01,1.2200366777e-07
KK,9.8998473318e-01,1.2291730611e-07
KK,9.9009484219e-01,1.2473856211e-07
KK,9.9031511106e-01,1.2816156371e-07
KK,9.9042527091e-01,1.2975592125e-07
KK,9.9053542892e-01,1.3128612833e-07
KK,9.9070070302e-01,1.3420048779e-07
KK,9.9081089166e-01,1.3558065132e-07
KK,9.9092110667e-01,1.3688744858e-07
KK,9.9114155936e-01,1.3936058684e-07
KK,9.9119667666e-01,1.3992615676e-07
KK,9.9125179704e-01,1.4052396366e-07
KK,9.9136206109e-01,1.4163666769e-07
KK,9.9158261188e-01,1.4373528700e-07
KK,9.9169289861e-01,1.4471908727e-07
KK,9.9180321173e-01,1.4564751070e-07
KK,9.9196869736e-01,1.4739654085e-07
KK,9.9202386066e-01,1.4786858912e-07
KK,9.9213419647e-01,1.4831053353e-07
KK,9.9224455868e-01,1.4913478314e-07
KK,9.9246530580e-01,1.5070065435e-07
KK,9.9252049672e-01,1.5108664141e-07
KK,9.9257569071e-01,1.5144131752e-07
KK,9.9268610203e-01,1.5212075824e-07
KK,9.9290694737e-01,1.5339065648e-07
KK,9.9296216285e-01,1.5368521993e-07
KK,9.9301738140e-01,1.5394752335e-07
KK,9.9312784186e-01,1.5450640343e-07
KK,9.9318306962e-01,1.5473712280e-07
KK,9.9323831460e-01,1.5500122157e-07
KK,9.9345926865e-01,1.5592911346e-07
KK,9.9356977826e-01,1.5632849209e-07
KK,9.9384608483e-01,1.5706332487e-07
KK,9.9395663747e-01,1.5739848691e-07
KK,9.9406718825e-01,1.5770073818e-07
KK,9.9417776548e-01,1.5796989512e-07
KK,9.9428834085e-01,1.5820578641e-07
KK,9.9456486141e-01,1.5871244343e-07
KK,9.9484144472e-01,1.5905112457e-07
KK,9.9489676777e-01,1.5908502981e-07
KK,9.9495209391e-01,1.5915286196e-07
KK,9.9511810494e-01,1.5925467311e-07
KK,9.9522878490e-01,1.5928863043e-07
KK,9.9528414366e-01,1.5932258629e-07
KK,9.9533949134e-01,1.5932258629e-07
KK,9.9539484209e-01,1.5935654940e-07
KK,9.9561629006e-01,1.5935654940e-07
KK,9.9567165621e-01,1.5932258629e-07
KK,9.9572703961e-01,1.5932258629e-07
KK,9.9578241191e-01,1.5928863043e-07
KK,9.9583778730e-01,1.5928863043e-07
KK,9.9605933381e-01,1.5915286196e-07
KK,9.9611472459e-01,1.5908502981e-07
KK,9.9622552958e-01,1.5901722657e-07
KK,9.9661342285e-01,1.5854337773e-07
KK,9.9672426912e-01,1.5847580534e-07
KK,9.9683514192e-01,1.5830698308e-07
KK,9.9705691031e-01,1.5793622755e-07
KK,9.9727872805e-01,1.5753274158e-07
KK,9.9750059513e-01,1.5706332487e-07
KK,9.9755606606e-01,1.5696291464e-07
KK,9.9761154008e-01,1.5682913704e-07
KK,9.9772251157e-01,1.5659530693e-07
KK,9.9794447738e-01,1.5606213185e-07
KK,9.9844407747e-01,1.5496817825e-07
KK,9.9849960087e-01,1.5480310106e-07
KK,9.9855514158e-01,1.5467116423e-07
KK,9.9866620381e-01,1.5437471948e-07
KK,9.9933287938e-01,1.5251036594e-07
KK,9.9944404235e-01,1.5218562090e-07
KK,9.9955520346e-01,1.5189393997e-07
KK,9.9961078865e-01,1.5176448259e-07
KK,9.9977757699e-01,1.5127999726e-07
KK,9.9983317455e-01,1.5115106313e-07
KK,9.9994439317e-01,1.5082921250e-07
KK,1.0000000000e+00,1.5076491972e-07
KK,1.0000556099e+00,1.5070065435e-07
KK,1.0001112229e+00,1.5070065435e-07
KK,1.0001668533e+00,1.5066853605e-07
KK,1.0002224725e+00,1.5066853605e-07
KK,1.0003337344e+00,1.5060431998e-07
KK,1.0004449945e+00,1.5057222221e-07
KK,1.0006119220e+00,1.5050803898e-07
KK,1.0010571888e+00,1.5037976279e-07
KK,1.0011128575e+00,1.5034771287e-07
KK,1.0011685293e+00,1.5034771287e-07
KK,1.0015026537e+00,1.5025159592e-07
KK,1.0015583472e+00,1.5025159592e-07
KK,1.0016140438e+00,1.5021957333e-07
KK,1.0017254605e+00,1.5018754936e-07
KK,1.0019483169e+00,1.5015554042e-07
KK,1.0020040351e+00,1.5012353829e-07
KK,1.0020597565e+00,1.5012353829e-07
KK,1.0021712228e+00,1.5009154299e-07
KK,1.0023384241e+00,1.5005955451e-07
KK,1.0023941783e+00,1.5002756465e-07
KK,1.0024499214e+00,1.5002756465e-07
KK,1.0025614311e+00,1.4999558980e-07
KK,1.0027844591e+00,1.4996362177e-07
KK,1.0028960061e+00,1.4996362177e-07
KK,1.0030075654e+00,1.4993165237e-07
KK,1.0031191228e+00,1.4993165237e-07
KK,1.0032306927e+00,1.4989969796e-07
KK,1.0034538982e+00,1.4989969796e-07
KK,1.0035097002e+00,1.4986775037e-07
KK,1.0039562565e+00,1.4986775037e-07
KK,1.0046264635e+00,1.4983580958e-07
KK,1.0046823307e+00,1.4986775037e-07
KK,1.0050735167e+00,1.4986775037e-07
KK,1.0051853040e+00,1.4989969796e-07
KK,1.0054648408e+00,1.4989969796e-07
KK,1.0055207689e+00,1.4993165237e-07
KK,1.0056885433e+00,1.4996362177e-07
KK,1.0058563315e+00,1.4996362177e-07
KK,1.0059122671e+00,1.4999558980e-07
KK,1.0060241619e+00,1.4999558980e-07
KK,1.0062479746e+00,1.5002756465e-07
KK,1.0063039320e+00,1.5005955451e-07
KK,1.0063598925e+00,1.5005955451e-07
KK,1.0064718371e+00,1.5009154299e-07
KK,1.0066957494e+00,1.5012353829e-07
KK,1.0070877194e+00,1.5021957333e-07
KK,1.0071437234e+00,1.5025159592e-07
KK,1.0071997306e+00,1.5025159592e-07
KK,1.0079842157e+00,1.5047596173e-07
KK,1.0080402697e+00,1.5050803898e-07
KK,1.0083766874e+00,1.5060431998e-07
KK,1.0088254094e+00,1.5076491972e-07
KK,1.0088815101e+00,1.5076491972e-07
KK,1.0089376140e+00,1.5079705857e-07
KK,1.0090498310e+00,1.5082921250e-07
KK,1.0092181943e+00,1.5089352446e-07
KK,1.0092743312e+00,1.5092569072e-07
KK,1.0093304568e+00,1.5092569072e-07
KK,1.0094427175e+00,1.5095786384e-07
KK,1.0096672908e+00,1.5105443260e-07
KK,1.0097234527e+00,1.5105443260e-07
KK,1.0097796033e+00,1.5108664141e-07
KK,1.0098357571e+00,1.5108664141e-07
KK,1.0099480740e+00,1.5115106313e-07
KK,1.0100042515e+00,1.5115106313e-07
KK,1.0101165871e+00,1.5108664141e-07
KK,1.0101727740e+00,1.5105443260e-07
KK,1.0102851284e+00,1.5099005206e-07
KK,1.0105098891e+00,1.5089352446e-07
KK,1.0105660834e+00,1.5086136505e-07
KK,1.0106222953e+00,1.5086136505e-07
KK,1.0107346997e+00,1.5079705857e-07
KK,1.0109595604e+00,1.5070065435e-07
KK,1.0113531905e+00,1.5050803898e-07
KK,1.0115781888e+00,1.5037976279e-07
KK,1.0118032371e+00,1.5028362534e-07
KK,1.0122534840e+00,1.5005955451e-07
KK,1.0130982261e+00,1.4964429143e-07
KK,1.0135490492e+00,1.4938932007e-07
KK,1.0140000729e+00,1.4916657449e-07
KK,1.0149591757e+00,1.4865869272e-07
KK,1.0168235292e+00,1.4764811102e-07
KK,1.0186913073e+00,1.4661314544e-07
KK,1.0205625307e+00,1.4552338502e-07
KK,1.0206192841e+00,1.4546135391e-07
KK,1.0207328004e+00,1.4536836080e-07
KK,1.0209598854e+00,1.4524446509e-07
KK,1.0214142069e+00,1.4493519156e-07
KK,1.0222666083e+00,1.4434937553e-07
KK,1.0240304890e+00,1.4318483736e-07
KK,1.0275673714e+00,1.4085385156e-07
KK,1.0351958458e+00,1.3604385289e-07
KK,1.0427649435e+00,1.3153823621e-07
KK,1.0498638071e+00,1.2734460366e-07
KK,1.0575989782e+00,1.2320585466e-07
KK,1.0649172580e+00,1.1960886692e-07
KK,1.0721072935e+00,1.1633986517e-07
KK,1.0800063498e+00,1.1313609031e-07
KK,1.0873587274e+00,1.1037289009e-07
KK,1.0954310820e+00,1.0772309568e-07
KK,1.0999483721e+00,1.0635411511e-07
KK,1.1034406050e+00,1.0531635410e-07
KK,1.1108907557e+00,1.0322710216e-07
KK,1.1191377918e+00,1.0130878256e-07
KK,1.1268192402e+00,9.9510923980e-08
KK,1.1344272213e+00,9.7974432595e-08
KK,1.1427218907e+00,9.6502795517e-08
KK,1.1505012180e+00,9.5195203284e-08
KK,1.1590423310e+00,9.3885314932e-08
KK,1.1669976563e+00,9.2870185637e-08
KK,1.1670625530e+00,9.2850387474e-08
KK,1.1671274698e+00,9.2850387474e-08
KK,1.1672572812e+00,9.2830598597e-08
KK,1.1675169638e+00,9.2810813937e-08
KK,1.1680365024e+00,9.2751480193e-08
KK,1.1709632302e+00,9.2396283536e-08
KK,1.1710283474e+00,9.2376586400e-08
KK,1.1710934682e+00,9.2376586400e-08
KK,1.1712237207e+00,9.2356898502e-08
KK,1.1714843024e+00,9.2337214801e-08
KK,1.1719404183e+00,9.2278183828e-08
KK,1.1729836643e+00,9.2160240102e-08
KK,1.1749422629e+00,9.1924799684e-08
KK,1.1750076013e+00,9.1924799684e-08
KK,1.1750729434e+00,9.1905203059e-08
KK,1.1752036552e+00,9.1885615625e-08
KK,1.1754651057e+00,9.1866032367e-08
KK,1.1759881812e+00,9.1807302620e-08
KK,1.1771004854e+00,9.1689960742e-08
KK,1.1771659438e+00,9.1670419183e-08
KK,1.1772314227e+00,9.1670419183e-08
KK,1.1773623578e+00,9.1650876787e-08
KK,1.1776242886e+00,9.1631343557e-08
KK,1.1781483249e+00,9.1572763846e-08
KK,1.1792626722e+00,9.1455721740e-08
KK,1.1793938501e+00,9.1455721740e-08
KK,1.1795250257e+00,9.1436225113e-08
KK,1.1797874376e+00,9.1416737632e-08
KK,1.1803124365e+00,9.1358300103e-08
KK,1.1814288476e+00,9.1280431541e-08
KK,1.1835989851e+00,9.1124903417e-08
KK,1.1836648049e+00,9.1105482286e-08
KK,1.1837964556e+00,9.1105482286e-08
KK,1.1845867347e+00,9.1047243725e-08
KK,1.1855752918e+00,9.0989037428e-08
KK,1.1876209551e+00,9.0853369055e-08
KK,1.1916565921e+00,9.0563333310e-08
KK,1.1918554239e+00,9.0563333310e-08
KK,1.1919880025e+00,9.0544031865e-08
KK,1.1927837162e+00,9.0486147270e-08
KK,1.1939119234e+00,9.0409027014e-08
KK,1.1961049907e+00,9.0235747905e-08
KK,1.1962380421e+00,9.0235747905e-08
KK,1.1963710912e+00,9.0216516276e-08
KK,1.1966372508e+00,9.0197283825e-08
KK,1.1972363223e+00,9.0158841061e-08
KK,1.1983020865e+00,9.0081999765e-08
KK,1.2005699951e+00,8.9928513588e-08
KK,1.2007035260e+00,8.9928513588e-08
KK,1.2008370888e+00,8.9909347440e-08
KK,1.2011042421e+00,8.9890180471e-08
KK,1.2016387268e+00,8.9871022492e-08
KK,1.2027084100e+00,8.9794426500e-08
KK,1.2049176354e+00,8.9679657344e-08
KK,1.2051856964e+00,8.9679657344e-08
KK,1.2059902374e+00,8.9622325342e-08
KK,1.2071309189e+00,8.9584122741e-08
KK,1.2092810199e+00,8.9488694793e-08
KK,1.2093482679e+00,8.9469622382e-08
KK,1.2095500517e+00,8.9469622382e-08
KK,1.2098191433e+00,8.9450554035e-08
KK,1.2103575061e+00,8.9431484872e-08
KK,1.2113675865e+00,8.9393368498e-08
KK,1.2133902769e+00,8.9298143747e-08
KK,1.2136602056e+00,8.9298143747e-08
KK,1.2139302289e+00,8.9279107075e-08
KK,1.2144704211e+00,8.9260079333e-08
KK,1.2154839166e+00,8.9222036013e-08
KK,1.2159571809e+00,8.9222036013e-08
KK,1.2164982752e+00,8.9203020433e-08
KK,1.2175134802e+00,8.9164996566e-08
KK,1.2177843435e+00,8.9164996566e-08
KK,1.2181230030e+00,8.9145993144e-08
KK,1.2186650610e+00,8.9126988907e-08
KK,1.2192751602e+00,8.9126988907e-08
KK,1.2193429814e+00,8.9107993585e-08
