flavor,mass_GeV,channel,production_weight_fraction,accepted_peak_fraction
Ue,1.2,tau,3.168642112237655e-06,2.3484359356621005e-06
Ue,1.2,induced_tau,0.000517817001788971,0.00041063985559705314
Ue,1.2,Kmeson,0.0,0.0
Ue,1.2,WZ,0.00020646813476855327,0.00029802127471378653
Ue,1.225,Bmeson,0.13623680673959163,0.17212462567993905
Ue,1.225,Dmeson,0.8629061911222928,0.8267348310018064
Ue,1.225,Bc,0.00020123136056674734,0.00030043559646553993
Ue,1.225,tau,2.675796447339276e-06,2.2985589026859803e-06
Ue,1.225,induced_tau,0.00044260396198726135,0.00048138889951010867
Ue,1.225,Kmeson,0.0,0.0
Ue,1.225,WZ,0.0002104910191142611,0.00035642026337620554
Ue,1.25,Bmeson,0.1368510958676165,0.1616556357957715
Ue,1.25,Dmeson,0.8623672889128621,0.8372920277678636
Ue,1.25,Bc,0.0002096758591472957,0.0003111524363079748
Ue,1.25,tau,2.3203129760750146e-06,1.860059761482065e-06
Ue,1.25,induced_tau,0.0003549472522103308,0.0003942561451833633
Ue,1.25,Kmeson,0.0,0.0
Ue,1.25,WZ,0.00021467179518791613,0.0003450677951120823
Ue,1.275,Bmeson,0.13625668961238266,0.12564816535938358
Ue,1.275,Dmeson,0.8630198894303903,0.8735131297208046
Ue,1.275,Bc,0.00021424338078250037,0.0002813538247906188
Ue,1.275,tau,1.9045019292045018e-06,1.2524795672997865e-06
Ue,1.275,induced_tau,0.00028769940432180286,0.0002697203749423963
Ue,1.275,Kmeson,0.0,0.0
Ue,1.275,WZ,0.00021957367019349882,0.0002863782405114291
Ue,1.3,Bmeson,0.137037429061552,0.13172954115056482
Ue,1.3,Dmeson,0.8622754358616747,0.8674243134475438
Ue,1.3,Bc,0.00022035002946796565,0.00027754663741097105
Ue,1.3,tau,1.4807447842283994e-06,9.951396951935444e-07
Ue,1.3,induced_tau,0.0002405102962296791,0.00027941219465855136
Ue,1.3,Kmeson,0.0,0.0
Ue,1.3,WZ,0.0002247940062914833,0.0002881914301266837
Ue,1.325,Bmeson,0.13459331589009288,0.14823955471858233
Ue,1.325,Dmeson,0.8647492681337943,0.8508839624236403
Ue,1.325,Bc,0.00022649649728912247,0.0003098803097458246
Ue,1.325,tau,1.2067973076547468e-06,8.371476509659222e-07
Ue,1.325,induced_tau,0.0001983056495419675,0.00024348451232668132
Ue,1.325,Kmeson,0.0,0.0
Ue,1.325,WZ,0.0002314070319739984,0.0003222808880540297
Ue,1.35,Bmeson,0.13310574232781405,0.130756502093116
Ue,1.35,Dmeson,0.8662658538622484,0.868340204423477
Ue,1.35,Bc,0.00023183566147847882,0.00033249936747227276
Ue,1.35,tau,9.418536767745985e-07,7.485475977111712e-07
Ue,1.35,induced_tau,0.0001564100284166244,0.00016656670441031425
Ue,1.35,Kmeson,0.0,0.0
Ue,1.35,WZ,0.00023921626636560676,0.00040347886392654735
Ue,1.375,Bmeson,0.13699187206673488,0.13535613738473776
Ue,1.375,Dmeson,0.8623981472344251,0.8637017444422838
Ue,1.375,Bc,0.00023952487929298764,0.00036636731116447194
Ue,1.375,tau,7.376683885727376e-07,5.702452949128963e-07
Ue,1.375,induced_tau,0.00012310812085404823,0.00016005588814981797
Ue,1.375,Kmeson,0.0,0.0
Ue,1.375,WZ,0.0002466100303045884,0.0004151247283693
Ue,1.4,Bmeson,0.13811231283677233,0.1421516907784857
Ue,1.4,Dmeson,0.8612922712130477,0.8571233994512276
Ue,1.4,Bc,0.00024662609531959044,0.0003245259629705386
Ue,1.4,tau,5.836411554645996e-07,3.5380211229967755e-07
Ue,1.4,induced_tau,9.20834927430597e-05,0.00010177685308270827
Ue,1.4,Kmeson,0.0,0.0
Ue,1.4,WZ,0.0002561227209618279,0.00029825315212138304
Ue,1.425,Bmeson,0.1385365826277963,0.1455144469365568
Ue,1.425,Dmeson,0.8608661661520667,0.8536022804284779
Ue,1.425,Bc,0.00025663419386949044,0.00034029926112091625
Ue,1.425,tau,4.3883739657167086e-07,3.340367887951348e-07
Ue,1.425,induced_tau,7.26960845488055e-05,8.658560228021142e-05
Ue,1.425,Kmeson,0.0,0.0
Ue,1.425,WZ,0.0002674821043220496,0.00045605373477536376
Ue,1.45,Bmeson,0.14165951493689324,0.14553384421378596
Ue,1.45,Dmeson,0.8577355417017715,0.8536888963693811
Ue,1.45,Bc,0.00027152447580080244,0.0003683223341705257
Ue,1.45,tau,3.2987127217844547e-07,2.1448803215287022e-07
Ue,1.45,induced_tau,5.3167984924507926e-05,5.25672941502914e-05
Ue,1.45,Kmeson,0.0,0.0
Ue,1.45,WZ,0.0002799210293378595,0.00035615530047992944
Ue,1.475,Bmeson,0.14520931493882883,0.1539099616751504
Ue,1.475,Dmeson,0.8541731711063731,0.8452621884756263
Ue,1.475,Bc,0.0002834194459162332,0.00039918005308041085
Ue,1.475,tau,2.321663860628779e-07,1.5680144487547464e-07
Ue,1.475,induced_tau,3.940365949412898e-05,4.368112186152489e-05
Ue,1.475,Kmeson,0.0,0.0
Ue,1.475,WZ,0.00029445868300164075,0.00038483187283650563
Ue,1.5,Bmeson,0.1495003450201271,0.14141163952599248
Ue,1.5,Dmeson,0.8498582444584275,0.8577699508536942
Ue,1.5,Bc,0.0003037210465463441,0.00036953678490498536
Ue,1.5,tau,1.6915229183601586e-07,1.1083162209924734e-07
Ue,1.5,induced_tau,2.6336726212033342e-05,2.5195293187503486e-05
Ue,1.5,Kmeson,0.0,0.0
Ue,1.5,WZ,0.00031118359639509925,0.00042356671059874435
Ue,1.525,Bmeson,0.15156656963531132,0.1462122453139583
Ue,1.525,Dmeson,0.8477613714959228,0.8528507849118835
Ue,1.525,Bc,0.00032182282389548535,0.0004555118323772253
Ue,1.525,tau,1.1327278814517153e-07,7.864130556705067e-08
Ue,1.525,induced_tau,1.808663593360499e-05,2.5537242317840296e-05
