flavor,boundary,item,classification,mass_bin_low_GeV,mass_bin_high_GeV,n_mass_points,median_low_shift_pct,median_high_shift_pct,min_shift_pct,max_shift_pct,max_abs_shift_pct,n_missing_boundaries
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,2.1,2.4,1,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,2.4,2.6999999999999997,2,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,2.6999999999999997,2.9999999999999996,1,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,3.0,3.3,2,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,3.3,3.5999999999999996,1,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,3.5999999999999996,3.8999999999999995,2,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,3.9,4.2,1,0.0,0.0,0.0,0.0,0.0,0
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,4.2,4.5,2,,,,,,4
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,4.5,4.8,1,,,,,,2
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,4.8,5.1,2,,,,,,4
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,5.1,5.3999999999999995,1,,,,,,2
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,5.3999999999999995,5.699999999999999,3,,,,,,6
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,5.7,6.0,1,,,,,,2
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,6.0,6.3,2,,,,,,4
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,6.3,6.6,1,,,,,,2
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,6.6,6.8999999999999995,2,,,,,,4
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,6.8999999999999995,7.199999999999999,1,,,,,,2
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,7.199999999999999,7.499999999999999,2,,,,,,4
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,7.5,7.8,1,,,,,,2
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,7.8,8.1,2,,,,,,4
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,8.4,8.700000000000001,1,,,,,,2
Ue,lower,charged_kaon_parent_transport,unknowable; transport scenario,9.0,9.3,1,,,,,,2
