event,	id,	pt,	eta,	phi,	momentum,	mass
0,	9900015,	51.1608,	4.07557,	2.55148,	1506.71,	47
0,	9900015,	51.1131,	4.07589,	2.55154,	1505.79,	47
1,	-9900015,	17.9659,	-3.32446,	-3.09825,	249.906,	47
2,	9900015,	24.0005,	0.949966,	-2.30605,	35.6693,	47
3,	-9900015,	8.25277,	-6.08772,	0.937292,	1817.33,	47
4,	-9900015,	10.9389,	-2.02501,	2.82393,	42.1594,	47
5,	-9900015,	17.6121,	1.8801,	-1.75105,	59.0598,	47
5,	-9900015,	17.6121,	1.8801,	-1.75105,	59.0598,	47
6,	9900015,	25.834,	-2.19641,	-2.74241,	117.594,	47
7,	9900015,	31.7428,	2.73482,	-1.23589,	245.56,	47
8,	9900015,	6.02912,	6.07214,	1.85069,	1307.15,	47
8,	9900015,	6.02912,	6.07214,	1.85069,	1307.15,	47
9,	-9900015,	5.82688,	-3.83506,	2.01616,	134.945,	47
10,	-9900015,	22.9655,	0.50356,	3.06465,	25.9392,	47
11,	-9900015,	24.7182,	1.02794,	-3.00282,	38.9688,	47
12,	9900015,	7.23641,	3.31641,	3.11805,	99.8539,	47
13,	-9900015,	24.868,	-1.49617,	2.41757,	58.2975,	47
13,	-9900015,	24.868,	-1.49617,	2.41757,	58.2975,	47
14,	9900015,	23.8992,	5.23255,	1.39007,	2237.87,	47
14,	9900015,	23.8992,	5.23255,	1.39007,	2237.87,	47
15,	9900015,	30.762,	3.78585,	0.935757,	678.24,	47
16,	9900015,	45.0933,	-4.92946,	-1.03643,	3118.48,	47
17,	-9900015,	17.2087,	-4.93321,	-1.55653,	1194.56,	47
18,	9900015,	3.66919,	4.88772,	1.22181,	243.374,	47
19,	-9900015,	31.6613,	-3.86202,	-3.02059,	753.26,	47
20,	-9900015,	24.5023,	4.47196,	2.73028,	1072.46,	47
21,	9900015,	29.1341,	2.42154,	1.36233,	165.365,	47
22,	9900015,	24.8821,	3.2197,	-2.81723,	311.779,	47
23,	9900015,	12.0796,	4.15572,	-2.17281,	385.423,	47
24,	9900015,	36.3119,	-3.36696,	1.98314,	526.973,	47
24,	9900015,	36.3119,	-3.36696,	1.98314,	526.972,	47
25,	9900015,	11.1544,	3.64048,	2.19488,	212.694,	47
26,	-9900015,	55.9508,	-0.24608,	-0.694134,	57.6534,	47
26,	-9900015,	55.9506,	-0.246083,	-0.694134,	57.6532,	47
26,	-9900015,	55.9505,	-0.246083,	-0.694134,	57.6532,	47
27,	-9900015,	23.4938,	-1.86522,	2.81382,	77.673,	47
28,	-9900015,	27.9105,	-3.16385,	-0.78364,	330.793,	47
29,	-9900015,	11.2141,	4.34026,	-1.18703,	430.287,	47
30,	9900015,	24.2281,	0.510864,	0.725401,	27.459,	47
31,	-9900015,	15.6542,	4.09199,	0.874798,	468.654,	47
32,	-9900015,	28.5538,	0.571524,	-2.69186,	33.3455,	47
33,	9900015,	24.7253,	3.50102,	-1.51293,	410.186,	47
34,	-9900015,	14.7752,	-4.20087,	2.67652,	493.195,	47
34,	-9900015,	14.7727,	-4.20103,	2.67653,	493.187,	47
35,	9900015,	4.53159,	-4.59378,	-1.04904,	224.036,	47
35,	9900015,	4.53152,	-4.59379,	-1.04904,	224.035,	47
35,	9900015,	4.53152,	-4.59379,	-1.04904,	224.035,	47
35,	9900015,	4.53152,	-4.59379,	-1.04904,	224.035,	47
36,	9900015,	29.8381,	-1.96092,	1.11397,	108.112,	47
37,	9900015,	11.4287,	3.84065,	2.33639,	266.158,	47
38,	9900015,	78.0423,	-1.0743,	1.06782,	127.579,	47
39,	9900015,	20.376,	-3.2055,	0.104876,	251.729,	47
39,	9900015,	20.3753,	-3.20553,	0.10489,	251.727,	47
40,	9900015,	54.3954,	2.91853,	0.310256,	505.011,	47
40,	9900015,	54.3954,	2.91853,	0.310256,	505.01,	47
40,	9900015,	54.3954,	2.91853,	0.310256,	505.01,	47
41,	9900015,	23.5965,	-4.48039,	0.0439348,	1041.55,	47
42,	-9900015,	11.9267,	-2.27473,	-0.64336,	58.6085,	47
42,	-9900015,	11.9266,	-2.27475,	-0.643358,	58.6087,	47
43,	9900015,	24.9672,	-4.63406,	-0.866059,	1285.08,	47
43,	9900015,	24.9672,	-4.63406,	-0.866059,	1285.08,	47
44,	-9900015,	26.5936,	1.74495,	0.450612,	78.4548,	47
45,	9900015,	36.4294,	2.85286,	1.49766,	316.845,	47
46,	-9900015,	26.8433,	2.67972,	0.128155,	196.622,	47
46,	-9900015,	26.8433,	2.67972,	0.128155,	196.622,	47
47,	9900015,	28.1563,	3.37621,	-2.70866,	412.405,	47
47,	9900015,	28.1563,	3.37621,	-2.70866,	412.405,	47
48,	-9900015,	21.9143,	2.28297,	2.49368,	108.56,	47
49,	9900015,	26.116,	-0.111523,	-1.51366,	26.2786,	47
50,	9900015,	49.1649,	3.27544,	-2.34939,	651.258,	47
50,	9900015,	49.1649,	3.27544,	-2.34939,	651.258,	47
51,	9900015,	18.2808,	-1.39227,	-1.49413,	39.0523,	47
51,	9900015,	18.2808,	-1.39227,	-1.49413,	39.0523,	47
52,	-9900015,	30.4914,	-0.651593,	2.53969,	37.1966,	47
53,	9900015,	18.6835,	-0.195593,	0.232294,	19.042,	47
54,	9900015,	29.43,	-1.07894,	1.18339,	48.2876,	47
55,	9900015,	89.4234,	3.01364,	-1.04708,	912.585,	47
56,	-9900015,	32.4466,	3.49787,	-2.91001,	536.59,	47
57,	9900015,	12.4322,	4.02615,	1.49035,	348.488,	47
58,	-9900015,	20.5742,	-0.548945,	-1.61917,	23.7527,	47
59,	9900015,	12.592,	-4.87562,	0.750351,	825.17,	47
59,	9900015,	12.592,	-4.87562,	0.750351,	825.17,	47
59,	9900015,	12.592,	-4.87562,	0.750351,	825.17,	47
60,	9900015,	34.7914,	3.06378,	2.32847,	373.223,	47
61,	9900015,	36.3957,	-1.92152,	-0.0133928,	126.98,	47
61,	9900015,	36.3956,	-1.92152,	-0.0133928,	126.98,	47
62,	-9900015,	37.8952,	-1.75636,	-0.504638,	113.004,	47
62,	-9900015,	37.8952,	-1.75636,	-0.504638,	113.004,	47
63,	9900015,	45.2292,	-0.261688,	0.529269,	46.7867,	47
64,	9900015,	38.3426,	-3.83113,	2.82572,	884.496,	47
65,	9900015,	16.5833,	-4.80393,	-0.206523,	1011.56,	47
66,	9900015,	20.9804,	0.125207,	1.40384,	21.1451,	47
66,	9900015,	20.9804,	0.125207,	1.40384,	21.1451,	47
67,	-9900015,	4.46768,	-2.4773,	2.77909,	26.7906,	47
68,	9900015,	24.9818,	2.66031,	2.45856,	179.502,	47
69,	9900015,	25.4225,	1.68662,	-2.07989,	71.0095,	47
69,	9900015,	25.4223,	1.68662,	-2.07988,	71.0091,	47
70,	-9900015,	39.4331,	3.92537,	1.41453,	999.467,	47
71,	-9900015,	40.4349,	2.64097,	-2.55,	285.027,	47
72,	9900015,	25.958,	-3.7698,	-1.25388,	563.219,	47
72,	9900015,	25.9564,	-3.76985,	-1.25388,	563.209,	47
73,	9900015,	37.6099,	2.01071,	1.42042,	142.964,	47
74,	-9900015,	12.2369,	4.19564,	-0.641615,	406.333,	47
74,	-9900015,	12.2369,	4.19564,	-0.641615,	406.333,	47
75,	9900015,	37.6001,	3.39367,	0.617767,	560.401,	47
76,	-9900015,	16.736,	3.72699,	-0.878538,	347.925,	47
77,	9900015,	26.3328,	4.49991,	-2.18327,	1185.24,	47
77,	9900015,	26.3328,	4.49991,	-2.18327,	1185.24,	47
78,	9900015,	12.0723,	-2.75858,	2.79146,	95.6178,	47
78,	9900015,	12.0723,	-2.75858,	2.79146,	95.6178,	47
79,	-9900015,	24.0391,	1.91255,	-2.89026,	83.152,	47
79,	-9900015,	22.9198,	1.95842,	-2.89037,	82.8455,	47
80,	9900015,	26.2608,	0.059786,	-0.66574,	26.3078,	47
81,	9900015,	38.7928,	-0.335578,	-2.88686,	40.9977,	47
82,	9900015,	30.9765,	4.3128,	0.675724,	1156.39,	47
83,	9900015,	25.625,	-4.0417,	-0.977258,	729.552,	47
83,	9900015,	25.625,	-4.0417,	-0.977257,	729.552,	47
84,	-9900015,	9.62532,	1.81707,	-1.58,	30.3982,	47
85,	9900015,	29.7957,	-2.50227,	1.06095,	183.126,	47
86,	9900015,	39.6516,	-0.497062,	0.314007,	44.6517,	47
86,	9900015,	39.6516,	-0.497062,	0.314007,	44.6517,	47
87,	9900015,	5.85728,	1.82035,	0.677567,	18.5557,	47
88,	9900015,	26.3774,	-4.46611,	-2.6351,	1147.8,	47
89,	9900015,	25.4539,	-4.2711,	0.56171,	911.433,	47
90,	9900015,	18.1648,	0.819417,	-2.36837,	24.612,	47
90,	9900015,	18.1648,	0.819417,	-2.36837,	24.612,	47
