event,	id,	pt,	eta,	phi,	momentum,	mass
0,	9900015,	53.711,	4.00558,	2.53963,	1474.96,	39
0,	9900015,	53.6388,	4.00592,	2.53969,	1473.48,	39
1,	-9900015,	18.8416,	-2.98041,	-3.00863,	186.028,	39
2,	9900015,	27.6592,	0.686184,	-2.33881,	34.4304,	39
3,	-9900015,	8.85477,	-0.760861,	1.36252,	11.5439,	39
4,	9900015,	40.5129,	-2.83364,	-1.48403,	345.697,	39
4,	9900015,	40.5129,	-2.83364,	-1.48403,	345.697,	39
5,	9900015,	32.4753,	4.81927,	-3.13794,	2011.55,	39
5,	9900015,	32.4752,	4.81927,	-3.13794,	2011.55,	39
6,	9900015,	19.859,	-2.02975,	-2.31874,	76.8893,	39
6,	9900015,	19.859,	-2.02975,	-2.31874,	76.8893,	39
7,	-9900015,	33.661,	-1.51284,	1.32745,	80.1115,	39
8,	9900015,	31.956,	-1.42314,	2.53777,	70.1608,	39
8,	9900015,	31.956,	-1.42314,	2.53777,	70.1608,	39
9,	9900015,	20.0856,	3.76436,	-2.8045,	433.439,	39
9,	9900015,	20.0854,	3.76436,	-2.8045,	433.436,	39
10,	9900015,	5.88786,	5.55441,	3.10874,	760.645,	39
10,	9900015,	5.88786,	5.55441,	3.10874,	760.645,	39
11,	9900015,	14.1875,	-4.86397,	-2.25625,	918.956,	39
12,	9900015,	13.1944,	4.79585,	-2.92879,	798.363,	39
12,	9900015,	13.1944,	4.79585,	-2.92879,	798.362,	39
13,	-9900015,	29.9969,	-3.2685,	-2.9085,	394.61,	39
13,	-9900015,	29.9969,	-3.2685,	-2.9085,	394.61,	39
14,	9900015,	42.5084,	-3.31951,	0.19533,	588.381,	39
14,	9900015,	42.5084,	-3.31951,	0.19533,	588.381,	39
15,	-9900015,	55.7377,	-1.51041,	1.9522,	132.361,	39
15,	-9900015,	55.7377,	-1.51041,	1.9522,	132.361,	39
16,	9900015,	5.76838,	6.1424,	-1.23076,	1341.64,	39
17,	9900015,	27.2424,	-4.53883,	-1.86508,	1274.84,	39
17,	9900015,	27.2424,	-4.53883,	-1.86508,	1274.84,	39
17,	9900015,	27.2424,	-4.53883,	-1.86508,	1274.84,	39
18,	9900015,	22.4682,	-1.03313,	0.458974,	35.564,	39
18,	9900015,	22.427,	-1.03518,	0.459002,	35.5555,	39
19,	-9900015,	28.3765,	-1.5404,	-0.843168,	69.2493,	39
20,	-9900015,	20.6742,	-3.95777,	0.0743563,	541.248,	39
20,	-9900015,	20.6742,	-3.95777,	0.0743563,	541.248,	39
21,	-9900015,	18.7995,	-0.449693,	2.66889,	20.7325,	39
21,	-9900015,	18.7994,	-0.449693,	2.66889,	20.7325,	39
22,	-9900015,	14.9539,	-4.03983,	3.0728,	424.947,	39
22,	-9900015,	14.9539,	-4.03983,	3.0728,	424.947,	39
23,	9900015,	31.8877,	1.50368,	-0.398792,	75.2633,	39
23,	9900015,	31.8877,	1.50368,	-0.398792,	75.2633,	39
24,	-9900015,	44.1671,	2.31854,	0.221198,	226.56,	39
25,	-9900015,	50.2972,	-3.4776,	-2.44174,	815.137,	39
26,	-9900015,	22.4392,	-2.91377,	1.15277,	207.343,	39
26,	-9900015,	22.4392,	-2.91377,	1.15277,	207.343,	39
27,	9900015,	21.4545,	2.63228,	-1.27912,	149.939,	39
27,	9900015,	21.4545,	2.63228,	-1.27912,	149.939,	39
28,	-9900015,	37.5915,	-4.16152,	2.05123,	1206.4,	39
28,	-9900015,	37.5869,	-4.16158,	2.05124,	1206.32,	39
29,	9900015,	38.5614,	2.23804,	-1.61559,	182.812,	39
29,	9900015,	38.5614,	2.23804,	-1.61559,	182.812,	39
30,	-9900015,	31.2008,	-2.89971,	-0.755902,	284.301,	39
31,	-9900015,	11.6477,	3.95877,	-1.14402,	305.239,	39
32,	9900015,	27.8579,	0.508071,	0.77617,	31.5315,	39
33,	-9900015,	26.5405,	-1.78574,	-2.65801,	81.3687,	39
34,	9900015,	32.9579,	-0.335126,	2.38922,	34.826,	39
35,	9900015,	20.3459,	3.85044,	2.38504,	478.483,	39
36,	-9900015,	24.9833,	2.09828,	-0.299475,	103.366,	39
37,	9900015,	38.5668,	-2.82323,	0.639561,	325.706,	39
38,	9900015,	21.0804,	3.50878,	1.22466,	352.436,	39
39,	9900015,	29.5943,	2.90153,	-0.00503326,	270.15,	39
40,	-9900015,	15.3025,	4.32163,	-0.786691,	576.327,	39
41,	9900015,	13.4799,	-3.23989,	-0.616208,	172.341,	39
42,	9900015,	28.8462,	1.30156,	0.319219,	56.9299,	39
43,	-9900015,	13.3824,	-2.58723,	1.3695,	89.4483,	39
