event,	id,	pt,	eta,	phi,	momentum,	mass
0,	9900015,	48.1466,	4.16103,	2.56715,	1544.38,	55
1,	9900015,	26.071,	4.69485,	1.39129,	1425.97,	55
2,	9900015,	8.72158,	-3.29385,	-1.40025,	117.669,	55
3,	-9900015,	17.0375,	4.20076,	-1.47601,	568.643,	55
3,	-9900015,	15.2354,	4.32595,	-1.45625,	576.284,	55
4,	-9900015,	7.24305,	6.1856,	-2.77341,	1759,	55
5,	-9900015,	24.6835,	3.10165,	0.186894,	274.969,	55
6,	-9900015,	21.6827,	1.64412,	-0.744221,	58.2141,	55
7,	9900015,	15.4544,	-4.46564,	-0.914379,	672.176,	55
8,	9900015,	10.2992,	2.724,	2.84897,	78.8236,	55
9,	-9900015,	16.6918,	-0.131356,	0.585314,	16.836,	55
10,	9900015,	35.1008,	2.2298,	-1.3369,	165.071,	55
11,	-9900015,	16.8437,	-1.71352,	-0.80354,	48.2462,	55
12,	9900015,	22.2118,	2.63945,	-0.886494,	156.337,	55
13,	-9900015,	60.2885,	-0.155087,	2.25036,	61.0149,	55
14,	9900015,	13.4766,	-1.06476,	0.333958,	21.8654,	55
15,	9900015,	7.87136,	3.61656,	2.50092,	146.549,	55
16,	-9900015,	13.7886,	3.4721,	2.70145,	222.24,	55
17,	-9900015,	17.0566,	4.44602,	0.852239,	727.449,	55
18,	-9900015,	24.452,	-2.3044,	0.760314,	123.703,	55
19,	9900015,	20.7683,	2.27519,	0.0502382,	102.103,	55
19,	9900015,	20.6724,	2.27883,	0.0482893,	101.994,	55
20,	-9900015,	23.766,	2.17463,	-3.06548,	105.908,	55
21,	9900015,	7.27511,	5.08294,	0.330503,	586.571,	55
22,	-9900015,	19.0031,	-5.17427,	2.4165,	1678.66,	55
22,	-9900015,	18.9763,	-5.17592,	2.41664,	1679.07,	55
23,	-9900015,	36.2374,	4.42781,	1.57957,	1517.61,	55
24,	9900015,	34.5631,	-2.52303,	-2.79112,	216.823,	55
25,	-9900015,	28.4904,	-1.82601,	2.03131,	90.7437,	55
26,	-9900015,	18.6797,	1.82645,	1.2982,	59.5207,	55
27,	9900015,	18.6448,	3.91527,	0.695447,	467.821,	55
28,	9900015,	62.5245,	-1.25425,	1.67881,	118.499,	55
29,	-9900015,	25.1445,	2.68605,	1.18123,	185.337,	55
29,	-9900015,	24.7308,	2.69645,	1.17762,	184.177,	55
30,	9900015,	10.7723,	-4.72543,	0.530001,	607.492,	55
31,	9900015,	34.9456,	2.81922,	-1.80718,	293.952,	55
32,	-9900015,	18.438,	3.46435,	-0.202125,	294.889,	55
33,	-9900015,	24.4207,	-2.62123,	-0.924303,	168.812,	55
34,	-9900015,	35.8098,	-0.900308,	1.57291,	51.3298,	55
35,	9900015,	13.5698,	3.11308,	-1.10054,	152.895,	55
36,	9900015,	2.59479,	3.81167,	-1.25896,	58.7044,	55
37,	-9900015,	17.5843,	3.851,	-0.858284,	413.77,	55
38,	-9900015,	18.463,	3.47321,	1.99354,	297.912,	55
39,	9900015,	15.0965,	-3.08294,	-1.90903,	165.067,	55
40,	9900015,	22.6921,	-2.12984,	-0.531172,	96.8086,	55
41,	-9900015,	13.779,	-2.67467,	0.518239,	100.425,	55
