event,	id,	pt,	eta,	phi,	momentum,	mass
0,	9900015,	19.14,	5.07585,	-0.376715,	1532.29,	31
1,	-9900015,	29.8422,	-1.17011,	1.4651,	52.7114,	31
2,	-9900015,	24.3293,	2.90528,	1.71649,	222.918,	31
3,	-9900015,	2.96248,	1.82299,	2.57594,	9.40868,	31
4,	9900015,	19.0352,	4.70757,	-2.93371,	1054.47,	31
5,	9900015,	22.2119,	2.61163,	-0.547753,	152.092,	31
6,	-9900015,	20.3982,	-1.97374,	0.496883,	74.8257,	31
7,	9900015,	17.6343,	-2.65232,	0.160388,	125.71,	31
8,	-9900015,	9.73869,	-4.00195,	1.33481,	266.464,	31
8,	-9900015,	9.6372,	-4.017,	1.33409,	267.685,	31
9,	9900015,	31.4135,	-1.29933,	-2.032,	61.8777,	31
10,	9900015,	41.936,	4.17918,	1.95237,	1369.79,	31
10,	9900015,	41.7996,	4.18059,	1.95234,	1367.26,	31
11,	9900015,	22.0143,	1.91621,	-0.792664,	76.4148,	31
12,	9900015,	27.1556,	-3.35571,	2.58629,	389.695,	31
13,	9900015,	44.7949,	-3.24777,	-1.41229,	577.22,	31
14,	9900015,	31.9001,	1.02287,	0.492695,	50.0947,	31
14,	9900015,	31.7891,	1.02463,	0.492618,	49.9883,	31
15,	9900015,	38.7721,	1.23718,	-1.01947,	72.4278,	31
16,	-9900015,	32.8423,	-0.240453,	-1.51547,	33.7963,	31
17,	9900015,	27.2372,	2.37314,	-0.635503,	147.411,	31
18,	9900015,	20.9306,	-1.92629,	-1.31642,	73.3586,	31
19,	-9900015,	24.6298,	-3.25435,	-2.17202,	319.467,	31
20,	-9900015,	18.0026,	-2.72463,	0.0571819,	137.867,	31
21,	9900015,	16.1461,	-0.414412,	0.216885,	17.5525,	31
22,	9900015,	32.2836,	-3.46361,	-3.08057,	515.946,	31
23,	9900015,	23.6205,	-1.72669,	-1.19183,	68.4981,	31
24,	-9900015,	33.7495,	-2.20941,	-0.754803,	155.587,	31
25,	9900015,	24.8654,	2.5301,	0.594304,	157.079,	31
25,	9900015,	24.4002,	2.53956,	0.590674,	155.588,	31
26,	9900015,	39.821,	-2.67532,	2.9986,	290.411,	31
27,	-9900015,	26.8783,	4.332,	-0.967782,	1022.85,	31
28,	-9900015,	35.2401,	2.51034,	1.80228,	218.319,	31
28,	-9900015,	34.944,	2.51481,	1.80206,	217.441,	31
29,	-9900015,	61.9866,	0.785128,	-2.07126,	82.0934,	31
