event,	id,	pt,	eta,	phi,	momentum,	mass
56,	9900015,	20.0914,	-1.02166,	1.35837,	31.5214,	15
57,	9900015,	38.5605,	-0.810264,	2.64523,	51.9264,	15
57,	9900015,	38.5605,	-0.810264,	2.64523,	51.9264,	15
58,	9900015,	28.0029,	4.35798,	-0.0340883,	1093.68,	15
58,	9900015,	28.0026,	4.35798,	-0.0340883,	1093.67,	15
59,	-9900015,	31.369,	1.60078,	2.65507,	80.9105,	15
60,	-9900015,	26.8324,	2.15215,	-0.0874162,	116.984,	15
60,	-9900015,	26.8324,	2.15215,	-0.0874162,	116.984,	15
61,	-9900015,	19.4559,	-1.79865,	-0.0440708,	60.3814,	15
62,	-9900015,	35.2857,	-0.566369,	1.0445,	41.098,	15
62,	-9900015,	35.2857,	-0.566369,	1.0445,	41.098,	15
63,	9900015,	12.0493,	1.2276,	1.90168,	22.3275,	15
63,	9900015,	12.0493,	1.2276,	1.90168,	22.3275,	15
63,	9900015,	12.0493,	1.2276,	1.90168,	22.3275,	15
64,	-9900015,	31.6821,	3.99183,	-1.32076,	858.148,	15
65,	-9900015,	7.76537,	0.574428,	2.84654,	9.08215,	15
65,	-9900015,	7.76537,	0.574429,	2.84654,	9.08215,	15
66,	-9900015,	34.0429,	-0.665973,	0.275088,	41.8754,	15
66,	-9900015,	34.0429,	-0.665973,	0.275088,	41.8754,	15
66,	-9900015,	34.0429,	-0.665973,	0.275088,	41.8754,	15
67,	9900015,	37.4023,	-1.06688,	1.8842,	60.7858,	15
68,	-9900015,	22.1529,	-0.837273,	0.308275,	30.3821,	15
69,	-9900015,	29.7981,	2.0696,	0.975801,	119.905,	15
69,	-9900015,	29.7981,	2.0696,	0.975801,	119.905,	15
69,	-9900015,	29.7981,	2.0696,	0.975801,	119.905,	15
70,	9900015,	32.8366,	3.75268,	2.54572,	700.384,	15
71,	-9900015,	35.118,	1.32048,	0.193733,	70.451,	15
72,	9900015,	31.246,	1.43496,	-3.12927,	69.3289,	15
72,	9900015,	31.246,	1.43496,	-3.12927,	69.3289,	15
73,	9900015,	23.7905,	4.61019,	-1.44876,	1195.63,	15
73,	9900015,	23.7042,	4.61053,	-1.44877,	1191.7,	15
73,	9900015,	23.7042,	4.61053,	-1.44877,	1191.7,	15
74,	-9900015,	29.4638,	-1.68401,	-2.85501,	82.0973,	15
74,	-9900015,	29.4635,	-1.68401,	-2.85501,	82.0965,	15
74,	-9900015,	29.4635,	-1.68401,	-2.85501,	82.0965,	15
75,	-9900015,	21.2068,	-0.141684,	1.08938,	21.42,	15
76,	-9900015,	24.1417,	-2.71043,	1.44019,	182.296,	15
76,	-9900015,	24.1385,	-2.71049,	1.44019,	182.284,	15
77,	-9900015,	22.6221,	0.395551,	3.13003,	24.415,	15
78,	9900015,	17.0205,	2.13954,	-0.275017,	73.3009,	15
