event,	id,	pt,	eta,	phi,	momentum,	mass
0,	9900015,	20.5984,	4.9966,	-0.368527,	1523.42,	23
1,	9900015,	22.8932,	2.3595,	0.741882,	122.251,	23
2,	-9900015,	20.0294,	0.989599,	1.22214,	30.6638,	23
2,	-9900015,	19.9838,	0.990326,	1.22226,	30.6109,	23
3,	-9900015,	42.2304,	-2.35358,	2.99109,	224.205,	23
4,	9900015,	105.765,	1.7079,	-2.27365,	301.357,	23
5,	-9900015,	41.5577,	0.13201,	-2.20281,	41.9203,	23
6,	-9900015,	33.2276,	0.688706,	-2.80183,	41.4242,	23
7,	9900015,	36.3859,	0.44747,	-1.06245,	40.0898,	23
8,	-9900015,	18.8077,	0.0244257,	-2.70876,	18.8133,	23
9,	9900015,	23.1,	2.95762,	-0.702209,	222.961,	23
10,	-9900015,	30.736,	-1.51331,	-2.59788,	73.1809,	23
11,	9900015,	10.9795,	-5.35141,	3.05667,	1157.85,	23
12,	9900015,	8.28356,	4.87869,	0.246354,	544.503,	23
13,	-9900015,	33.1643,	-1.5657,	3.03792,	82.8274,	23
14,	-9900015,	26.2742,	-2.11261,	-2.38308,	110.229,	23
15,	9900015,	33.7289,	-2.23072,	0.189606,	158.763,	23
16,	9900015,	22.0734,	-1.61782,	2.4469,	57.8372,	23
17,	9900015,	36.3024,	-4.46461,	-2.42911,	1577.32,	23
18,	9900015,	41.6039,	1.98169,	0.552719,	153.785,	23
19,	9900015,	51.0468,	-0.0617048,	0.0446994,	51.144,	23
20,	9900015,	17.1362,	-6.16341,	1.02899,	4070.24,	23
21,	-9900015,	40.341,	-2.88667,	2.64759,	362.854,	23
22,	9900015,	26.3784,	-0.695511,	0.479153,	33.0198,	23
23,	-9900015,	31.6854,	-2.19958,	0.383019,	144.677,	23
24,	9900015,	36.6982,	1.55241,	2.35096,	90.5452,	23
25,	9900015,	54.7172,	-2.65115,	-0.400574,	389.613,	23
26,	9900015,	32.7587,	4.82612,	2.78163,	2043.06,	23
27,	9900015,	23.4162,	-2.10529,	2.78119,	97.5438,	23
28,	9900015,	25.1802,	2.01749,	1.50519,	96.3444,	23
29,	-9900015,	29.3539,	0.167731,	-1.78068,	29.7678,	23
30,	9900015,	33.6761,	2.27009,	1.90755,	164.736,	23
31,	9900015,	37.6132,	-1.40972,	2.37261,	81.6024,	23
32,	9900015,	29.5245,	-4.27067,	1.25583,	1056.74,	23
33,	9900015,	10.3654,	2.04167,	-2.89306,	40.5975,	23
34,	9900015,	31.4882,	1.2992,	0.692883,	62.0177,	23
35,	-9900015,	43.9664,	0.566182,	-1.86771,	51.2037,	23
36,	9900015,	49.5863,	-1.12364,	1.87249,	84.3247,	23
37,	9900015,	15.1868,	-3.19129,	-1.37167,	184.981,	23
