event,	id,	pt,	eta,	phi,	momentum,	mass
0,	9900015,	40.7631,	4.38614,	2.61577,	1637.5,	71
1,	9900015,	38.2283,	4.73042,	0.999632,	2166.63,	71
2,	9900015,	2.75982,	-4.91449,	-0.301359,	188.023,	71
3,	-9900015,	7.78718,	5.34881,	-1.14344,	819.067,	71
3,	-9900015,	7.24368,	5.42712,	-1.1006,	823.957,	71
4,	-9900015,	1.87402,	8.01484,	-2.26364,	2834.96,	71
5,	-9900015,	8.32255,	-6.18714,	0.297618,	2024.28,	71
6,	-9900015,	6.22883,	2.94693,	-2.52361,	59.4848,	71
7,	-9900015,	5.28437,	-4.32656,	-1.48842,	200.004,	71
8,	-9900015,	12.7849,	-0.871746,	1.52905,	17.9583,	71
9,	9900015,	13.8978,	2.74514,	2.78597,	108.618,	71
10,	-9900015,	17.8348,	-5.73831,	-1.97785,	2769.23,	71
11,	9900015,	9.1076,	3.92276,	1.59643,	230.239,	71
12,	9900015,	12.4654,	-3.40062,	2.99192,	187.08,	71
13,	9900015,	2.92034,	4.15684,	2.85158,	93.2827,	71
14,	9900015,	6.5862,	-5.05652,	0.913495,	517.177,	71
15,	-9900015,	7.52497,	-6.11663,	-3.07241,	1705.67,	71
16,	-9900015,	3.06376,	3.25637,	-1.99046,	39.819,	71
17,	-9900015,	21.6023,	5.33702,	-0.879091,	2245.53,	71
18,	9900015,	13.265,	-4.75144,	2.86401,	767.778,	71
19,	9900015,	4.3503,	7.06903,	2.72004,	2555.83,	71
20,	9900015,	15.3477,	-3.75834,	2.68745,	329.211,	71
21,	-9900015,	10.623,	5.50759,	-2.60605,	1309.61,	71
22,	9900015,	3.68143,	5.48415,	0.258931,	443.334,	71
23,	9900015,	25.6217,	-5.06299,	1.58197,	2024.99,	71
24,	-9900015,	14.7397,	-5.09222,	-2.36001,	1199.49,	71
25,	9900015,	18.6574,	-5.66944,	0.995373,	2704.16,	71
26,	9900015,	11.5791,	5.6626,	-1.20484,	1666.8,	71
27,	9900015,	27.584,	1.11366,	-2.26109,	46.5319,	71
28,	9900015,	9.10986,	-2.72417,	3.00282,	69.7333,	71
29,	-9900015,	9.38363,	-5.47578,	-0.134259,	1120.6,	71
