event,weight,id,parent_id,pt,eta,phi,momentum,mass,decay_x_m,decay_y_m,decay_z_m,L_xyz_m,L_xy_m
48,1,9900015,521,10.8722,1.37445,-0.832804,22.8637,3.6,2.14964,-2.36405,5.91106,6.71569,3.19347
50,1,9900015,521,15.3033,-0.249069,-1.57986,15.7804,3.6,-0.0396793,-4.43237,-1.11531,4.56485,4.42683
50,1,-9900015,-521,7.28635,-1.62051,1.02191,19.1393,3.6,0.622479,1.01863,-2.8988,3.11859,1.18725
51,1,-9900015,-521,13.8794,-3.50967,1.7101,232.253,3.6,-0.394493,2.81213,-47.4338,47.4815,2.83749
54,1,-9900015,-521,7.17751,0.960754,-1.33784,10.7529,3.6,0.952981,-4.01728,4.60572,6.1842,4.12793
55,1,9900015,521,6.44602,1.85822,2.84084,21.1695,3.6,-0.729986,0.226412,2.3908,2.5098,0.764223
56,1,9900015,521,19.1662,-3.05381,0.706127,203.575,3.6,3.80236,3.24274,-52.842,53.0484,4.99441
58,1,9900015,521,6.39083,-1.69347,1.41901,17.9653,3.6,0.0111484,0.0722055,-0.192625,0.200079,0.0711744
58,1,-9900015,-521,7.03283,-1.24997,-2.44127,13.2806,3.6,-0.904716,-0.762569,-1.89604,2.23138,1.18164
60,1,9900015,521,9.03578,2.08229,0.818482,36.8092,3.6,1.61075,1.72102,9.30875,9.60216,2.3571
61,1,9900015,521,4.43232,-0.892063,-0.491468,6.31598,3.6,0.135593,-0.0725842,-0.156114,0.218761,0.153518
61,1,-9900015,-521,3.55353,-2.2171,-2.39696,16.5055,3.6,-1.56449,-1.44182,-9.65051,9.88154,2.12744
62,1,9900015,521,9.2004,0.642895,2.98255,11.1681,3.6,-1.66778,0.267614,1.16237,2.04945,1.68835
63,1,9900015,521,8.0679,3.49382,-1.86083,132.886,3.6,-0.838408,-2.80915,48.1968,48.2834,2.93142
64,1,9900015,521,6.99428,-3.96976,1.07499,185.316,3.6,1.19094,2.20175,-66.2691,66.2427,2.50016
66,1,9900015,521,5.10362,0.728828,2.36923,6.52019,3.6,-0.219201,0.214025,0.243474,0.38969,0.305026
66,1,-9900015,-521,6.68365,-2.73221,-0.931401,51.5709,3.6,1.32568,-1.78275,-16.9981,17.1391,2.22125
67,1,9900015,521,11.161,0.374557,2.53593,11.9531,3.6,-0.638183,0.441943,0.297633,0.831113,0.776038
68,1,-9900015,-521,5.84108,-1.2423,0.507953,10.9587,3.6,0.453634,0.252774,-0.823472,0.969056,0.516517
69,1,9900015,521,19.3869,-1.15886,-0.395326,33.9285,3.6,1.97994,-0.826212,-3.08133,3.75247,2.14418
71,1,-9900015,-521,5.96281,-1.01925,-2.60195,9.33771,3.6,-5.19073,-3.10898,-7.29183,9.47437,6.05008
72,1,-9900015,-521,13.3659,2.66238,2.72316,96.235,3.6,-0.0518741,0.0230512,0.404887,0.406712,0.0564873
72,1,9900015,521,5.54464,3.59977,0.541533,101.515,3.6,0.80849,0.48627,17.2465,17.2659,0.943049
73,1,9900015,521,9.61833,2.67747,-2.03326,70.2951,3.6,-0.432709,-0.867972,7.02142,7.08748,0.969764
74,1,9900015,521,9.78904,2.32073,1.1853,50.3221,3.6,0.064683,0.159646,0.87001,0.876089,0.170423
76,1,-9900015,-521,15.4848,-1.78441,1.90996,47.4144,3.6,-0.789329,2.23728,-6.86647,7.26042,2.37114
76,1,9900015,521,8.00161,0.388226,-0.295616,8.61222,3.6,1.03254,-0.314342,0.429841,1.16042,1.07814
78,1,-9900015,-521,5.32005,2.36169,-2.37253,28.4706,3.6,-1.84575,-1.78639,13.5043,13.7456,2.56851
78,1,9900015,521,10.1387,4.99882,1.61818,751.503,3.6,-0.146131,3.08049,228.568,228.554,3.08348
79,1,-9900015,-521,4.93912,-4.50863,1.7433,224.257,3.6,-0.17547,1.00812,-46.4436,46.4134,1.02222
80,1,9900015,521,8.41069,-0.0117495,2.32759,8.41127,3.6,-0.369455,0.390872,-0.00635237,0.535791,0.535754
80,1,-9900015,-521,12.2356,-1.20373,-0.0252884,22.2236,3.6,7.49877,-0.189813,-11.3735,13.6219,7.49979
81,1,9900015,521,6.56767,3.09389,1.55717,72.5995,3.6,0.0232081,1.72848,19.0291,19.0879,1.72678
82,1,-9900015,-521,19.5722,0.942725,0.197302,28.933,3.6,4.57692,0.91465,5.081,6.89084,4.66144
83,1,9900015,521,9.34988,-0.957151,-2.61594,13.9699,3.6,-0.348611,-0.202398,-0.448241,0.594537,0.397916
83,1,-9900015,-521,12.9359,0.0506725,-0.118025,12.9525,3.6,1.00049,-0.118602,0.0510677,1.00843,1.00714
84,1,9900015,521,7.58117,-1.50253,1.8401,17.8749,3.6,-0.102137,0.370046,-0.819811,0.904498,0.38362
85,1,-9900015,-521,18.0173,2.85345,-0.6388,156.797,3.6,1.36725,-1.01579,14.7258,14.7656,1.69669
86,1,-9900015,-521,8.48085,0.366939,-2.60797,9.05824,3.6,-1.47678,-0.872534,0.643594,1.83165,1.7149
87,1,-9900015,-521,9.91731,1.3937,1.26902,21.2125,3.6,0.189891,0.609245,1.20604,1.35913,0.635422
87,1,9900015,521,4.91471,-0.288219,-1.47415,5.12026,3.6,0.013712,-0.138955,-0.0410396,0.14426,0.138469
88,1,-9900015,-521,6.88929,-4.60906,1.69448,345.841,3.6,-0.0942478,0.755352,-38.1933,38.0997,0.758962
89,1,-9900015,-521,4.55007,0.994769,-2.09199,6.99325,3.6,-0.262643,-0.4574,0.61554,0.810144,0.52711
90,1,-9900015,-521,11.0728,1.90879,-2.74189,38.1636,3.6,-3.75936,-1.58802,13.4606,14.0628,4.08019
91,1,-9900015,-521,9.75491,0.794237,0.830095,12.9968,3.6,4.71313,5.15436,6.14898,9.30423,6.98338
92,1,-9900015,-521,13.3696,0.911119,-2.87609,19.3135,3.6,-3.76178,-1.02288,4.06415,5.63102,3.89801
92,1,9900015,521,3.06438,-1.08389,-0.0211679,5.04771,3.6,2.63076,-0.0558131,-3.44418,4.33386,2.63102
93,1,-9900015,-521,13.7179,-1.35882,2.17824,28.4546,3.6,-0.249518,0.358877,-0.794888,0.899699,0.433741
93,1,9900015,521,8.40573,-1.03965,-0.551744,13.3727,3.6,2.55482,-1.5724,-3.71164,4.77062,2.99868
95,1,9900015,521,18.504,-1.93745,-2.57548,65.5509,3.6,-1.67254,-1.06287,-6.73459,7.01466,1.98012
96,1,-9900015,-521,6.37859,-1.38855,0.880705,13.5815,3.6,1.37288,1.66316,-4.05339,4.58875,2.15512
96,1,9900015,521,5.91008,-2.80036,3.09656,48.7919,3.6,-0.305372,0.0138007,-2.50404,2.51784,0.304981
97,1,9900015,521,34.232,-0.664314,1.47934,42.0674,3.6,0.0481439,0.524936,-0.376519,0.647756,0.527106
98,1,9900015,521,12.5516,0.460265,3.02846,13.9047,3.6,-2.28123,0.259204,1.09441,2.54304,2.29557
99,1,-9900015,-521,3.31659,-1.54763,0.233759,8.14731,3.6,0.58172,0.138633,-1.34188,1.4681,0.597631
99,1,9900015,521,7.88337,-1.53534,-2.6274,19.1498,3.6,-0.47057,-0.265989,-1.19718,1.30937,0.539026
100,1,9900015,521,13.6352,1.03494,2.43022,21.6129,3.6,-2.89492,2.49517,4.70019,6.05702,3.82125
100,1,-9900015,-521,14.9354,-2.20656,-0.749106,68.6616,3.6,2.12188,-1.97322,-13.002,13.3195,2.89729
103,1,9900015,521,6.50362,-0.0404588,0.987312,6.50894,3.6,0.495291,0.75025,-0.0365782,0.89779,0.897056
107,1,-9900015,-521,7.17065,1.32087,1.475,14.39,3.6,0.0384376,0.40006,0.699219,0.805398,0.401337
107,1,9900015,521,1.76741,-4.61857,-2.42947,89.5708,3.6,-0.332445,-0.286938,-22.2515,22.2484,0.439004
108,1,-9900015,-521,23.5851,-0.295386,-2.63567,24.6215,3.6,-0.148042,-0.0819066,-0.0504721,0.171629,0.164405
109,1,9900015,521,4.96793,-1.09994,-0.408336,8.28868,3.6,0.0045061,-0.00197783,-0.00644554,0.00764355,0.00458127
111,1,9900015,521,9.91612,-1.61681,2.64677,25.958,3.6,-0.643269,0.347088,-1.76834,1.91302,0.730784
112,1,9900015,521,17.3368,0.300815,1.91468,18.1271,3.6,-0.380155,1.06155,0.344316,1.17882,1.12742
112,1,-9900015,-521,23.5831,0.834544,-1.03014,32.2834,3.6,4.09467,-6.82098,7.43702,10.8847,7.95131
115,1,9900015,521,11.1265,0.900938,3.10825,15.956,3.6,-1.4796,0.0491679,1.5216,2.12061,1.47875
116,1,-9900015,-521,4.85037,-5.57994,2.91084,642.819,3.6,-1.71064,0.401984,-232.896,232.834,1.75684
117,1,9900015,521,10.6263,0.0594606,3.04313,10.645,3.6,-0.878995,0.0874879,0.052455,0.879294,0.877742
117,1,-9900015,-521,9.45059,1.49139,-0.795275,22.0593,3.6,2.34629,-2.39317,7.06832,7.81945,3.34999
118,1,9900015,521,9.29435,-1.17298,0.0385985,16.4559,3.6,4.85958,0.187525,-7.10556,8.60858,4.86215
119,1,-9900015,-521,7.18596,-3.09137,1.15703,79.2344,3.6,1.31321,2.9906,-35.8658,36.0136,3.26616
120,1,-9900015,-521,13.0132,-3.10884,-0.547236,146.006,3.6,0.845692,-0.515226,-11.0664,11.0996,0.989286
120,1,9900015,521,9.90926,-3.0958,2.24549,109.746,3.6,-0.417181,0.521375,-7.36422,7.37765,0.66615
121,1,-9900015,-521,6.67424,1.83259,0.162578,21.3912,3.6,7.63393,1.25218,23.5558,24.7856,7.73333
122,1,-9900015,-521,5.94578,1.05121,0.359088,9.54481,3.6,1.04465,0.392116,1.40127,1.79108,1.11572
124,1,-9900015,-521,3.40076,0.419675,2.13401,3.70467,3.6,-0.388644,0.615183,0.314216,0.790712,0.725848
124,1,9900015,521,6.02217,-0.596546,-1.51019,7.12588,3.6,0.144618,-2.3857,-1.51163,2.82666,2.38885
125,1,9900015,521,12.3316,0.720735,1.86548,15.6755,3.6,-0.557522,1.83681,1.50654,2.43879,1.91854
126,1,-9900015,-521,4.26703,-3.2285,2.11715,53.9381,3.6,-1.50539,2.47543,-36.5082,36.6134,2.89648
127,1,-9900015,-521,30.5274,2.84731,2.89915,264.053,3.6,-6.35155,1.5706,56.2136,56.5527,6.53811
128,1,9900015,521,6.93669,4.66202,0.595613,367.158,3.6,1.71292,1.16066,109.499,109.464,2.0681
130,1,-9900015,-521,7.65167,-2.19274,0.992627,34.7053,3.6,0.190953,0.292621,-1.54602,1.58378,0.349184
130,1,9900015,521,6.45186,-1.34043,-1.92733,13.1696,3.6,-0.0425948,-0.114412,-0.217198,0.248849,0.121912
131,1,9900015,521,8.15938,-3.78509,-2.55319,179.76,3.6,-7.20809,-4.80968,-190.71,190.889,8.6645
132,1,9900015,521,7.40839,-0.37174,-0.0862656,7.92619,3.6,0.788238,-0.0681248,-0.301121,0.845426,0.790196
132,1,-9900015,-521,4.61075,-2.8988,-2.89928,41.975,3.6,-1.01946,-0.251979,-9.50011,9.53736,1.04763
133,1,9900015,521,9.58373,3.40257,2.01978,144.112,3.6,-0.130018,0.269385,4.48689,4.47172,0.297377
134,1,-9900015,-521,3.80446,-4.86893,0.0440186,247.65,3.6,0.46108,0.0202953,-30.0439,30.0138,0.461078
135,1,-9900015,-521,26.9105,0.620886,-0.843666,32.2663,3.6,6.36094,-7.14899,6.33061,11.4705,9.56653
135,1,9900015,521,23.0522,1.14739,2.34024,39.966,3.6,-0.507719,0.52419,1.03353,1.26504,0.729671
136,1,9900015,521,13.0426,2.95583,0.384125,125.663,3.6,0.103508,0.0417543,1.06998,1.06746,0.110792
136,1,-9900015,-521,7.96167,4.99056,-2.68307,585.283,3.6,-0.359602,-0.17758,29.4778,29.4178,0.400174
138,1,9900015,521,9.81886,-2.05448,-0.323098,38.9364,3.6,0.482797,-0.161667,-1.95394,2.01776,0.508832
140,1,9900015,521,11.7844,-0.0541775,2.44298,11.8017,3.6,-2.82514,2.3731,-0.199812,3.69305,3.68764
141,1,9900015,521,8.77761,4.21035,0.146336,295.784,3.6,5.02722,0.740775,171.148,171.131,5.07844
142,1,-9900015,-521,12.1293,-0.280368,-2.57218,12.6091,3.6,-1.90757,-1.22112,-0.643382,2.35427,2.26467
144,1,9900015,521,4.03232,2.01175,2.15123,15.3433,3.6,-0.262292,0.399991,1.75582,1.81898,0.478041
146,1,-9900015,-521,5.54305,1.46628,-1.22384,12.6488,3.6,0.0597846,-0.165581,0.360587,0.398838,0.174781
147,1,9900015,521,9.74376,2.11055,-1.68206,40.7971,3.6,-0.0360884,-0.322164,1.31793,1.35428,0.323449
149,1,9900015,521,0.310687,-6.36256,-1.6475,90.057,3.6,-3.42912e-05,-0.000364661,-0.116872,0.114427,0.000394762
150,1,-9900015,-521,5.85544,3.14871,-2.92446,68.359,3.6,-0.512878,-0.113197,6.1085,6.12681,0.524805
152,1,-9900015,-521,9.38389,3.79171,2.77376,208.109,3.6,-7.43569,2.86553,176.549,176.703,7.96776
154,1,9900015,521,6.54897,-2.60281,1.56128,44.4532,3.6,0.0262424,2.75097,-18.4705,18.6717,2.75076
155,1,-9900015,-521,6.16465,-0.0600077,1.91019,6.17575,3.6,-0.173425,0.490756,-0.031277,0.518597,0.517665
156,1,9900015,521,8.83614,1.14663,0.139817,15.3098,3.6,6.96198,0.979908,9.94792,12.1801,7.02984
158,1,9900015,521,6.30926,-1.38428,1.63203,13.3834,3.6,-0.035747,0.584199,-1.09489,1.24082,0.584954
