event,weight,id,parent_id,pt,eta,phi,momentum,mass,decay_x_m,decay_y_m,decay_z_m,L_xyz_m,L_xy_m
0,1,-9900015,-521,14.9607,1.07983,-1.5914,24.5643,4,-0.0869038,-4.22232,5.49961,6.93075,4.22113
0,1,9900015,521,15.6821,-0.644648,2.51047,19.055,4,-12.0064,8.77457,-10.2645,18.0683,14.87
1,1,-9900015,-521,4.87962,-2.80305,-3.0096,40.3923,4,-2.67821,-0.355553,-22.1999,22.3603,2.70125
2,1,9900015,521,8.33536,-4.9425,1.3522,584.003,4,0.0970615,0.436959,-31.3582,31.3562,0.44754
3,1,-9900015,-521,12.0573,-1.90336,-2.33383,41.341,4,-5.1034,-5.3369,-24.2179,25.3184,7.3842
3,1,9900015,521,9.40726,-3.50206,1.02577,156.225,4,1.18095,1.94754,-37.7479,37.7484,2.27306
4,1,9900015,521,37.0006,1.8474,2.02426,120.27,4,-1.15392,2.3679,8.14678,8.55184,2.63094
5,1,9900015,521,3.71716,-0.225992,0.967452,3.81249,4,0.473563,0.687182,-0.190269,0.85564,0.834246
5,1,-9900015,-521,9.2141,0.59629,-0.592069,10.9013,4,0.353986,-0.238088,0.269745,0.504488,0.426408
6,1,-9900015,-521,7.00231,-3.63171,0.712435,132.358,4,0.467052,0.403443,-11.6493,11.6637,0.617062
7,1,9900015,521,7.24395,-1.46296,2.48799,16.481,4,-0.445019,0.340717,-1.1456,1.27302,0.559536
7,1,-9900015,-521,6.30313,0.544044,0.404309,7.25918,4,1.47409,0.63075,0.915964,1.84489,1.60191
8,1,9900015,521,18.6455,-0.690688,0.74623,23.2725,4,0.28925,0.267376,-0.294285,0.489839,0.392449
8,1,-9900015,-521,5.8304,-2.41147,-3.11833,32.7668,4,-0.492867,-0.0115767,-2.72696,2.76383,0.491785
10,1,-9900015,-521,6.75651,-2.64122,1.16881,47.6389,4,0.154255,0.362789,-2.75308,2.7715,0.393076
10,1,9900015,521,1.8372,-4.87412,-0.306105,120.214,4,0.64041,-0.202144,-43.9381,43.9149,0.671142
11,1,-9900015,-521,12.3316,2.4855,-2.25266,74.5468,4,-1.13954,-1.40381,10.78,10.9275,1.80763
12,1,9900015,521,5.92152,4.16373,-1.14948,190.455,4,0.615134,-1.37258,48.3522,48.3644,1.50372
14,1,-9900015,-521,10.3389,-2.59128,-1.18692,69.3831,4,0.791826,-1.96001,-14.0269,14.1712,2.11167
15,1,-9900015,-521,5.75371,-5.02292,0.703967,436.883,4,0.086301,0.073342,-8.5979,8.56389,0.112786
16,1,-9900015,-521,7.69518,-4.65917,1.01114,406.142,4,0.639754,1.02125,-63.5931,63.5869,1.20478
17,1,9900015,521,5.87629,1.75961,1.05916,17.5768,4,0.0966651,0.172122,0.556202,0.588244,0.196662
17,1,-9900015,-521,8.55137,1.11129,-2.21853,14.398,4,-1.1139,-1.47208,2.50079,3.10645,1.845
18,1,-9900015,-521,13.4565,0.17569,-0.201407,13.6647,4,4.6106,-0.941401,0.831003,4.77779,4.70499
19,1,9900015,521,17.9024,-2.75837,-1.7775,141.765,4,-2.54445,-12.134,-97.3903,98.1754,12.3978
20,1,9900015,521,16.2932,-2.69943,2.55249,121.698,4,-6.12828,4.09532,-54.5582,55.0463,7.36974
22,1,9900015,521,5.79476,5.06663,0.28854,459.656,4,2.00865,0.596266,166.192,166.17,2.09486
23,1,9900015,521,13.4673,3.80277,2.72771,301.989,4,-1.95791,0.860025,47.9053,47.9333,2.1376
24,1,-9900015,-521,4.69338,3.51362,2.66464,78.8472,4,-1.04046,0.537742,19.6408,19.6697,1.17084
25,1,-9900015,-521,4.8861,-0.136273,-1.71705,4.93154,4,-0.119986,-0.814497,-0.11254,0.830864,0.823208
26,1,-9900015,-521,13.622,2.1779,-2.96903,60.8973,4,-1.01084,-0.176164,4.47103,4.58387,1.02535
29,1,9900015,521,7.94842,0.571344,3.09679,9.28141,4,-0.264296,0.0117147,0.159527,0.307664,0.263478
32,1,-9900015,-521,9.44871,-1.34254,-0.240307,19.3223,4,1.19427,-0.292646,-2.19334,2.51443,1.22957
33,1,-9900015,-521,15.0816,-0.056082,-1.45246,15.1053,4,0.163769,-1.37965,-0.0776341,1.38592,1.38374
34,1,-9900015,-521,12.8254,-0.381292,0.834984,13.7691,4,0.832756,0.919503,-0.484348,1.32871,1.23765
36,1,9900015,521,4.62811,-3.31244,-2.53428,63.61,4,-2.62903,-1.82698,-43.8854,44.0007,3.20138
36,1,-9900015,-521,10.2431,-2.24173,-0.0762307,48.7361,4,2.71776,-0.207648,-12.6779,12.9558,2.72298
37,1,-9900015,-521,17.2355,-0.410318,-2.08939,18.7069,4,-0.134763,-0.235943,-0.114523,0.291211,0.268306
38,1,-9900015,-521,10.0728,3.70318,0.575991,204.482,4,4.6475,3.01834,112.36,112.496,5.5416
39,1,-9900015,-521,7.63746,-0.603824,-0.540677,9.0726,4,3.15739,-1.89547,-2.36128,4.37418,3.68225
40,1,9900015,521,7.89417,3.10274,0.117394,88.0347,4,0.347588,0.0410226,3.88838,3.89087,0.348899
41,1,-9900015,-521,10.7437,-1.86537,0.703912,35.5247,4,0.510524,0.433413,-2.11071,2.21346,0.669411
41,1,9900015,521,6.26022,-0.584181,-2.38563,7.35915,4,-2.45567,-2.31547,-2.08561,3.96594,3.37371
42,1,-9900015,-521,9.79012,-1.11723,2.29186,16.5627,4,-0.427189,0.486035,-0.883003,1.09458,0.647001
42,1,9900015,521,5.16248,-0.983997,-1.56244,7.87006,4,0.00213615,-0.254559,-0.292845,0.387522,0.254201
