# PastExclusion HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLimits Utau4 single-flavor compilation
# kind: envelope
# mass_GeV  u2
5.323e-06  0.13
5.425e-06  0.13
5.53e-06  0.13
5.636e-06  0.13
5.744e-06  0.13
5.854e-06  0.13
5.967e-06  0.13
6.081e-06  0.13
6.198e-06  0.13
6.317e-06  0.13
6.439e-06  0.13
6.562e-06  0.13
6.688e-06  0.13
6.817e-06  0.13
6.948e-06  0.13
7.081e-06  0.13
7.217e-06  0.13
7.356e-06  0.13
7.497e-06  0.13
7.641e-06  0.13
7.787e-06  0.13
7.937e-06  0.13
8.089e-06  0.13
8.245e-06  0.13
8.403e-06  0.13
8.565e-06  0.13
8.729e-06  0.13
8.897e-06  0.13
9.067e-06  0.13
9.242e-06  0.13
9.419e-06  0.13
9.6e-06  0.13
9.784e-06  0.13
9.972e-06  0.13
1.0164e-05  0.13
1.0359e-05  0.13
1.0558e-05  0.13
1.0761e-05  0.13
1.0967e-05  0.13
1.1178e-05  0.13
1.1393e-05  0.13
1.1611e-05  0.13
1.1834e-05  0.13
1.2062e-05  0.13
1.2293e-05  0.13
1.2529e-05  0.13
1.277e-05  0.13
1.3015e-05  0.13
1.3265e-05  0.13
1.352e-05  0.13
1.3779e-05  0.13
1.4044e-05  0.13
1.4314e-05  0.13
1.4589e-05  0.13
1.4869e-05  0.13
1.5154e-05  0.13
1.5445e-05  0.13
1.5742e-05  0.13
1.6044e-05  0.13
1.6352e-05  0.13
1.6666e-05  0.13
1.6986e-05  0.13
1.7313e-05  0.13
1.7645e-05  0.13
1.7984e-05  0.13
1.8329e-05  0.13
1.8681e-05  0.13
1.904e-05  0.13
1.9406e-05  0.13
1.9778e-05  0.13
2.0158e-05  0.13
2.0545e-05  0.13
2.094e-05  0.13
2.1342e-05  0.13
2.1752e-05  0.13
2.217e-05  0.13
2.2595e-05  0.13
2.3029e-05  0.13
2.3472e-05  0.13
2.3922e-05  0.13
2.4382e-05  0.13
2.485e-05  0.13
2.5327e-05  0.13
2.5814e-05  0.13
2.6309e-05  0.13
