event,	id,	pt,	eta,	phi,	momentum,	mass
0,	9900015,	21.6254,	4.94383,	-0.363427,	1517.17,	15
1,	9900015,	24.4798,	2.28118,	0.783198,	121.057,	15
2,	-9900015,	22.8822,	0.863861,	1.20207,	31.9646,	15
2,	-9900015,	22.8119,	0.864305,	1.20214,	31.8762,	15
3,	-9900015,	42.934,	-2.33586,	2.982,	224.01,	15
3,	-9900015,	42.934,	-2.33586,	2.982,	224.01,	15
4,	9900015,	9.35573,	-4.68288,	1.36609,	505.631,	15
5,	-9900015,	40.8523,	-2.02993,	-0.924551,	158.199,	15
5,	-9900015,	40.8523,	-2.02993,	-0.924551,	158.199,	15
6,	9900015,	38.0385,	3.2779,	-1.43722,	505.106,	15
7,	-9900015,	37.5335,	0.128317,	0.409432,	37.8429,	15
8,	-9900015,	8.81712,	-1.39241,	-0.944403,	18.8379,	15
9,	-9900015,	26.277,	3.5371,	3.10644,	451.913,	15
9,	-9900015,	26.277,	3.5371,	3.10644,	451.913,	15
10,	-9900015,	54.6742,	-3.31426,	1.28364,	752.819,	15
11,	-9900015,	32.4518,	-0.389466,	0.526501,	34.9443,	15
12,	-9900015,	23.4563,	-3.8796,	1.64753,	567.944,	15
12,	-9900015,	23.4563,	-3.8796,	1.64753,	567.944,	15
12,	-9900015,	23.4563,	-3.8796,	1.64753,	567.944,	15
13,	9900015,	29.2117,	-0.797575,	-0.246048,	39.0059,	15
13,	9900015,	29.2117,	-0.797575,	-0.246048,	39.0059,	15
14,	9900015,	27.5731,	1.56627,	-2.58924,	68.899,	15
14,	9900015,	27.5731,	1.56627,	-2.58924,	68.8989,	15
14,	9900015,	27.5731,	1.56627,	-2.58924,	68.8989,	15
15,	9900015,	28.7465,	-1.07604,	2.9401,	47.0576,	15
16,	-9900015,	12.4845,	-3.39429,	-1.28244,	186.188,	15
17,	-9900015,	33.3148,	-0.163833,	-0.405522,	33.7629,	15
18,	9900015,	33.3799,	2.5499,	-1.93393,	215.033,	15
19,	9900015,	15.0717,	-4.91529,	1.58671,	1027.64,	15
19,	9900015,	15.0716,	-4.91529,	1.58671,	1027.63,	15
20,	-9900015,	31.1257,	-0.0400227,	-2.8638,	31.1506,	15
21,	-9900015,	40.9143,	-3.41431,	1.2001,	622.491,	15
