event,	id,	pt,	eta,	phi,	momentum,	mass
11007,	-6000113,	49.9492,	-0.0860838,	-2.94072,	50.1344,	15
11008,	6000113,	68.5427,	-0.127725,	-2.46394,	69.1026,	15
11008,	-6000113,	65.6659,	0.394441,	-0.286293,	70.8407,	15
11009,	6000113,	81.6773,	-0.454593,	-0.274944,	90.2632,	15
11009,	-6000113,	57.395,	-0.128981,	2.69152,	57.8731,	15
11010,	6000113,	74.6744,	0.580309,	1.51653,	87.6048,	15
11010,	-6000113,	54.0482,	-0.146772,	-2.1915,	54.6314,	15
11011,	6000113,	25.9025,	-3.18487,	0.336108,	313.493,	15
11011,	-6000113,	47.0882,	-0.422111,	1.62569,	51.3459,	15
11012,	6000113,	116.67,	-1.09701,	-0.379419,	194.2,	15
11012,	-6000113,	43.8234,	-1.33742,	-3.13368,	89.218,	15
11013,	6000113,	62.5656,	-2.37229,	-2.27655,	338.33,	15
11013,	-6000113,	64.1193,	-2.18237,	0.930715,	287.898,	15
11014,	6000113,	75.9325,	-0.209971,	-0.256368,	77.6126,	15
11014,	-6000113,	423.512,	-0.679258,	0.224242,	525.029,	15
11015,	6000113,	57.3017,	1.8298,	1.87676,	183.168,	15
11015,	-6000113,	64.5704,	2.38321,	-1.3452,	352.937,	15
11016,	6000113,	94.3569,	1.79362,	-1.2187,	291.445,	15
11016,	-6000113,	56.4564,	0.616751,	-0.0766305,	67.5386,	15
11017,	6000113,	73.6906,	2.49053,	0.996231,	447.692,	15
11017,	-6000113,	38.4777,	1.38821,	-2.15158,	81.9032,	15
11018,	6000113,	86.6271,	-0.656998,	1.28793,	106.005,	15
11018,	-6000113,	69.8076,	-0.376194,	-1.08804,	74.8058,	15
11019,	6000113,	54.1466,	-1.57769,	1.66871,	136.726,	15
11019,	-6000113,	67.4364,	-1.11899,	-1.52389,	114.25,	15
11020,	6000113,	25.004,	-1.17731,	-0.00270228,	44.429,	15
11020,	-6000113,	130.241,	-0.0507716,	3.0083,	130.409,	15
11021,	6000113,	44.3936,	1.24394,	0.378603,	83.4043,	15
11021,	-6000113,	94.0318,	0.265286,	-1.72453,	97.36,	15
11022,	6000113,	47.6155,	-0.330582,	-0.614568,	50.2411,	15
11022,	-6000113,	13.9449,	-3.66313,	2.77991,	271.987,	15
11023,	6000113,	36.7276,	-0.183016,	-0.970793,	37.3444,	15
11023,	-6000113,	52.8478,	1.57308,	2.23113,	132.883,	15
11024,	6000113,	82.7095,	2.90405,	-2.13832,	756.904,	15
11024,	-6000113,	90.4239,	-0.220804,	1.35611,	92.6371,	15
11025,	6000113,	41.976,	1.43556,	-2.80394,	93.1862,	15
11025,	-6000113,	46.5664,	3.24298,	0.705152,	597.193,	15
11026,	6000113,	30.3225,	-2.29411,	-1.15616,	151.862,	15
11026,	-6000113,	48.0531,	-0.202003,	2.22297,	49.0368,	15
11027,	6000113,	21.3912,	-1.99752,	-0.0780962,	80.2855,	15
11027,	-6000113,	93.2153,	-0.267988,	2.91515,	96.5826,	15
11028,	6000113,	56.1901,	-1.25341,	0.801379,	106.418,	15
11028,	-6000113,	69.4321,	-1.38898,	-2.59166,	147.894,	15
11029,	6000113,	55.0848,	-2.11218,	-0.610995,	231.005,	15
11029,	-6000113,	90.0795,	-1.74519,	1.49855,	265.807,	15
11030,	6000113,	63.4562,	0.364517,	-1.06874,	67.7189,	15
11030,	-6000113,	76.834,	1.27001,	2.02299,	147.587,	15
11031,	6000113,	51.2331,	3.36443,	-2.87306,	741.638,	15
11031,	-6000113,	39.7221,	1.30388,	2.46642,	78.5514,	15
11032,	6000113,	46.0439,	-3.07746,	-1.44372,	500.709,	15
11032,	-6000113,	37.6675,	-0.695982,	1.89336,	47.1646,	15
11033,	6000113,	144.976,	0.816052,	3.11936,	195.988,	15
11033,	-6000113,	66.3322,	0.665972,	1.74354,	81.5938,	15
11034,	6000113,	41.0779,	0.00329756,	-2.87661,	41.0781,	15
11034,	-6000113,	66.8171,	-1.32416,	-0.265904,	134.471,	15
11035,	6000113,	53.1072,	0.812373,	-0.810968,	71.6164,	15
11035,	-6000113,	89.1222,	0.31863,	2.24122,	93.6846,	15
11036,	6000113,	123.367,	0.774889,	-1.33205,	162.296,	15
11036,	-6000113,	10.5317,	3.23599,	2.16179,	134.126,	15
11037,	6000113,	201.929,	0.287864,	-1.2875,	210.354,	15
11037,	-6000113,	191.603,	0.467949,	1.62295,	212.967,	15
11038,	6000113,	53.7925,	1.84566,	2.72422,	174.563,	15
11038,	-6000113,	58.6832,	2.6805,	-0.481769,	430.175,	15
11039,	6000113,	47.8206,	0.968962,	0.280481,	72.082,	15
11039,	-6000113,	79.0139,	1.14456,	-2.46627,	136.671,	15
11040,	6000113,	45.9348,	0.772308,	-1.25797,	60.3286,	15
11040,	-6000113,	65.6621,	-0.405335,	1.69765,	71.1304,	15
11041,	6000113,	120.331,	0.602972,	1.61958,	142.877,	15
11041,	-6000113,	49.2759,	1.30964,	-3.05478,	97.93,	15
11042,	6000113,	113.198,	-0.54142,	-0.0828185,	130.199,	15
11042,	-6000113,	31.6742,	-0.441094,	3.00228,	34.8058,	15
11043,	6000113,	63.5199,	-3.80964,	0.269292,	1434.16,	15
11043,	-6000113,	59.4973,	-2.94696,	-2.32442,	568.211,	15
11044,	6000113,	86.7104,	-0.273356,	3.01713,	89.9703,	15
11044,	-6000113,	58.164,	1.25149,	2.401,	109.978,	15
11045,	6000113,	63.2285,	-3.37917,	-1.91717,	928.838,	15
11045,	-6000113,	55.5961,	-2.64108,	0.842091,	391.942,	15
11046,	6000113,	48.666,	-0.253338,	-0.752963,	50.2361,	15
11046,	-6000113,	87.4558,	0.136574,	2.14372,	88.2727,	15
11047,	6000113,	72.6374,	-0.384861,	1.43536,	78.0836,	15
11047,	-6000113,	64.9071,	-0.489811,	-1.56519,	72.8501,	15
11048,	6000113,	65.2446,	1.4289,	0.401434,	143.984,	15
11048,	-6000113,	64.981,	0.420203,	-2.73372,	70.8027,	15
11049,	6000113,	48.1381,	-0.779938,	-1.90018,	63.5367,	15
11049,	-6000113,	55.6412,	0.795413,	2.20978,	74.1906,	15
11050,	6000113,	43.127,	0.772919,	-0.575077,	56.6633,	15
11050,	-6000113,	36.435,	3.2267,	-2.75401,	459.74,	15
11051,	6000113,	44.4213,	-1.95086,	1.97644,	159.403,	15
11051,	-6000113,	54.1529,	-0.498754,	-1.22466,	61.0291,	15
11052,	6000113,	65.795,	0.0705465,	-1.07168,	65.9588,	15
11052,	-6000113,	61.6555,	0.350374,	2.22048,	65.4788,	15
11053,	6000113,	12.1645,	-2.194,	1.36203,	55.2416,	15
11053,	-6000113,	44.9212,	1.21933,	0.685798,	82.663,	15
11054,	6000113,	25.7027,	1.10058,	2.41947,	42.9053,	15
11054,	-6000113,	44.9341,	3.28577,	-1.36083,	601.375,	15
11055,	6000113,	115.242,	2.82828,	-2.44053,	978.144,	15
11055,	-6000113,	48.2339,	2.11024,	2.18186,	201.892,	15
11056,	6000113,	28.2544,	-0.244865,	-2.95261,	29.1056,	15
11056,	-6000113,	38.7502,	-2.59931,	0.75419,	262.121,	15
11057,	6000113,	14.8682,	0.648914,	2.64806,	18.11,	15
11057,	-6000113,	45.8685,	3.17741,	0.433921,	551.026,	15
11058,	6000113,	65.5458,	-0.364311,	1.81324,	69.9438,	15
11058,	-6000113,	29.0809,	-2.12911,	-1.64135,	123.977,	15
11059,	6000113,	69.1061,	-0.602083,	-2.70962,	82.0148,	15
11059,	-6000113,	80.0848,	-0.216355,	-0.776009,	81.9664,	15
11060,	6000113,	48.6134,	-0.831688,	0.143992,	66.4182,	15
11060,	-6000113,	42.7653,	-2.73659,	-3.00302,	331.411,	15
11061,	6000113,	53.5086,	1.01217,	-1.36313,	83.3394,	15
11061,	-6000113,	45.4515,	2.38588,	1.77123,	249.088,	15
11062,	6000113,	34.7013,	-1.04528,	-1.41944,	55.449,	15
11062,	-6000113,	112.273,	-1.66218,	0.905318,	306.533,	15
11063,	6000113,	19.8185,	2.20288,	-1.72563,	90.7839,	15
11063,	-6000113,	26.4634,	-1.24626,	2.10214,	49.8157,	15
11064,	6000113,	57.386,	0.730523,	1.69279,	73.3917,	15
11064,	-6000113,	140.906,	-0.397068,	1.00752,	152.161,	15
11065,	6000113,	86.7023,	0.673,	1.60136,	107.09,	15
11065,	-6000113,	67.8822,	-0.398921,	2.88716,	73.3555,	15
11066,	6000113,	199.057,	0.0262141,	1.28459,	199.126,	15
11066,	-6000113,	173.612,	-0.476966,	-1.53445,	193.738,	15
11067,	6000113,	158.796,	1.03463,	-0.764339,	251.646,	15
11067,	-6000113,	21.2893,	0.0110072,	1.14674,	21.2906,	15
11068,	6000113,	43.9861,	1.88249,	-0.461374,	147.839,	15
11068,	-6000113,	44.1984,	3.65345,	1.7396,	853.77,	15
11069,	6000113,	122.188,	0.625821,	-0.721803,	146.907,	15
11069,	-6000113,	216.188,	-0.301968,	-1.9146,	226.12,	15
11070,	6000113,	53.0926,	-0.498285,	2.38687,	59.8213,	15
