event_index,	id,	pt,	eta,	phi,	momentum,	mass
2500,	6000113,	122.339,	0.533223,	-2.05513,	140.147,	15
2500,	-6000113,	35.4771,	1.82614,	-0.495233,	113.011,	15
2501,	6000113,	61.4207,	0.925318,	-0.424094,	89.6459,	15
2501,	-6000113,	70.5944,	0.481305,	-2.97579,	78.9302,	15
2502,	6000113,	51.4822,	0.397937,	-1.91407,	55.6125,	15
2502,	-6000113,	58.5964,	1.82444,	1.10775,	186.355,	15
2503,	6000113,	67.6831,	-0.238477,	-0.980553,	69.6168,	15
2503,	-6000113,	54.3756,	0.129706,	2.18603,	54.8336,	15
2504,	6000113,	39.1513,	0.828106,	-0.297592,	53.3604,	15
2504,	-6000113,	29.7175,	3.33005,	-2.94035,	415.683,	15
2505,	6000113,	23.8478,	-1.35389,	1.8379,	49.2541,	15
2505,	-6000113,	73.9497,	0.540968,	-0.99475,	85.0368,	15
2506,	6000113,	36.5225,	1.3594,	3.0202,	75.7964,	15
2506,	-6000113,	20.3297,	4.27215,	0.212397,	728.711,	15
2507,	6000113,	47.152,	2.60993,	3.13537,	322.323,	15
2507,	-6000113,	177.836,	2.85243,	-1.73517,	1546.06,	15
2508,	6000113,	54.7503,	0.768181,	1.72204,	71.7147,	15
2508,	-6000113,	62.0733,	0.172878,	-1.45044,	63.0032,	15
2509,	6000113,	77.523,	0.621242,	-2.49791,	92.97,	15
2509,	-6000113,	85.4795,	1.23297,	0.783273,	159.113,	15
2510,	6000113,	103.451,	0.903565,	-1.74083,	148.634,	15
2510,	-6000113,	74.136,	0.958392,	1.37912,	110.871,	15
2511,	6000113,	53.439,	-0.0507186,	-2.95401,	53.5077,	15
2511,	-6000113,	73.9191,	-0.447094,	0.801171,	81.4309,	15
2512,	6000113,	32.494,	0.761074,	-2.01021,	42.3679,	15
2512,	-6000113,	14.3563,	-2.68461,	1.13031,	105.668,	15
2513,	6000113,	81.5057,	-0.0563681,	-0.742974,	81.6352,	15
2513,	-6000113,	70.1266,	-0.561734,	1.17131,	81.4846,	15
2514,	6000113,	52.9429,	-1.22366,	0.515256,	97.7796,	15
2514,	-6000113,	44.0827,	-2.85337,	2.63766,	383.604,	15
2515,	6000113,	266.933,	0.631488,	0.71924,	321.949,	15
2515,	-6000113,	321.549,	1.0578,	0.866024,	518.859,	15
2516,	6000113,	61.1883,	2.5289,	-0.0498135,	386.081,	15
2516,	-6000113,	57.9634,	3.07728,	3.11045,	630.219,	15
2517,	6000113,	76.0117,	-0.357964,	-0.575058,	80.934,	15
2517,	-6000113,	47.7723,	0.325572,	3.02232,	50.3266,	15
2518,	6000113,	78.1146,	1.96643,	-1.40243,	284.535,	15
2518,	-6000113,	87.6025,	0.738168,	-2.2764,	112.573,	15
2519,	6000113,	33.6051,	3.08238,	-2.51904,	367.236,	15
2519,	-6000113,	53.2428,	1.29943,	0.651177,	104.885,	15
2520,	6000113,	48.7207,	1.41434,	1.91561,	106.135,	15
2520,	-6000113,	55.9231,	0.122219,	-1.47535,	56.3413,	15
2521,	6000113,	49.8743,	1.95283,	-2.81113,	179.31,	15
2521,	-6000113,	42.1285,	-0.137377,	2.25953,	42.5267,	15
2522,	6000113,	13.8029,	1.03996,	0.291942,	21.9643,	15
2522,	-6000113,	37.8076,	-2.29915,	1.98443,	190.286,	15
2523,	6000113,	61.2656,	1.25507,	-1.39525,	116.195,	15
2523,	-6000113,	61.7395,	0.772158,	1.4232,	81.0778,	15
2524,	6000113,	49.6585,	-1.48122,	-1.59292,	114.852,	15
2524,	-6000113,	47.9618,	-0.0452198,	1.49769,	48.0108,	15
2525,	6000113,	24.029,	0.824388,	1.06244,	32.6673,	15
2525,	-6000113,	243.847,	0.0207217,	2.50102,	243.899,	15
2526,	6000113,	83.8345,	-1.05321,	-2.15737,	134.792,	15
2526,	-6000113,	71.3675,	0.568014,	-0.0144532,	83.1934,	15
2527,	6000113,	13.7579,	-3.03321,	-1.34769,	143.164,	15
2527,	-6000113,	18.9692,	1.05146,	-1.19003,	30.4575,	15
2528,	6000113,	57.1833,	-2.44314,	-1.20887,	331.55,	15
2528,	-6000113,	59.7147,	-1.88341,	2.05023,	200.878,	15
2529,	6000113,	76.4513,	-2.27443,	1.57055,	375.576,	15
2529,	-6000113,	53.1464,	-1.36749,	-1.57965,	111.082,	15
2530,	6000113,	72.141,	-1.4354,	-2.74569,	160.129,	15
2530,	-6000113,	62.107,	-0.625729,	0.188258,	74.6676,	15
2531,	6000113,	45.6233,	0.0496023,	1.38754,	45.6794,	15
2531,	-6000113,	52.8934,	-1.35437,	-1.93722,	109.289,	15
2532,	6000113,	121.767,	2.55996,	2.0359,	792.253,	15
2532,	-6000113,	19.2618,	1.06814,	0.666657,	31.3352,	15
2533,	6000113,	76.0288,	0.10409,	0.632425,	76.4411,	15
2533,	-6000113,	79.4936,	-0.0292329,	-1.21973,	79.5276,	15
2534,	6000113,	68.5527,	-0.589756,	-1.76391,	80.824,	15
2534,	-6000113,	55.6945,	-0.704956,	1.15113,	70.1163,	15
2535,	6000113,	40.538,	-3.75327,	-0.251752,	865.155,	15
2535,	-6000113,	10.1616,	-0.870919,	0.747607,	14.2653,	15
2536,	6000113,	43.1512,	0.233496,	-0.171318,	44.3329,	15
2536,	-6000113,	49.5331,	1.87768,	-2.95336,	165.719,	15
2537,	6000113,	62.6964,	-0.733552,	2.29072,	80.3349,	15
2537,	-6000113,	66.9509,	-0.556795,	-0.929935,	77.5999,	15
2538,	6000113,	63.045,	0.0955817,	-3.04561,	63.3332,	15
2538,	-6000113,	54.9689,	0.925273,	0.461614,	80.2266,	15
2539,	6000113,	42.1258,	0.291547,	-0.107285,	43.9289,	15
2539,	-6000113,	90.7772,	0.810725,	-3.05222,	122.28,	15
2540,	6000113,	39.4466,	1.1995,	2.35954,	71.3942,	15
2540,	-6000113,	179.674,	0.235857,	0.844089,	184.694,	15
2541,	6000113,	16.3379,	-1.21979,	-2.75399,	30.0761,	15
2541,	-6000113,	54.7411,	1.70631,	-2.57143,	155.742,	15
2542,	6000113,	82.136,	2.15783,	0.542305,	360.082,	15
2542,	-6000113,	29.0317,	0.814079,	-2.65403,	39.1948,	15
2543,	6000113,	50.0868,	2.61842,	-0.629546,	345.272,	15
2543,	-6000113,	63.1969,	3.74135,	3.06489,	1332.77,	15
2544,	6000113,	35.5331,	0.886877,	0.219505,	50.4476,	15
2544,	-6000113,	51.2564,	2.68336,	-2.92937,	376.797,	15
2545,	6000113,	41.5398,	-0.126624,	0.431362,	41.8732,	15
2545,	-6000113,	90.978,	-0.144612,	-2.80999,	91.9309,	15
2546,	6000113,	94.6535,	1.22241,	-3.07897,	174.63,	15
2546,	-6000113,	46.8958,	1.59625,	-0.0249195,	120.455,	15
2547,	6000113,	46.8363,	0.714152,	0.34975,	59.2962,	15
2547,	-6000113,	101.71,	0.43537,	-2.10384,	111.503,	15
2548,	6000113,	41.231,	-2.536,	-1.38864,	261.988,	15
2548,	-6000113,	36.4428,	-0.303995,	0.94365,	38.1397,	15
2549,	6000113,	69.7906,	1.30632,	1.89253,	138.303,	15
2549,	-6000113,	54.4846,	0.623934,	-1.8493,	65.4384,	15
2550,	6000113,	35.2171,	-0.950345,	1.11598,	52.354,	15
2550,	-6000113,	51.2177,	0.91252,	-1.45879,	74.0634,	15
2551,	6000113,	112.241,	-0.372365,	-0.292173,	120.112,	15
2551,	-6000113,	60.9668,	-0.955386,	1.87743,	90.9727,	15
2552,	6000113,	33.5208,	-4.71845,	-0.556411,	1877.23,	15
2552,	-6000113,	30.9018,	-2.28374,	-3.13239,	153.199,	15
2553,	6000113,	72.1702,	-0.344168,	-0.179983,	76.4869,	15
2553,	-6000113,	69.2905,	-0.00309981,	3.02084,	69.2909,	15
2554,	6000113,	119.267,	1.65998,	1.93668,	324.964,	15
2554,	-6000113,	77.8801,	2.73011,	2.65219,	599.669,	15
2555,	6000113,	41.4803,	1.64334,	1.00626,	111.286,	15
2555,	-6000113,	93.2731,	1.02073,	-2.84528,	146.231,	15
2556,	6000113,	55.0041,	1.38422,	2.47747,	116.67,	15
2556,	-6000113,	57.983,	0.567435,	-0.654314,	67.5709,	15
2557,	6000113,	70.2619,	-0.339991,	0.984434,	74.362,	15
2557,	-6000113,	31.9984,	1.81174,	0.386061,	100.546,	15
2558,	6000113,	54.2221,	-3.0343,	-0.769486,	564.847,	15
2558,	-6000113,	92.197,	-2.97485,	-2.94952,	905.274,	15
2559,	6000113,	31.5268,	-0.301292,	2.83236,	32.9686,	15
2559,	-6000113,	56.9578,	-2.3656,	-1.68341,	305.986,	15
2560,	6000113,	64.723,	0.81128,	-1.5654,	87.2167,	15
2560,	-6000113,	13.4566,	3.74642,	1.65717,	285.231,	15
2561,	6000113,	63.1916,	1.5274,	-0.845116,	152.395,	15
2561,	-6000113,	69.3142,	2.07985,	2.98581,	281.701,	15
2562,	6000113,	58.1327,	-0.126583,	1.07659,	58.5991,	15
2562,	-6000113,	73.8314,	-0.219217,	-1.82998,	75.6125,	15
2563,	6000113,	34.0795,	-1.80269,	-1.03668,	106.171,	15
2563,	-6000113,	23.4646,	1.00503,	2.85134,	36.3471,	15
2564,	6000113,	60.553,	-0.336896,	2.70563,	64.022,	15
2564,	-6000113,	56.8035,	-1.17164,	-0.108887,	100.461,	15
2565,	6000113,	154.31,	-2.6004,	0.4795,	1044.94,	15
2565,	-6000113,	33.0382,	-2.55008,	3.08251,	212.869,	15
2566,	6000113,	29.8528,	1.52408,	-3.08697,	71.7773,	15
2566,	-6000113,	134.593,	1.31537,	0.0621284,	268.816,	15
2567,	6000113,	131.789,	-1.5272,	2.47159,	317.77,	15
2567,	-6000113,	118.121,	-1.82371,	-2.84767,	375.401,	15
2568,	6000113,	82.1497,	-1.17194,	-1.49069,	145.323,	15
2568,	-6000113,	56.8831,	-1.97535,	1.82094,	208.984,	15
2569,	6000113,	24.3465,	-0.774895,	0.506513,	32.0292,	15
2569,	-6000113,	130.259,	-1.70032,	-1.68437,	368.526,	15
2570,	6000113,	87.6796,	0.605737,	1.38947,	104.263,	15
2570,	-6000113,	492.238,	0.083817,	1.68931,	493.968,	15
2571,	6000113,	49.1666,	3.14625,	2.81583,	572.586,	15
2571,	-6000113,	59.1412,	1.82828,	-1.175,	188.775,	15
2572,	6000113,	39.5117,	-0.044818,	0.927319,	39.5514,	15
2572,	-6000113,	25.956,	2.53085,	-2.96528,	164.092,	15
2573,	6000113,	106.959,	0.259172,	-0.146707,	110.572,	15
2573,	-6000113,	34.5993,	1.99943,	-0.977426,	130.098,	15
2574,	6000113,	71.7115,	-1.52452,	-0.295324,	172.49,	15
2574,	-6000113,	30.6094,	0.215315,	-2.99619,	31.3217,	15
2575,	6000113,	130.103,	0.8141,	1.19501,	175.65,	15
2575,	-6000113,	68.768,	1.02837,	2.95989,	108.451,	15
2576,	6000113,	66.2483,	0.0691887,	2.71676,	66.4069,	15
2576,	-6000113,	109.399,	-0.297979,	-0.627939,	114.292,	15
2577,	6000113,	23.4704,	-0.398711,	-2.4132,	25.3608,	15
2577,	-6000113,	70.9316,	1.88517,	-1.80645,	239.014,	15
2578,	6000113,	72.8805,	-2.81068,	1.83539,	607.874,	15
2578,	-6000113,	64.9682,	-2.84145,	-0.457604,	558.689,	15
2579,	6000113,	32.7803,	1.77111,	1.85177,	99.1199,	15
2579,	-6000113,	46.894,	-0.439704,	-1.15287,	51.5008,	15
2580,	6000113,	44.3111,	1.79627,	-2.9478,	137.21,	15
2580,	-6000113,	37.315,	3.82263,	-0.253809,	853.506,	15
2581,	6000113,	53.2138,	-1.46544,	-0.129025,	121.339,	15
2581,	-6000113,	71.1335,	-2.11367,	-3.05442,	298.738,	15
2582,	6000113,	42.2745,	-1.25009,	1.20627,	79.8382,	15
2582,	-6000113,	77.2429,	-0.137197,	-2.02101,	77.971,	15
2583,	6000113,	12.0284,	-3.29289,	0.356763,	162.13,	15
2583,	-6000113,	32.6507,	0.41536,	0.357795,	35.508,	15
2584,	6000113,	222.379,	-1.19297,	-1.74416,	400.3,	15
2584,	-6000113,	130.924,	-1.41277,	-1.03425,	284.812,	15
2585,	6000113,	65.1004,	-0.156264,	1.64478,	65.8969,	15
2585,	-6000113,	65.474,	0.313504,	-1.58063,	68.718,	15
2586,	6000113,	41.0084,	-0.185331,	-2.2497,	41.7147,	15
2586,	-6000113,	58.4122,	1.37143,	0.730496,	122.511,	15
2587,	6000113,	173.408,	1.03232,	1.81144,	274.31,	15
2587,	-6000113,	158.742,	0.43519,	2.22975,	174.012,	15
2588,	6000113,	43.0473,	3.67701,	2.59184,	851.333,	15
2588,	-6000113,	40.9757,	1.90224,	-0.800504,	140.344,	15
2589,	6000113,	28.4181,	-1.73179,	1.1818,	82.8066,	15
2589,	-6000113,	72.0153,	-0.0602295,	-2.35294,	72.146,	15
2590,	6000113,	64.6671,	1.32152,	-2.66896,	129.847,	15
2590,	-6000113,	53.6014,	0.417711,	1.02805,	58.346,	15
2591,	6000113,	65.4808,	2.52184,	0.459551,	410.297,	15
2591,	-6000113,	63.8976,	1.80983,	-2.84011,	200.417,	15
2592,	6000113,	50.8554,	-1.93418,	-1.77256,	179.594,	15
2592,	-6000113,	35.0353,	-0.175304,	1.52183,	35.5751,	15
2593,	6000113,	96.058,	2.40118,	-2.65462,	534.409,	15
2593,	-6000113,	16.4471,	0.699622,	-0.669441,	20.6392,	15
2594,	6000113,	17.0643,	1.94333,	-2.76589,	60.793,	15
2594,	-6000113,	32.8397,	-1.29838,	0.309518,	64.6341,	15
2595,	6000113,	90.2067,	-0.0795105,	0.41861,	90.492,	15
2595,	-6000113,	50.3756,	-0.764173,	-1.81814,	65.8142,	15
2596,	6000113,	37.9128,	-0.143585,	1.32726,	38.3043,	15
2596,	-6000113,	120.597,	-1.5348,	0.241807,	292.803,	15
2597,	6000113,	119.238,	-2.77793,	2.53535,	962.723,	15
2597,	-6000113,	32.1911,	-3.44093,	-0.314088,	502.956,	15
2598,	6000113,	56.7297,	1.35941,	-2.05825,	117.734,	15
2598,	-6000113,	60.0222,	2.15503,	1.38455,	262.418,	15
2599,	6000113,	38.3868,	2.12903,	-2.95133,	163.637,	15
2599,	-6000113,	28.0172,	-0.354722,	0.266278,	29.7985,	15
2600,	6000113,	66.5488,	-2.45427,	-2.04595,	390.106,	15
2600,	-6000113,	64.2426,	-1.86653,	1.20628,	212.659,	15
2601,	6000113,	53.1476,	-1.35674,	0.195607,	110.043,	15
2601,	-6000113,	278.996,	-1.68636,	1.21785,	779.091,	15
2602,	6000113,	56.5807,	-1.28221,	-0.538721,	109.823,	15
2602,	-6000113,	362.629,	-1.69238,	0.18089,	1018.34,	15
2603,	6000113,	8.90249,	2.98281,	0.288654,	88.1076,	15
2603,	-6000113,	86.7881,	-0.0427708,	-0.483351,	86.8675,	15
2604,	6000113,	98.6977,	-0.937963,	1.83557,	145.391,	15
2604,	-6000113,	43.2282,	-0.837552,	-0.986902,	59.2977,	15
2605,	6000113,	24.1157,	3.93273,	-0.864289,	615.743,	15
2605,	-6000113,	83.0181,	2.13999,	2.47228,	357.682,	15
2606,	6000113,	48.2666,	-0.352734,	1.31896,	51.3005,	15
2606,	-6000113,	82.2217,	0.0613244,	-1.38224,	82.3764,	15
2607,	6000113,	64.63,	-2.08354,	-0.144035,	263.606,	15
2607,	-6000113,	52.515,	-2.80499,	2.93642,	435.545,	15
2608,	6000113,	42.1757,	-0.980997,	1.67786,	64.1502,	15
2608,	-6000113,	100.223,	-1.06707,	-1.53686,	162.905,	15
2609,	6000113,	34.1937,	0.914187,	-2.72341,	49.5055,	15
2609,	-6000113,	163.51,	1.12704,	1.33523,	278.824,	15
2610,	6000113,	41.3048,	-2.05618,	0.302194,	164.062,	15
2610,	-6000113,	45.4886,	-0.230264,	-2.58134,	46.6999,	15
2611,	6000113,	44.9231,	-0.714413,	-2.01449,	56.8831,	15
2611,	-6000113,	54.389,	-2.01651,	1.19884,	207.907,	15
2612,	6000113,	46.9541,	2.63904,	-2.60023,	330.351,	15
2612,	-6000113,	87.1211,	2.97967,	0.0847945,	859.541,	15
2613,	6000113,	39.7821,	0.175439,	1.48675,	40.3959,	15
2613,	-6000113,	51.0152,	-1.44438,	-1.79005,	114.15,	15
2614,	6000113,	71.7592,	1.20287,	0.739929,	130.243,	15
2614,	-6000113,	32.7493,	-0.188804,	-2.4651,	33.3347,	15
2615,	6000113,	72.8743,	-1.45489,	-2.56944,	164.602,	15
2615,	-6000113,	42.3441,	-2.34816,	0.610562,	223.616,	15
2616,	6000113,	53.2782,	-1.67275,	1.27893,	146.902,	15
2616,	-6000113,	72.1159,	-1.21157,	-1.69427,	131.846,	15
2617,	6000113,	54.4355,	0.87283,	1.22035,	76.5211,	15
2617,	-6000113,	46.6877,	2.35638,	-2.01434,	248.551,	15
2618,	6000113,	42.9423,	0.0298967,	-1.58475,	42.9614,	15
2618,	-6000113,	93.3254,	0.40049,	0.868415,	100.91,	15
2619,	6000113,	77.6507,	1.56718,	-1.37543,	194.195,	15
2619,	-6000113,	109.684,	2.78005,	-1.21001,	887.446,	15
2620,	6000113,	67.6103,	0.0724558,	1.6439,	67.7878,	15
2620,	-6000113,	69.4615,	0.471227,	-2.23886,	77.3174,	15
2621,	6000113,	48.5018,	0.231323,	3.12607,	49.8053,	15
2621,	-6000113,	38.4689,	2.31648,	1.27603,	196.932,	15
2622,	6000113,	44.1965,	0.622077,	0.718686,	53.0275,	15
2622,	-6000113,	99.9363,	-0.588027,	-0.74605,	117.718,	15
2623,	6000113,	84.481,	0.782906,	-2.05871,	111.722,	15
2623,	-6000113,	394.243,	0.192524,	-2.34048,	401.572,	15
2624,	6000113,	90.5273,	2.13706,	-2.90665,	388.926,	15
2624,	-6000113,	45.9556,	3.18418,	1.51273,	555.807,	15
2625,	6000113,	127.525,	2.07724,	-0.523406,	516.965,	15
2625,	-6000113,	30.342,	2.27243,	2.51476,	148.767,	15
2626,	6000113,	43.426,	0.299276,	-1.82962,	45.3853,	15
2626,	-6000113,	88.0714,	0.970007,	0.960179,	132.858,	15
2627,	6000113,	37.0426,	0.81465,	-2.80853,	50.0293,	15
2627,	-6000113,	50.3683,	-1.14411,	0.178503,	87.091,	15
2628,	6000113,	21.0516,	-0.344825,	-2.96007,	22.3156,	15
2628,	-6000113,	34.3362,	2.72297,	-0.312525,	262.52,	15
2629,	6000113,	56.2773,	-0.931448,	-1.76865,	82.5071,	15
2629,	-6000113,	57.4653,	-1.75963,	1.63702,	171.889,	15
2630,	6000113,	41.5415,	-1.47338,	1.85179,	95.4026,	15
2630,	-6000113,	106.35,	-2.97366,	2.79915,	1043,	15
2631,	6000113,	51.5538,	0.652735,	1.01882,	62.9319,	15
2631,	-6000113,	45.3451,	-1.50052,	-3.1281,	106.72,	15
2632,	6000113,	41.3249,	-2.08103,	-3.11756,	168.141,	15
2632,	-6000113,	56.6822,	-0.630461,	-0.432818,	68.3253,	15
2633,	6000113,	67.9433,	1.0508,	2.22499,	109.036,	15
2633,	-6000113,	60.1206,	1.69571,	-1.5761,	169.359,	15
2634,	6000113,	50.9887,	-0.139162,	-0.574348,	51.4832,	15
2634,	-6000113,	77.9216,	0.555171,	1.97706,	90.2415,	15
2635,	6000113,	98.3004,	-2.34222,	2.6455,	516.098,	15
2635,	-6000113,	77.834,	-3.05799,	0.488461,	830.165,	15
2636,	6000113,	51.7992,	-0.154393,	1.19351,	52.4178,	15
2636,	-6000113,	51.8058,	-1.71095,	-0.768,	148.032,	15
2637,	6000113,	43.9302,	-1.2194,	-2.36141,	80.8437,	15
2637,	-6000113,	125.773,	-1.28723,	1.84564,	245.18,	15
2638,	6000113,	45.6236,	-1.83993,	-1.78548,	147.249,	15
2638,	-6000113,	60.851,	-2.94141,	0.933878,	577.944,	15
2639,	6000113,	63.2364,	1.05323,	1.80466,	101.675,	15
2639,	-6000113,	42.4937,	2.79833,	-0.612798,	350.108,	15
2640,	6000113,	38.9709,	-0.46307,	-2.29658,	43.2244,	15
2640,	-6000113,	36.9471,	-2.55952,	1.13286,	240.285,	15
2641,	6000113,	130.414,	-1.56003,	0.618967,	324.019,	15
2641,	-6000113,	104.574,	-1.24117,	-0.421611,	196.009,	15
2642,	6000113,	70.3841,	2.11035,	-2.75094,	294.638,	15
2642,	-6000113,	58.8301,	2.47652,	0.494881,	352.505,	15
2643,	6000113,	9.85553,	1.33823,	3.01334,	20.0787,	15
2643,	-6000113,	51.1805,	3.67819,	1.37387,	1013.37,	15
2644,	6000113,	89.8628,	-1.34622,	-1.06961,	184.357,	15
2644,	-6000113,	42.3167,	-1.11055,	1.93371,	71.2066,	15
2645,	6000113,	121.131,	0.0154093,	0.854333,	121.146,	15
2645,	-6000113,	75.6616,	-1.69222,	-1.1513,	212.444,	15
2646,	6000113,	15.0725,	-2.12046,	1.18248,	63.719,	15
2646,	-6000113,	22.4655,	1.61843,	-1.81621,	58.8975,	15
2647,	6000113,	65.5502,	0.856125,	-2.71029,	91.0763,	15
2647,	-6000113,	50.3143,	-0.00329596,	0.631527,	50.3145,	15
2648,	6000113,	34.7313,	-2.46535,	0.0614304,	205.828,	15
2648,	-6000113,	76.9999,	-0.394016,	0.154876,	83.0547,	15
2649,	6000113,	265.209,	-0.783333,	1.89423,	350.824,	15
2649,	-6000113,	10.3804,	0.807215,	-1.4668,	13.9499,	15
2650,	6000113,	58.4228,	1.0691,	1.67014,	95.1142,	15
2650,	-6000113,	58.1648,	0.280719,	-1.49845,	60.4717,	15
2651,	6000113,	59.52,	-0.497169,	-2.13624,	67.0287,	15
2651,	-6000113,	63.399,	-0.639264,	1.05986,	76.8005,	15
2652,	6000113,	63.0251,	-0.257392,	2.73425,	65.1244,	15
2652,	-6000113,	59.2521,	-0.507905,	-0.551438,	67.0603,	15
2653,	6000113,	36.9477,	-1.19344,	-2.01518,	66.5354,	15
2653,	-6000113,	35.5404,	1.14157,	1.57064,	61.3249,	15
2654,	6000113,	65.5301,	-2.92852,	-2.02646,	614.456,	15
2654,	-6000113,	82.318,	-2.55513,	1.6471,	533.037,	15
2655,	6000113,	54.9014,	1.92541,	2.02621,	192.258,	15
2655,	-6000113,	41.3294,	3.49664,	-1.15612,	682.653,	15
2656,	6000113,	84.7288,	-1.32599,	-3.13862,	170.79,	15
2656,	-6000113,	69.6663,	-1.33688,	-0.357362,	141.764,	15
2657,	6000113,	30.7022,	1.56472,	-1.587,	76.6098,	15
2657,	-6000113,	116.314,	1.2574,	1.7659,	221.035,	15
2658,	6000113,	66.5735,	-1.30545,	-0.370835,	131.829,	15
2658,	-6000113,	90.5367,	-1.3723,	-2.7417,	190.033,	15
2659,	6000113,	114.084,	2.02075,	3.01667,	437.886,	15
2659,	-6000113,	57.6767,	2.78332,	1.59331,	468.173,	15
2660,	6000113,	69.0811,	-1.37425,	2.84714,	145.248,	15
2660,	-6000113,	67.5476,	-1.07967,	-0.361395,	110.893,	15
2661,	6000113,	77.398,	-1.08939,	0.959679,	128.05,	15
2661,	-6000113,	48.0552,	-1.37379,	-2.20011,	100.999,	15
2662,	6000113,	88.6112,	-1.45665,	-1.61677,	200.464,	15
2662,	-6000113,	153.012,	-1.29906,	1.99585,	301.328,	15
2663,	6000113,	35.8296,	0.818172,	-1.69091,	48.506,	15
2663,	-6000113,	70.523,	-0.500201,	1.73165,	79.531,	15
2664,	6000113,	124.354,	-1.02392,	0.166205,	195.44,	15
2664,	-6000113,	100.529,	0.0311473,	0.0924001,	100.578,	15
2665,	6000113,	38.0306,	0.562625,	-1.5599,	44.2103,	15
2665,	-6000113,	63.6631,	2.13241,	0.874955,	272.28,	15
2666,	6000113,	72.7425,	0.48017,	-3.1163,	81.2907,	15
2666,	-6000113,	45.4512,	-1.94849,	-1.43769,	162.728,	15
2667,	6000113,	82.7783,	0.29817,	0.556273,	86.4853,	15
2667,	-6000113,	74.3713,	0.46156,	-1.30026,	82.4349,	15
2668,	6000113,	84.3166,	-2.46455,	-0.3135,	499.29,	15
2668,	-6000113,	55.0582,	-2.64653,	2.53284,	390.25,	15
2669,	6000113,	100.458,	-0.519417,	0.768909,	114.317,	15
2669,	-6000113,	36.0473,	0.570654,	-1.50716,	42.0777,	15
2670,	6000113,	36.9294,	4.1907,	-1.09575,	1220.23,	15
2670,	-6000113,	51.8705,	1.78784,	-0.936129,	159.342,	15
2671,	6000113,	22.6825,	-2.27222,	2.63027,	111.189,	15
2671,	-6000113,	46.1563,	0.48081,	-0.47088,	51.595,	15
2672,	6000113,	113.875,	-2.56865,	-2.445,	747.293,	15
2672,	-6000113,	45.9334,	-2.54295,	-0.25647,	293.877,	15
2673,	6000113,	38.6884,	2.22798,	-0.863445,	181.62,	15
2673,	-6000113,	44.891,	0.0155033,	2.2281,	44.8964,	15
2674,	6000113,	68.8737,	2.30484,	-0.365297,	348.583,	15
2674,	-6000113,	48.4463,	1.45703,	2.28806,	109.637,	15
2675,	6000113,	74.5725,	1.05525,	-1.40288,	120.092,	15
2675,	-6000113,	57.8262,	0.760435,	1.29323,	75.3669,	15
2676,	6000113,	39.4127,	0.397888,	0.920715,	42.5739,	15
2676,	-6000113,	20.5397,	3.1801,	-1.79572,	247.41,	15
2677,	6000113,	85.8969,	1.51231,	2.69985,	204.332,	15
2677,	-6000113,	79.7935,	1.32586,	-0.175804,	160.823,	15
2678,	6000113,	60.1437,	0.25624,	-1.56214,	62.129,	15
2678,	-6000113,	46.6569,	-1.49191,	-0.27627,	108.956,	15
2679,	6000113,	18.6609,	2.50731,	-2.1908,	115.262,	15
2679,	-6000113,	25.1635,	-0.91216,	1.80148,	36.3782,	15
2680,	6000113,	55.5117,	3.23645,	2.66164,	707.289,	15
2680,	-6000113,	45.158,	1.6682,	-0.576912,	123.986,	15
2681,	6000113,	104.089,	0.107564,	-0.410901,	104.692,	15
2681,	-6000113,	64.3793,	0.98157,	1.16037,	97.9648,	15
2682,	6000113,	50.3373,	1.27731,	0.0722717,	97.2959,	15
2682,	-6000113,	42.0239,	-0.47036,	2.9906,	46.7589,	15
2683,	6000113,	45.6306,	0.717507,	1.32234,	57.8889,	15
2683,	-6000113,	60.3785,	-0.394664,	-1.95453,	65.1421,	15
2684,	6000113,	38.6449,	1.57385,	1.9636,	97.2393,	15
2684,	-6000113,	1.81379,	6.82892,	1.36859,	838.144,	15
2685,	6000113,	57.9913,	-0.347779,	1.47428,	61.5338,	15
2685,	-6000113,	62.4721,	-0.637193,	-1.80273,	75.5893,	15
2686,	6000113,	25.7175,	-3.82377,	-1.35467,	588.908,	15
2686,	-6000113,	18.414,	-0.788676,	1.30996,	24.444,	15
2687,	6000113,	38.6171,	3.571,	-2.77314,	687.001,	15
2687,	-6000113,	25.0216,	0.851907,	2.83291,	34.6639,	15
2688,	6000113,	61.378,	1.20267,	-2.38191,	111.383,	15
2688,	-6000113,	57.8282,	0.775139,	0.607858,	76.0885,	15
2689,	6000113,	66.3536,	1.95894,	1.70072,	239.961,	15
2689,	-6000113,	45.8931,	0.932138,	-1.11409,	67.3171,	15
2690,	6000113,	143.449,	1.30836,	1.08375,	284.772,	15
2690,	-6000113,	190.256,	1.87419,	0.530772,	634.41,	15
2691,	6000113,	35.0445,	1.77471,	0.389596,	106.327,	15
2691,	-6000113,	16.9554,	-1.53392,	-2.39325,	41.134,	15
2692,	6000113,	44.3088,	1.5253,	-1.13261,	106.653,	15
2692,	-6000113,	37.003,	3.39807,	2.16425,	553.933,	15
2693,	6000113,	51.2136,	1.57346,	0.551582,	128.818,	15
2693,	-6000113,	49.8106,	3.06098,	-2.35684,	532.858,	15
2694,	6000113,	57.544,	-2.20742,	0.578166,	264.766,	15
2694,	-6000113,	53.4094,	-1.32195,	-2.41631,	107.282,	15
2695,	6000113,	157.54,	1.66623,	2.76573,	431.749,	15
