u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator
3.102918840781811e-08,,False,True,4564545572919.704,0.1,True,0.2,Ue,862956,7300,7300,100,exact
2.074961272243401e-08,,False,True,3812343581659.011,0.08804883581643483,True,0.215,Ue,862956,7387,7387,100,exact
1.5702854761442357e-08,,False,True,2586286152526.559,0.06010276782070388,True,0.23,Ue,862956,7249,7249,100,exact
1.2069389118325576e-08,,False,True,1948600688716.0896,0.03612342699709438,True,0.245,Ue,862956,7091,7091,100,exact
9.732050377889236e-09,,False,True,1624609744186.162,0.028005038941836365,True,0.26,Ue,862956,7038,7038,100,exact
8.364276162050297e-09,,False,True,1171782620075.0764,0.021711179456945097,True,0.275,Ue,862956,7092,7092,100,exact
7.267759496465826e-09,,False,True,924241185869.1422,0.016831803533309618,True,0.29,Ue,862956,7075,7075,100,exact
6.6713178567022824e-09,,False,True,704648724481.151,0.01304901978014407,True,0.305,Ue,862956,7016,7016,100,exact
6.012058967146974e-09,,False,True,578673332350.488,0.01011637979766207,True,0.32,Ue,862956,6991,6991,100,exact
5.339586384222182e-09,,False,True,427338755008.94324,0.007842822061337682,True,0.335,Ue,862956,6989,6989,100,exact
5.327723675974467e-09,,False,True,334187181599.2322,0.006905513520162345,True,0.35,Ue,862956,6942,6942,100,exact
5.230196600336771e-09,,False,True,261617632881.3909,0.006080224261649427,True,0.365,Ue,862956,6912,6912,100,exact
5.064896981741674e-09,,False,True,199685022281.4267,0.005353566677410741,True,0.38,Ue,862956,6962,6962,100,exact
4.961788919678049e-09,,False,True,134559677808.4093,0.00415040475785049,True,0.395,Ue,862956,6857,6857,100,exact
5.1451212906721875e-09,,False,True,98413723771.8677,0.003654383070957262,True,0.41,Ue,862956,6905,6905,100,exact
5.353479346046239e-09,,False,True,66061633722.2881,0.0028330961018393297,True,0.425,Ue,862956,6989,6989,100,exact
6.466493549197736e-09,,False,True,36404350476.53907,0.0028330961018393297,True,0.44,Ue,862956,6867,6867,100,exact
8.191925701285139e-09,,False,True,19413166730.556168,0.0024945081352303164,True,0.455,Ue,862956,6774,6774,100,exact
1.204419367917414e-08,,False,True,6663407835.609568,0.0021963853724165515,True,0.47,Ue,862956,6989,6989,100,exact
2.8160670949485295e-08,,False,True,989316912.4183884,0.0019338917504552321,True,0.485,Ue,862956,6823,6823,100,exact
1.2282475562922994e-07,,False,True,101189665.81936705,0.0032176417502507355,True,0.5,Ue,762956,6019,6019,100,exact
1.1134226973528901e-07,,False,True,79561610.45160893,0.0024945081352303164,True,0.525,Ue,762956,6242,6242,100,exact
1.058400997927659e-07,,False,True,62805883.193707585,0.0021963853724165515,True,0.55,Ue,762956,6058,6058,100,exact
1.0108539446035744e-07,,False,True,48412034.705308765,0.0017027691722259048,True,0.575,Ue,762956,6059,6059,100,exact
8.673674424255212e-08,,False,True,45580259.170984104,0.001499268432786047,True,0.6,Ue,762956,6138,6138,100,exact
8.581910495839281e-08,,False,True,31887492.85841384,0.0011623224686798542,True,0.625,Ue,762956,5901,5901,100,exact
7.783044653521666e-08,,False,True,29531805.931112386,0.0010234114021054528,True,0.65,Ue,762956,5945,5945,100,exact
7.184809812042262e-08,,False,True,23650015.43578323,0.0007934096665797492,True,0.675,Ue,762956,6054,6054,100,exact
6.881598630790675e-08,,False,True,20354789.482497416,0.0006985879746785263,True,0.7,Ue,762956,6007,6007,100,exact
6.613217999117306e-08,0.09677125100359608,False,False,16181562.008770451,0.0006150985788580505,True,0.725,Ue,762956,5889,5889,100,exact
6.205264966533279e-08,0.07848823065919118,False,False,14617877.096984996,0.0005415871378079487,True,0.75,Ue,762956,5854,5854,100,exact
5.867490299661197e-08,0.06644729797605867,False,False,10851779.955154734,0.0004768611697714474,True,0.775,Ue,762956,5830,5830,100,exact
