event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,prob_at_least_one_decays,prob_both_decay,prob_exactly_one_decays,particle1_decay_prob,particle2_decay_prob
27,-9900015,13.5406,-3.55879,-0.881535,237.969,15,47.560874291868004,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
28,9900015,32.5676,4.81378,0.509431,2006.23,15,400.9684153422267,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
29,-9900015,24.9716,-2.28216,-2.66844,123.608,15,24.70449743230933,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
29,-9900015,24.9716,-2.28216,-2.66844,123.608,15,24.70449743230933,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
30,-9900015,62.4263,2.1992,2.63441,284.936,15,56.94777587512533,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
31,9900015,90.5234,3.07858,1.46303,985.51,15,196.96564352238667,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
32,-9900015,38.3935,1.18352,2.94569,68.5717,15,13.70485232815907,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
32,-9900015,38.3935,1.18352,2.94569,68.5717,15,13.70485232815907,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
33,9900015,12.9627,-0.644484,2.00481,15.7493,15,3.147680905852933,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
33,9900015,12.9623,-0.644471,2.00481,15.7486,15,3.1475410027058666,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
34,-9900015,28.4126,2.36642,-2.28316,152.759,15,30.53066406108133,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
35,-9900015,24.3846,0.721183,2.69685,31.0056,15,6.1968300238432015,True,33.18510092886795,34.678636685311986,1.4935357564440324,0.0010116687453593952,1,1,0.0010116687453594064,0.0,0.0010116687453594064,0.0010116687453593952,0.0
36,-9900015,13.8701,2.37358,0.244085,75.0993,15,15.0094691607196,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
37,9900015,44.7413,1.26488,2.7142,85.5665,15,17.101460904971333,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
38,9900015,40.0603,-0.870715,-0.458808,56.2301,15,11.238239928390533,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
38,9900015,40.0603,-0.870715,-0.458808,56.2301,15,11.238239928390533,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
39,-9900015,26.2884,-1.75486,2.03706,78.2814,15,15.645448881120801,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
39,-9900015,25.5362,-1.76706,2.03695,76.9208,15,15.373517135550934,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
40,9900015,10.1778,4.30796,1.58477,378.119,15,75.57148295100134,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
40,9900015,10.1778,4.30796,1.58477,378.119,15,75.57148295100134,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
41,-9900015,28.1687,0.881574,-0.0236958,39.8422,15,7.962927380085068,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
42,-9900015,34.1574,1.92454,-3.00863,119.516,15,23.886663606885335,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
42,-9900015,34.1574,1.92454,-3.00863,119.516,15,23.886663606885335,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
43,9900015,31.4897,-2.04443,-2.34257,123.663,15,24.715489822436,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
43,9900015,31.4896,-2.04443,-2.34257,123.663,15,24.715489822436,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
44,-9900015,10.7927,-1.63108,-1.12606,28.6284,15,5.721718936404799,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
45,9900015,25.3427,3.83348,-1.9493,585.981,15,117.11512288753201,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
46,9900015,24.2983,3.0413,1.18579,254.892,15,50.943132803024,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
46,9900015,24.2979,3.0413,1.18579,254.888,15,50.942333356469334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
47,9900015,34.9915,0.361922,1.0803,37.3083,15,7.456497973867599,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
48,9900015,19.9403,-2.3492,0.784604,105.41,15,21.067415331853333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
48,9900015,19.9403,-2.3492,0.784603,105.41,15,21.067415331853333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
49,-9900015,39.6059,1.72912,-2.12873,115.118,15,23.00767212002933,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
50,9900015,10.8722,4.87282,-0.841825,710.481,15,141.99789690153202,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
51,9900015,49.6172,-2.79008,-0.189417,405.464,15,81.03669946034132,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
52,-9900015,31.2384,-2.84257,-1.15055,268.931,15,53.74899034826532,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
52,-9900015,31.2384,-2.84257,-1.15055,268.931,15,53.74899034826532,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
53,9900015,42.9094,-2.61871,1.70807,295.881,15,59.135261510332,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
53,9900015,42.9094,-2.61871,1.70807,295.881,15,59.135261510332,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
54,9900015,30.0406,2.86582,-0.248635,264.663,15,52.895980874436006,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
54,9900015,30.0406,2.86582,-0.248635,264.663,15,52.895980874436006,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
54,9900015,30.0406,2.86582,-0.248635,264.663,15,52.895980874436006,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
55,-9900015,27.0091,-3.10982,-1.8812,303.334,15,60.624830303314674,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
55,-9900015,27.0091,-3.10982,-1.8812,303.334,15,60.624830303314674,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
56,9900015,20.1064,-1.02129,1.3584,31.5359,15,6.302816650828133,False,,,,0.0,4,0,0.0,0.0,0.0,0.0,0.0
56,9900015,20.0919,-1.02165,1.35837,31.5218,15,6.299998601722933,False,,,,0.0,4,0,0.0,0.0,0.0,0.0,0.0
56,9900015,20.0914,-1.02166,1.35837,31.5214,15,6.299918657067466,False,,,,0.0,4,0,0.0,0.0,0.0,0.0,0.0
56,9900015,20.0914,-1.02166,1.35837,31.5214,15,6.299918657067466,False,,,,0.0,4,0,0.0,0.0,0.0,0.0,0.0
57,9900015,38.5605,-0.810264,2.64523,51.9264,15,10.3780953940608,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
57,9900015,38.5605,-0.810264,2.64523,51.9264,15,10.3780953940608,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
58,9900015,28.0029,4.35798,-0.0340883,1093.68,15,218.58467697696003,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
58,9900015,28.0026,4.35798,-0.0340883,1093.67,15,218.5826783605734,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
59,-9900015,31.369,1.60078,2.65507,80.9105,15,16.170905115339334,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
60,-9900015,26.8324,2.15215,-0.0874162,116.984,15,23.380613937781334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
60,-9900015,26.8324,2.15215,-0.0874162,116.984,15,23.380613937781334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
61,-9900015,19.4559,-1.79865,-0.0440708,60.3814,15,12.067925548987466,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
62,-9900015,35.2857,-0.566369,1.0445,41.098,15,8.213913625922666,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
62,-9900015,35.2857,-0.566369,1.0445,41.098,15,8.213913625922666,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
63,9900015,12.0493,1.2276,1.90168,22.3275,15,4.462410737330001,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
63,9900015,12.0493,1.2276,1.90168,22.3275,15,4.462410737330001,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
63,9900015,12.0493,1.2276,1.90168,22.3275,15,4.462410737330001,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
64,-9900015,31.6821,3.99183,-1.32076,858.148,15,171.5108654985227,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
65,-9900015,7.76537,0.574428,2.84654,9.08215,15,1.8151733816164666,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
65,-9900015,7.76537,0.574429,2.84654,9.08215,15,1.8151733816164666,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
66,-9900015,34.0429,-0.665973,0.275088,41.8754,15,8.369286063822134,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
66,-9900015,34.0429,-0.665973,0.275088,41.8754,15,8.369286063822134,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
66,-9900015,34.0429,-0.665973,0.275088,41.8754,15,8.369286063822134,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
67,9900015,37.4023,-1.06688,1.8842,60.7858,15,12.148749595664269,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
68,-9900015,22.1529,-0.837273,0.308275,30.3821,15,6.072216292134533,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
69,-9900015,29.7981,2.0696,0.975801,119.905,15,23.964409784326662,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
69,-9900015,29.7981,2.0696,0.975801,119.905,15,23.964409784326662,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
69,-9900015,29.7981,2.0696,0.975801,119.905,15,23.964409784326662,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
70,9900015,32.8366,3.75268,2.54572,700.384,15,139.97989393591467,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
71,-9900015,35.118,1.32048,0.193733,70.451,15,14.080452305705332,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
72,9900015,31.246,1.43496,-3.12927,69.3289,15,13.856187560957471,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
72,9900015,31.246,1.43496,-3.12927,69.3289,15,13.856187560957471,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
73,9900015,23.7905,4.61019,-1.44876,1195.63,15,238.9605710390267,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
73,9900015,23.7042,4.61053,-1.44877,1191.7,15,238.17511479906668,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
73,9900015,23.7042,4.61053,-1.44877,1191.7,15,238.17511479906668,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
74,-9900015,29.4638,-1.68401,-2.85501,82.0973,15,16.408100908108935,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
74,-9900015,29.4635,-1.68401,-2.85501,82.0965,15,16.407941018798002,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
74,-9900015,29.4635,-1.68401,-2.85501,82.0965,15,16.407941018798002,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
75,-9900015,21.2068,-0.141684,1.08938,21.42,15,4.28103630024,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
76,-9900015,24.1417,-2.71043,1.44019,182.296,15,36.43397728237866,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
76,-9900015,24.1385,-2.71049,1.44019,182.284,15,36.431578942714665,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
77,-9900015,22.6221,0.395551,3.13003,24.415,15,4.8796219080466665,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
78,9900015,17.0205,2.13954,-0.275017,73.3009,15,14.650037989741467,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
78,9900015,17.0184,2.13954,-0.275017,73.2921,15,14.648279207321202,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
79,-9900015,3.72108,1.66832,-0.892746,10.2177,15,2.0421262654044,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
79,-9900015,3.72108,1.66832,-0.892746,10.2177,15,2.0421262654044,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
80,9900015,39.2835,-0.882296,-1.13488,55.5915,15,11.110608285938001,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
81,9900015,22.9304,0.930556,1.77966,33.596,15,6.714551612645333,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
82,-9900015,5.46254,-5.81804,3.0412,918.567,15,183.58630584512403,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
82,-9900015,5.46254,-5.81804,3.0412,918.567,15,183.58630584512403,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
83,9900015,22.1308,-2.99334,-0.308018,221.334,15,44.236175932648,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
83,9900015,22.1308,-2.99334,-0.308018,221.334,15,44.236175932648,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
84,9900015,23.0858,4.69891,1.50842,1267.83,15,253.39058135075996,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
84,9900015,23.0806,4.69892,1.50842,1267.57,15,253.33861732470666,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
84,9900015,23.0806,4.69892,1.50842,1267.57,15,253.33861732470666,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
85,9900015,37.9449,2.44818,-1.22671,221.1,15,44.18940830919999,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
85,9900015,37.9449,2.44818,-1.22671,221.1,15,44.18940830919999,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
86,9900015,27.8784,3.4232,-2.93545,427.935,15,85.52779034282,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
86,9900015,27.8784,3.4232,-2.93545,427.935,15,85.52779034282,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
86,9900015,27.8784,3.4232,-2.93545,427.935,15,85.52779034282,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
87,9900015,24.9938,2.52111,-0.783255,156.496,15,31.27754700477867,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
88,-9900015,34.3985,-1.24919,0.445852,64.9144,15,12.973898357063467,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
88,-9900015,34.3977,-1.2492,0.445852,64.9132,15,12.973658523097066,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
88,-9900015,34.3977,-1.2492,0.445852,64.9132,15,12.973658523097066,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
89,-9900015,35.5653,1.76517,2.11864,106.94,15,21.373203639013333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
89,-9900015,35.5652,1.76517,2.11864,106.939,15,21.373003777374667,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
