event,	id,	pt,	eta,	phi,	momentum,	mass
19,	-11,	18.7518,	-2.22166,	-0.522706,	87.4873,	0.000511
19,	211,	22.3215,	-2.51936,	-0.133533,	139.522,	0.13957
19,	11,	26.8362,	0.0404267,	3.01852,	26.8581,	0.000511
19,	-211,	2.09434,	-0.594666,	1.77449,	2.4757,	0.13957
20,	-11,	45.5545,	0.862582,	-2.04667,	63.5791,	0.000511
20,	211,	8.93219,	1.34492,	-2.13806,	18.3041,	0.13957
20,	11,	47.9687,	-0.14298,	0.871157,	48.4598,	0.000511
20,	-211,	5.31206,	-0.346596,	0.270467,	5.63433,	0.13957
21,	-11,	5.08714,	-1.11192,	0.855959,	8.56957,	0.000511
21,	211,	45.9981,	-1.75354,	0.8203,	136.802,	0.13957
21,	11,	21.7194,	-2.60971,	-1.7361,	148.437,	0.000511
21,	-211,	41.1952,	-2.59743,	-2.07171,	278.143,	0.13957
22,	-11,	39.3902,	1.03805,	-2.89147,	62.588,	0.000511
22,	211,	13.3695,	1.43895,	-2.72732,	29.7702,	0.13957
22,	11,	7.36468,	0.808056,	1.01837,	9.9028,	0.000511
22,	-211,	62.8254,	0.61002,	0.594818,	74.8818,	0.13957
23,	-11,	18.2895,	2.21029,	3.07174,	84.3882,	0.000511
23,	211,	39.5606,	1.84206,	3.03963,	127.939,	0.13957
23,	11,	32.7315,	1.49264,	0.613741,	76.4871,	0.000511
23,	-211,	33.3234,	1.25065,	0.432391,	62.9635,	0.13957
24,	-11,	36.2243,	0.956103,	-2.01134,	54.0815,	0.000511
24,	211,	27.6568,	0.68171,	-1.85626,	34.336,	0.13957
24,	11,	2.13915,	-2.14642,	-0.0252734,	9.27432,	0.000511
24,	-211,	21.8263,	-1.0916,	0.976027,	36.174,	0.13957
25,	-11,	64.2936,	0.763061,	-0.393738,	83.9375,	0.000511
25,	211,	7.08997,	0.382965,	-0.123396,	7.61627,	0.13957
25,	11,	40.7113,	1.61059,	1.80636,	105.962,	0.000511
25,	-211,	11.646,	2.00444,	1.57423,	44.0024,	0.13957
26,	-11,	37.023,	1.18699,	-0.331376,	66.3146,	0.000511
26,	211,	23.3604,	1.16594,	0.00956943,	41.121,	0.13957
26,	11,	24.5452,	1.37045,	3.01545,	51.4358,	0.000511
26,	-211,	39.9077,	1.33503,	2.69661,	81.0778,	0.13957
27,	-11,	13.3456,	1.70294,	-0.816136,	37.8496,	0.000511
27,	211,	27.3508,	1.82126,	-0.300673,	86.7225,	0.13957
27,	11,	26.8041,	4.11045,	2.71155,	817.4,	0.000511
27,	-211,	5.2728,	3.84707,	-2.75084,	123.586,	0.13957
28,	-11,	4.00255,	-2.6141,	-2.21544,	27.4738,	0.000511
28,	211,	26.3669,	-3.1437,	-1.37867,	306.285,	0.13957
28,	11,	53.6552,	-1.56959,	1.92969,	134.482,	0.000511
28,	-211,	25.6884,	-1.78004,	1.76198,	78.3336,	0.13957
29,	-11,	9.28166,	-0.40163,	2.78665,	10.0404,	0.000511
29,	211,	39.0153,	-0.724719,	-3.08027,	49.7175,	0.13957
29,	11,	63.277,	0.454981,	1.15786,	69.9402,	0.000511
29,	-211,	11.3708,	0.773769,	1.34878,	14.9479,	0.13957
30,	-11,	18.686,	2.62787,	0.755483,	130.023,	0.000511
30,	211,	26.1015,	2.22607,	0.551868,	122.303,	0.13957
30,	11,	4.49295,	0.150561,	-1.84061,	4.54397,	0.000511
30,	-211,	40.8648,	0.543033,	-1.20675,	47.0396,	0.13957
31,	-11,	42.1181,	3.29105,	-2.03162,	566.664,	0.000511
31,	211,	10.0791,	3.3366,	-2.51941,	141.909,	0.13957
31,	11,	65.1851,	2.54991,	0.690973,	419.923,	0.000511
31,	-211,	1.75655,	3.21232,	0.0351989,	21.8487,	0.13957
32,	-11,	19.2332,	0.433729,	0.343277,	21.0709,	0.000511
32,	211,	12.2856,	-0.0775568,	-0.0540779,	12.3225,	0.13957
32,	11,	33.6131,	2.67677,	-2.53096,	245.491,	0.000511
32,	-211,	2.41322,	2.4689,	2.60109,	14.3515,	0.13957
33,	-11,	14.8051,	1.26243,	1.25617,	28.2553,	0.000511
33,	211,	28.6506,	1.45312,	0.806052,	64.6112,	0.13957
33,	11,	28.0522,	1.45067,	-1.7644,	63.1229,	0.000511
33,	-211,	64.3129,	1.22236,	-1.81973,	118.649,	0.13957
34,	-11,	31.7309,	0.388585,	-2.75483,	34.1568,	0.000511
34,	211,	43.9439,	0.308675,	-3.01107,	46.054,	0.13957
34,	11,	44.9062,	0.3353,	0.336391,	47.4542,	0.000511
34,	-211,	7.03439,	0.465891,	0.890303,	7.81173,	0.13957
35,	-11,	47.2225,	-0.410594,	1.23093,	51.2593,	0.000511
35,	211,	151.204,	-0.492673,	1.1457,	169.928,	0.13957
35,	11,	18.2284,	-2.05072,	0.834441,	72.0216,	0.000511
35,	-211,	14.0209,	-1.48186,	0.59176,	32.4468,	0.13957
36,	-11,	60.9881,	0.376893,	-0.227838,	65.3713,	0.000511
36,	211,	15.479,	0.695293,	-0.287848,	19.3738,	0.13957
36,	11,	15.7246,	-0.00120846,	2.24528,	15.7246,	0.000511
36,	-211,	31.0483,	-0.384574,	2.48245,	33.3727,	0.13957
37,	-11,	31.1662,	2.85007,	0.649937,	270.316,	0.000511
37,	211,	9.5795,	2.42252,	1.03832,	54.4254,	0.13957
37,	11,	84.0592,	1.70105,	2.7877,	237.98,	0.000511
37,	-211,	6.14789,	1.37121,	2.49862,	12.8919,	0.13957
38,	-11,	35.6795,	2.34365,	-2.68879,	187.587,	0.000511
38,	211,	12.6566,	2.07588,	-2.30019,	51.2406,	0.13957
38,	11,	33.2131,	2.66326,	-0.634069,	239.345,	0.000511
38,	-211,	68.5553,	2.63757,	-0.425736,	481.628,	0.13957
39,	-11,	6.54487,	-4.59405,	1.42407,	323.657,	0.000511
39,	211,	8.37085,	-3.52863,	0.644569,	142.75,	0.13957
39,	11,	2.69231,	-1.14989,	1.43496,	4.67724,	0.000511
39,	-211,	7.11295,	0.807047,	1.47289,	9.55786,	0.13957
40,	-11,	63.6296,	-0.639354,	2.03836,	77.0837,	0.000511
40,	211,	1.47385,	-0.677267,	0.959173,	1.82499,	0.13957
40,	11,	19.5803,	-0.383327,	-0.711663,	21.0366,	0.000511
40,	-211,	38.3339,	-0.020501,	-0.701913,	38.342,	0.13957
41,	-11,	1.03328,	0.233231,	-0.276911,	1.06151,	0.000511
41,	211,	31.762,	-0.606856,	-1.99734,	37.7923,	0.13957
41,	11,	44.4949,	-2.60263,	0.434004,	301.97,	0.000511
41,	-211,	3.91117,	-3.24147,	0.0420803,	50.0833,	0.13957
42,	-11,	9.02317,	1.65991,	1.93647,	24.5836,	0.000511
42,	211,	25.5294,	1.92243,	2.54994,	89.1462,	0.13957
42,	11,	3.77008,	0.599405,	-0.727619,	4.46787,	0.000511
42,	-211,	66.787,	0.35428,	-1.31633,	71.0224,	0.13957
43,	-11,	9.99549,	-1.42571,	2.51398,	21.9959,	0.000511
43,	211,	17.9578,	-0.79671,	2.90115,	23.9651,	0.13957
43,	11,	32.3794,	1.58269,	-0.376747,	82.1373,	0.000511
43,	-211,	3.38262,	0.677493,	-0.557211,	4.18908,	0.13957
44,	-11,	46.7018,	1.45977,	2.6264,	105.949,	0.000511
44,	211,	58.37,	1.41058,	2.44106,	126.731,	0.13957
44,	11,	122.895,	0.70393,	-2.98033,	154.622,	0.000511
44,	-211,	4.17359,	0.84115,	-2.55883,	5.7392,	0.13957
45,	-11,	15.0918,	1.82912,	-1.13467,	48.2105,	0.000511
45,	211,	44.5741,	2.18648,	-1.27462,	200.942,	0.13957
45,	11,	30.3728,	2.04865,	1.79147,	119.765,	0.000511
45,	-211,	34.235,	2.16769,	2.07873,	151.533,	0.13957
46,	-11,	9.56165,	0.052865,	0.767157,	9.57502,	0.000511
46,	211,	35.5979,	-0.473163,	0.664267,	39.6577,	0.13957
46,	11,	28.9728,	0.257619,	-2.77619,	29.9396,	0.000511
46,	-211,	51.1215,	0.0712684,	-2.5952,	51.2514,	0.13957
47,	-11,	12.7462,	1.29719,	2.86249,	25.0611,	0.000511
47,	211,	11.7239,	0.512339,	3.00591,	13.2966,	0.13957
47,	11,	10.3039,	3.55854,	0.332958,	181.042,	0.000511
47,	-211,	22.555,	3.74862,	-0.305466,	479.136,	0.13957
48,	-11,	6.94266,	-0.146209,	-0.715094,	7.017,	0.000511
48,	211,	54.8973,	-0.295345,	-1.21007,	57.3091,	0.13957
48,	11,	9.44479,	-0.123468,	3.11385,	9.51687,	0.000511
48,	-211,	62.5971,	0.0847665,	2.75759,	62.8221,	0.13957
49,	-11,	9.33281,	-3.8577,	1.703,	221.082,	0.000511
49,	211,	13.0546,	-3.22895,	1.04967,	165.093,	0.13957
49,	11,	5.11954,	-1.46501,	-0.611218,	11.6692,	0.000511
49,	-211,	63.8672,	-1.21408,	-0.113688,	117.01,	0.13957
50,	-11,	51.3535,	-2.02358,	-3.05572,	197.648,	0.000511
50,	211,	10.0352,	-2.05067,	2.78443,	39.6479,	0.13957
50,	11,	0.770066,	-3.20165,	-0.567056,	9.47712,	0.000511
50,	-211,	63.1392,	-2.07517,	0.260977,	255.444,	0.13957
51,	-11,	38.2539,	2.60855,	1.79637,	261.139,	0.000511
51,	211,	20.4592,	2.39218,	2.08139,	112.819,	0.13957
51,	11,	41.9911,	1.53067,	-1.10278,	101.57,	0.000511
51,	-211,	10.9191,	1.75255,	-1.51619,	32.4442,	0.13957
52,	-11,	44.4209,	1.00559,	-0.574311,	68.8381,	0.000511
52,	211,	62.1779,	0.905899,	-0.736495,	89.4843,	0.13957
52,	11,	30.3597,	1.62176,	-1.85835,	79.8391,	0.000511
52,	-211,	37.1534,	1.7759,	-2.11364,	112.852,	0.13957
53,	-11,	25.8756,	-2.89781,	2.81055,	235.333,	0.000511
53,	211,	16.4528,	-3.35977,	2.94321,	237.063,	0.13957
53,	11,	20.2134,	-2.02062,	-0.419671,	77.5749,	0.000511
53,	-211,	40.1711,	-1.67154,	-0.423371,	110.638,	0.13957
54,	-11,	26.5302,	-1.19017,	0.822093,	47.6458,	0.000511
54,	211,	38.3513,	-1.29049,	0.52404,	74.9711,	0.13957
54,	11,	4.24962,	-1.03381,	-1.65513,	6.73015,	0.000511
54,	-211,	54.5098,	-0.857197,	-2.2989,	75.793,	0.13957
55,	-11,	47.3955,	-3.61262,	0.44989,	878.954,	0.000511
55,	211,	8.75102,	-4.09297,	0.374381,	262.242,	0.13957
55,	11,	28.3574,	-2.11029,	-2.58251,	118.702,	0.000511
55,	-211,	6.26021,	-1.44566,	-2.90647,	14.0237,	0.13957
56,	-11,	29.6167,	-0.0948701,	1.20884,	29.7501,	0.000511
56,	211,	31.6513,	-0.29393,	1.46818,	33.0284,	0.13957
56,	11,	49.1165,	0.794359,	-1.81607,	65.4451,	0.000511
56,	-211,	0.731201,	-0.667356,	-2.26651,	0.900159,	0.13957
57,	-11,	39.2376,	1.7725,	-2.59191,	118.801,	0.000511
57,	211,	13.6878,	1.59093,	-2.98556,	34.9863,	0.13957
57,	11,	18.3946,	-0.3896,	0.397157,	19.8084,	0.000511
57,	-211,	12.147,	-0.132084,	1.02434,	12.2531,	0.13957
58,	-11,	19.7167,	-1.58048,	2.39267,	49.9145,	0.000511
58,	211,	109.754,	-1.40884,	2.52186,	237.927,	0.13957
58,	11,	22.2112,	-3.04869,	1.73572,	234.718,	0.000511
58,	-211,	2.40693,	-4.23108,	2.29093,	82.8056,	0.13957
59,	-11,	4.19241,	0.494025,	0.898556,	4.7145,	0.000511
59,	211,	62.9659,	0.716408,	0.316728,	79.8273,	0.13957
59,	11,	18.747,	0.368593,	-1.95266,	20.035,	0.000511
59,	-211,	54.7219,	0.277496,	-1.65296,	56.8423,	0.13957
60,	-11,	28.1491,	-1.2686,	2.31095,	54.0052,	0.000511
60,	211,	0.718529,	-3.18284,	2.22209,	8.67866,	0.13957
60,	11,	50.4281,	-1.31626,	-0.748961,	100.796,	0.000511
60,	-211,	78.8869,	-1.17569,	-0.822026,	139.984,	0.13957
61,	-11,	50.3299,	2.28109,	2.9227,	248.869,	0.000511
61,	211,	24.5821,	2.05357,	2.75284,	97.3938,	0.13957
61,	11,	4.96214,	0.162971,	-1.4586,	5.02818,	0.000511
61,	-211,	35.7375,	0.889161,	-1.572,	50.8203,	0.13957
62,	-11,	23.1651,	2.05589,	-2.34731,	91.9861,	0.000511
62,	211,	28.9475,	2.34366,	-2.60433,	152.195,	0.13957
62,	11,	21.1671,	1.63829,	-0.206506,	56.5235,	0.000511
62,	-211,	68.5978,	1.68127,	-0.466088,	190.651,	0.13957
63,	-11,	17.9555,	0.612347,	2.7569,	21.4284,	0.000511
63,	211,	5.57652,	0.550349,	-2.48254,	6.44257,	0.13957
63,	11,	39.2249,	-2.21121,	-1.87145,	181.147,	0.000511
63,	-211,	0.834385,	-2.17726,	2.30298,	3.72781,	0.13957
64,	-11,	8.68615,	1.19952,	-0.120176,	15.7214,	0.000511
64,	211,	51.7967,	1.66109,	-0.193409,	141.275,	0.13957
64,	11,	1.90687,	1.69854,	-2.40239,	5.3859,	0.000511
64,	-211,	61.0653,	1.37099,	2.98491,	128.026,	0.13957
65,	-11,	14.0772,	0.297527,	-2.06493,	14.7049,	0.000511
65,	211,	20.7443,	0.501609,	-1.50961,	23.4092,	0.13957
65,	11,	14.8729,	-1.0919,	1.82907,	24.6555,	0.000511
65,	-211,	47.5974,	-1.2136,	1.47165,	87.1672,	0.13957
66,	-11,	55.3949,	0.351886,	-2.41561,	58.86,	0.000511
66,	211,	5.44232,	0.860019,	-2.67583,	7.58213,	0.13957
66,	11,	48.7573,	-0.227243,	0.706632,	50.0216,	0.000511
66,	-211,	9.02975,	-0.214511,	0.225897,	9.2383,	0.13957
67,	-11,	44.4081,	2.45685,	0.731441,	260.981,	0.000511
67,	211,	3.10339,	3.09511,	0.173781,	34.3465,	0.13957
67,	11,	6.12744,	3.79778,	-2.17011,	136.717,	0.000511
67,	-211,	32.6309,	4.3929,	-2.54003,	1319.71,	0.13957
68,	-11,	32.1086,	-2.78726,	0.147019,	261.655,	0.000511
68,	211,	25.2669,	-2.7586,	0.498662,	200.128,	0.13957
68,	11,	5.42646,	-1.75261,	2.61847,	16.1246,	0.000511
68,	-211,	56.3446,	-2.08482,	3.08708,	230.096,	0.13957
69,	-11,	24.6388,	0.310277,	-2.61513,	25.8343,	0.000511
69,	211,	50.7981,	0.0562065,	-2.49268,	50.8783,	0.13957
69,	11,	45.3093,	0.68066,	0.61596,	56.2167,	0.000511
69,	-211,	2.70425,	0.408992,	1.50435,	2.9336,	0.13957
70,	-11,	40.4043,	-1.05232,	2.55744,	64.9177,	0.000511
70,	211,	120.028,	-1.19402,	2.53504,	216.25,	0.13957
70,	11,	80.371,	-0.701952,	3.13095,	100.998,	0.000511
70,	-211,	105.828,	-0.664,	3.02935,	130.028,	0.13957
71,	-11,	47.017,	-2.6496,	-2.68327,	334.269,	0.000511
71,	211,	0.686548,	-2.55676,	1.48026,	4.4528,	0.13957
71,	11,	35.0611,	-4.13181,	0.435495,	1092.28,	0.000511
71,	-211,	15.6144,	-3.99091,	0.0294149,	422.546,	0.13957
72,	-11,	38.065,	-0.332772,	-1.33937,	40.1922,	0.000511
72,	211,	19.3663,	-0.575621,	-1.06224,	22.6643,	0.13957
72,	11,	47.1872,	-0.210802,	1.83691,	48.2396,	0.000511
72,	-211,	19.5498,	-0.144187,	2.16064,	19.7533,	0.13957
73,	-11,	1.41868,	-1.29487,	1.74717,	2.78378,	0.000511
73,	211,	20.9267,	-1.031,	-0.529617,	33.0696,	0.13957
73,	11,	30.06,	1.79084,	2.70874,	92.6046,	0.000511
73,	-211,	7.03303,	1.70082,	-2.87906,	19.9069,	0.13957
74,	-11,	42.5011,	-0.270396,	0.935764,	44.0643,	0.000511
74,	211,	20.6667,	-0.377213,	0.614443,	22.1545,	0.13957
74,	11,	45.3362,	-1.07051,	-2.04845,	73.8913,	0.000511
74,	-211,	9.80923,	-0.605416,	-1.98287,	11.6625,	0.13957
75,	-11,	56.6972,	-0.514451,	-1.09559,	64.3669,	0.000511
75,	211,	1.01211,	0.406827,	-2.03034,	1.09703,	0.13957
75,	11,	33.9388,	-0.462833,	1.86437,	37.6392,	0.000511
75,	-211,	32.6071,	-0.746282,	1.9616,	42.1165,	0.13957
76,	-11,	24.6337,	-0.285865,	1.78125,	25.6471,	0.000511
76,	211,	32.7347,	0.0590842,	1.84285,	32.7918,	0.13957
76,	11,	11.5853,	-0.200171,	-1.40312,	11.8182,	0.000511
76,	-211,	57.9853,	-0.0851823,	-1.77346,	58.1958,	0.13957
77,	-11,	2.93736,	0.575165,	-1.17019,	3.43677,	0.000511
77,	211,	41.6375,	-0.205326,	-0.746633,	42.5183,	0.13957
77,	11,	16.831,	2.06605,	2.60214,	67.4944,	0.000511
77,	-211,	20.1902,	1.55961,	2.78164,	50.1444,	0.13957
78,	-11,	0.374401,	1.35247,	-1.91484,	0.772306,	0.000511
78,	211,	58.7919,	0.29785,	0.378725,	61.419,	0.13957
78,	11,	1.48129,	-0.524821,	-2.98311,	1.69001,	0.000511
78,	-211,	63.3372,	0.454243,	-2.8155,	69.9847,	0.13957
79,	-11,	42.0743,	1.52414,	-3.08487,	101.167,	0.000511
79,	211,	21.2626,	1.41052,	-2.76926,	46.1621,	0.13957
79,	11,	3.92931,	0.46918,	-0.605418,	4.36978,	0.000511
79,	-211,	52.7563,	0.906421,	-0.0620485,	75.9536,	0.13957
80,	-11,	1.09505,	0.139391,	-0.85328,	1.1057,	0.000511
80,	211,	23.4731,	0.11092,	2.62333,	23.6177,	0.13957
80,	11,	12.1196,	-2.8166,	-1.25739,	101.682,	0.000511
80,	-211,	11.8623,	-3.2987,	-0.566686,	160.818,	0.13957
81,	-11,	50.4067,	0.292342,	-0.111639,	52.5761,	0.000511
81,	211,	10.0463,	0.343365,	0.333199,	10.6444,	0.13957
81,	11,	47.8629,	1.39468,	3.11074,	102.464,	0.000511
81,	-211,	0.516107,	-0.321193,	-2.77018,	0.542959,	0.13957
82,	-11,	35.2239,	0.402828,	-1.42587,	38.1206,	0.000511
82,	211,	40.2498,	0.471064,	-1.16855,	44.7987,	0.13957
82,	11,	33.0908,	-0.526662,	2.15139,	37.7871,	0.000511
82,	-211,	5.71483,	-1.23359,	2.2376,	10.6432,	0.13957
83,	-11,	7.93379,	-1.42411,	-2.32073,	17.434,	0.000511
83,	211,	15.4389,	-0.687232,	-2.82412,	19.2305,	0.13957
83,	11,	0.736116,	0.374447,	1.22676,	0.788327,	0.000511
83,	-211,	17.7314,	2.59517,	1.81615,	119.452,	0.13957
84,	-11,	9.8343,	1.95084,	2.71463,	35.2892,	0.000511
84,	211,	19.0363,	1.25386,	2.88274,	36.0667,	0.13957
84,	11,	27.9171,	3.80212,	-0.693693,	625.602,	0.000511
84,	-211,	11.1249,	4.15514,	-1.13999,	354.752,	0.13957
85,	-11,	20.5584,	0.721253,	-1.23281,	26.1415,	0.000511
85,	211,	44.7902,	0.401892,	-1.15726,	48.4564,	0.13957
85,	11,	13.6233,	-0.636598,	1.87164,	16.4783,	0.000511
85,	-211,	34.789,	-0.286888,	2.16834,	36.2305,	0.13957
86,	-11,	391.096,	-1.06597,	-2.85341,	635.146,	0.000511
86,	211,	220.139,	-1.0391,	-2.83247,	350.069,	0.13957
86,	11,	68.2985,	-0.627543,	-2.82461,	82.194,	0.000511
86,	-211,	28.0964,	-0.402924,	-2.86215,	30.4081,	0.13957
87,	-11,	13.6216,	-1.06606,	-2.50011,	22.1234,	0.000511
87,	211,	16.5969,	-1.70941,	-2.61781,	47.3565,	0.13957
87,	11,	7.31778,	-4.25584,	0.835726,	258.063,	0.000511
87,	-211,	3.53193,	-5.98487,	0.599698,	701.745,	0.13957
88,	-11,	277.399,	0.273326,	-2.70579,	287.826,	0.000511
88,	211,	3.20062,	-0.0566321,	-2.67792,	3.20576,	0.13957
88,	11,	8.05392,	-1.09192,	2.51268,	13.3517,	0.000511
88,	-211,	2.88711,	-2.12206,	-1.59294,	12.2242,	0.13957
89,	-11,	18.7672,	0.341692,	-2.09498,	19.8735,	0.000511
89,	211,	9.28325,	-0.271286,	-2.52966,	9.62695,	0.13957
89,	11,	5.23808,	3.47382,	-2.89645,	84.571,	0.000511
89,	-211,	6.23044,	4.24316,	1.59328,	216.95,	0.13957
90,	-11,	2.05399,	-1.16154,	2.28541,	3.60254,	0.000511
90,	211,	13.7744,	0.46102,	1.75954,	15.2644,	0.13957
90,	11,	77.2466,	-1.44421,	-2.02097,	172.818,	0.000511
90,	-211,	52.4301,	-1.317,	-1.92888,	104.864,	0.13957
91,	-11,	81.9265,	-1.57992,	-2.09069,	207.297,	0.000511
91,	211,	1.95154,	-1.04037,	-2.66324,	3.10645,	0.13957
91,	11,	23.4889,	-1.36236,	0.818202,	48.8742,	0.000511
91,	-211,	21.4042,	-0.963041,	0.624992,	32.1211,	0.13957
92,	-11,	52.0817,	-0.926021,	-1.83153,	76.0542,	0.000511
92,	211,	35.2206,	-0.795967,	-2.02561,	46.9795,	0.13957
92,	11,	42.9432,	-1.08111,	-1.08159,	70.5809,	0.000511
92,	-211,	172.664,	-1.17737,	-1.01669,	306.818,	0.13957
93,	-11,	72.6251,	-2.25177,	-0.94169,	348.954,	0.000511
93,	211,	2.45286,	-2.11442,	-0.190201,	10.3087,	0.13957
93,	11,	24.7088,	-1.51637,	-2.02347,	58.9941,	0.000511
93,	-211,	72.1081,	-1.35377,	-2.19577,	148.912,	0.13957
94,	-11,	23.5333,	-1.93373,	1.37074,	83.0712,	0.000511
94,	211,	41.1828,	-1.83798,	1.06298,	132.67,	0.13957
94,	11,	27.7539,	-2.51898,	-2.29585,	173.413,	0.000511
94,	-211,	25.0466,	-2.71998,	-1.9731,	190.929,	0.13957
95,	-11,	8.67748,	-3.15173,	-1.32885,	101.61,	0.000511
