lifetime_s,ctau_m,BR_limit,mean_event_decay_prob,mean_single_particle_decay_prob
3.1622776601683795e-10,0.09480269926203672,0.059780714395043816,8.363901386254646e-11,4.508841717795827e-09
5.796393953384974e-10,0.17377151908216187,0.00022757079854670981,2.1971184492608486e-08,1.1844304308694593e-06
1.062467830894043e-09,0.3185198425696535,1.0309903979288139e-05,4.84970569080434e-07,2.614396598816455e-05
1.947483039908753e-09,0.5838407274475572,1.2469710824283287e-06,4.009716079592713e-06,0.0002161572010562107
3.5696988468260627e-09,1.0701687916097509,1.8011827759954988e-07,2.775953704774098e-05,0.0014964709998782192
6.543189129712969e-09,1.9615987523555318,3.887879921437523e-08,0.0001286047949277013,0.0069328730419245975
1.1993539462092356e-08,3.5955726754606654,1.5388618844016855e-08,0.00032491544892243634,0.017515657623851013
2.198392648862289e-08,6.590615358515565,9.947967376360962e-09,0.0005026152389563862,0.02709516112972433
4.0296113202003956e-08,12.080470824675016,9.118679987687978e-09,0.0005483249776010331,0.02955929798388318
7.386199822079359e-08,22.143269999403337,1.0649910371105497e-08,0.00046948751921571175,0.02530930022726208
1.3538761800225447e-07,40.588186783660916,1.4649711861334972e-08,0.0003413036411450873,0.018399118121028964
2.481628922836824e-07,74.39736346211437,2.242911687882892e-08,0.0002229245149067618,0.012017494065054547
4.5487779470037777e-07,136.36893216284562,3.6770266046641594e-08,0.0001359794349504489,0.007330427760132017
8.337822234717883e-07,249.96162221131272,6.295004744177571e-08,7.942805769327881e-05,0.004281835994246837
1.5283067326587688e-06,458.17483196172117,1.1077288236429981e-07,4.513740089886308e-05,0.002433283067324155
2.80135676119887e-06,839.8256291747282,1.9828915617816644e-07,2.5215700628164502e-05,0.0013593369610870357
5.134832907437549e-06,1539.3841787399892,3.5860658874746244e-07,1.3942855923155095e-05,0.0007516364379059348
9.412049672680671e-06,2821.661506191034,6.524046077959255e-07,7.663955680650279e-06,0.0004131512496307425
1.725210549942039e-05,5172.051113346557,1.1908952614271724e-06,4.1985220379565415e-06,0.00022633541983593154
3.1622776601683795e-05,9480.269926203671,2.1779181859998455e-06,2.295770351770392e-06,0.00012376120494719066
