flavor,mass_GeV,meson_over_gtot,quark_over_gtot,gtot_GeV,seam_raw,delta_floor_only,delta
Ue,0.2,0.9206752544730935,0.0,3.1641482104044336e-16,0.9206752544730935,0.05,0.05
Ue,0.25,0.923300712799064,0.0,1.0847975320281784e-15,0.923300712799064,0.05,0.05
Ue,0.3,0.9090832163859692,0.0,2.4476167971218022e-15,0.9090832163859692,0.05,0.05
Ue,0.35,0.8883758026056525,0.0,4.563779869855671e-15,0.8883758026056525,0.05,0.05
Ue,0.4,0.863796921826685,0.0,7.623762575011857e-15,0.863796921826685,0.05,0.05
Ue,0.45,0.8366101494207945,0.0,1.185223982429001e-14,0.8366101494207945,0.05,0.05
Ue,0.5,0.8076555415641921,0.0,1.751192562121399e-14,0.8076555415641921,0.05,0.05
Ue,0.55,0.7775833722424591,0.0,2.4908513370673876e-14,0.7775833722424591,0.05,0.05
Ue,0.6,0.7497588956499184,0.0,3.478502541438971e-14,0.7497588956499184,0.05,0.05
Ue,0.65,0.7250408853418323,0.0,4.7883860884076523e-14,0.7250408853418323,0.05,0.05
Ue,0.7,0.7018678702282463,0.0,6.468385884634941e-14,0.7018678702282463,0.05,0.05
Ue,0.75,0.6794708049257364,0.0,8.57323059389008e-14,0.6794708049257364,0.05,0.05
Ue,0.8,0.661807364825635,0.0,1.1306488029125985e-13,0.661807364825635,0.05,0.05
Ue,0.85,0.6646388944036352,0.0,1.5539553334962246e-13,0.6646388944036352,0.05,0.05
Ue,0.9,0.6727028735619058,0.0,2.1306979784723048e-13,0.6727028735619058,0.05,0.05
Ue,0.95,0.6784289220309379,0.0,2.855264063482964e-13,0.6784289220309379,0.05,0.05
Ue,1.0,0.6614435049689963,0.6898069949589161,3.8410225616707397e-13,0.028363489989919752,0.05,0.05
Ue,1.1,0.6700182369147925,0.6845808147347304,6.124127039055427e-13,0.014562577819937956,0.05,0.06875000000000002
Ue,1.2,0.6601727722904653,0.6802209739304064,9.381202875271463e-13,0.02004820163994095,0.05,0.0875
Ue,1.3,0.6328086200916861,0.6765293848487608,1.3894554559754379e-12,0.043720764757074676,0.05,0.10625000000000001
Ue,1.4,0.595345036233414,0.6733643632294349,1.9996351585811416e-12,0.078019326996021,0.078019326996021,0.125
Ue,1.5,0.5536927231124513,0.6706771866310282,2.807741767440288e-12,0.1169844635185768,0.1169844635185768,0.14375000000000002
Ue,1.6,0.5111372680332168,0.6686945078414731,3.86225340939804e-12,0.15755723980825628,0.15755723980825628,0.16250000000000003
Ue,1.7,0.4697561941613831,0.6674356819109524,5.2194885957161144e-12,0.19767948774956937,0.19767948774956937,0.19767948774956937
Ue,1.8,0.4306160880777262,0.6669108069964252,6.945860847509337e-12,0.23629471891869902,0.2,0.2
Ue,1.9,0.39422014617429324,0.6670906797165437,9.118716671308626e-12,0.27287053354225044,0.2,0.2
Ue,2.0,0.3609787505727468,0.6678804597329215,1.1826597669443756e-11,0.30690170916017473,0.2,0.2
Ue,2.1,0.3331201052638707,0.6691451907756563,1.5170211594129063e-11,0.3360250855117855,0.2,0.2
Ue,2.2,0.3144569968351092,0.6707490223120968,1.926382031223374e-11,0.3562920254769875,0.2,0.2
Ue,2.3,0.3057902948640859,0.6725622285443761,2.4235580340062796e-11,0.3667719336802902,0.2,0.2
Ue,2.4,0.3006422990556616,0.6744729096244784,3.022806504635413e-11,0.37383061056881683,0.2,0.2
Ue,2.5,0.2959761656591901,0.6763940382505103,3.7399029237884914e-11,0.38041787259132015,0.2,0.2
Ue,2.6,0.29054791815012043,0.6782656891456377,4.592252499589209e-11,0.3877177709955172,0.2,0.2
Ue,2.7,0.28398894148492687,0.6800517169196617,5.599008818966659e-11,0.3960627754347348,0.2,0.2
Ue,2.8,0.2763340455827479,0.6817342480304882,6.781191035568791e-11,0.40540020244774033,0.2,0.2
Ue,2.9,0.267785196593551,0.6833046194761957,8.161705603808619e-11,0.4155194228826447,0.2,0.2
Ue,3.0,0.2586020244808214,0.6847598696734466,9.765396053422276e-11,0.4261578451926252,0.2,0.2
Ue,3.1,0.24941790391132154,0.6861010270113422,1.1619107746655185e-10,0.4366831231000207,0.2,0.2
Ue,3.2,0.24044044090562902,0.6873334059603554,1.3751823024369246e-10,0.4468929650547264,0.2,0.2
Ue,3.3,0.23163815594506287,0.6884616264682502,1.6194581807278333e-10,0.45682347052318734,0.2,0.2
Ue,3.4,0.22301544937647094,0.6894909904182234,1.8980582621986023e-10,0.46647554104175243,0.2,0.2
Ue,3.5,0.2145917258730408,0.6904277990257641,2.214528226734927e-10,0.47583607315272336,0.2,0.2
Ue,3.6,0.20639107940906365,0.6912779633720592,2.572639220246628e-10,0.4848868839629956,0.2,0.2
Ue,3.7,0.19843555117116876,0.6920475198063151,2.9764047475313685e-10,0.49361196863514634,0.2,0.2
Ue,3.8,0.1907432515679177,0.6927408481760564,3.430081451410485e-10,0.5019975966081388,0.2,0.2
Ue,3.9,0.18332726537335678,0.6933621725405793,3.9381788445859745e-10,0.5100349071672226,0.2,0.2
Ue,4.0,0.1761954656785993,0.6939163877755661,4.505473429075905e-10,0.5177209220969669,0.2,0.2
Ue,4.1,0.16935120389744612,0.6944088169396798,5.137016844999727e-10,0.5250576130422336,0.2,0.2
Ue,4.2,0.16279453545005665,0.6948441286441025,5.838127875092268e-10,0.5320495931940459,0.2,0.2
Ue,4.3,0.15652226633025543,0.6952273520950648,6.614415982318434e-10,0.5387050857648095,0.2,0.2
Ue,4.4,0.15052907328871393,0.6955629187898122,7.471772394484145e-10,0.5450338455010983,0.2,0.2
Ue,4.5,0.14480764280445219,0.6958554138918676,8.416393239202908e-10,0.5510477710874153,0.2,0.2
Ue,4.6,0.13934959541359213,0.696108648278028,9.454764589168242e-10,0.5567590528644359,0.2,0.2
Ue,4.7,0.1341453805813654,0.6963266789790957,1.0593696543965135e-09,0.5621812983977303,0.2,0.2
Ue,4.8,0.12918502843007607,0.6965129038045788,1.184030482460747e-09,0.5673278753745027,0.2,0.2
Ue,4.9,0.12445801250279373,0.6966709577656728,1.3202048962016023e-09,0.5722129452628791,0.2,0.2
Ue,5.0,0.11995409753685352,0.6968031956998255,1.4686677493991095e-09,0.576849098162972,0.2,0.2
Ue,5.1,0.11566298744694418,0.6969118524274649,1.6302271318217486e-09,0.5812488649805208,0.2,0.2
Ue,5.2,0.11157450821260506,0.696998926607594,1.8057244111822463e-09,0.5854244183949889,0.2,0.2
Ue,5.3,0.10767870276178891,0.6970661938742753,1.996034692518945e-09,0.5893874911124863,0.2,0.2
Ue,5.4,0.10396577190741457,0.6971155948527352,2.2020699662311204e-09,0.5931498229453207,0.2,0.2
Ue,5.5,0.10042639397618247,0.6971484985590767,2.424774868180431e-09,0.5967221045828943,0.2,0.2
Ue,5.6,0.09705153315982151,0.6971663447718313,2.6651312878823503e-09,0.6001148116120096,0.2,0.2
Ue,5.7,0.09383251136861674,0.6971705333545151,2.9241585723279724e-09,0.6033380219858984,0.2,0.2
Ue,5.8,0.09076106191528578,0.6971623091817315,3.2029132046130285e-09,0.6064012472664458,0.2,0.2
Ue,5.9,0.08782936614116595,0.697142650518432,3.5024878727531737e-09,0.6093132843772661,0.2,0.2
Ue,6.0,0.08502993886322747,0.6971126505243532,3.824015962983504e-09,0.6120827116611258,0.2,0.2
Umu,0.2,0.8554404404392842,0.0,1.268360171943244e-16,0.8554404404392842,0.05,0.05
Umu,0.25,0.8747165056217849,0.0,5.019689610597685e-16,0.8747165056217849,0.05,0.05
Umu,0.3,0.893861007678618,0.0,1.6655568078815083e-15,0.893861007678618,0.05,0.05
Umu,0.35,0.8810840711264176,0.0,3.571105412774326e-15,0.8810840711264176,0.05,0.05
Umu,0.4,0.8597964509946556,0.0,6.413774630629052e-15,0.8597964509946556,0.05,0.05
Umu,0.45,0.834266979950076,0.0,1.0412669946783004e-14,0.834266979950076,0.05,0.05
Umu,0.5,0.8062409873213363,0.0,1.5826582045940237e-14,0.8062409873213363,0.05,0.05
Umu,0.55,0.7767252544407864,0.0,2.2958093854864323e-14,0.7767252544407864,0.05,0.05
Umu,0.6,0.7494504445082026,0.0,3.254751945079043e-14,0.7494504445082026,0.05,0.05
Umu,0.65,0.7252680462934161,0.0,4.5334764317528033e-14,0.7252680462934161,0.05,0.05
Umu,0.7,0.7025038030563691,0.0,6.179629645608619e-14,0.7025038030563691,0.05,0.05
Umu,0.75,0.6803867107791082,0.0,8.247710544403494e-14,0.6803867107791082,0.05,0.05
Umu,0.8,0.6592792928128318,0.0,1.0820630166494129e-13,0.6592792928128318,0.05,0.05
Umu,0.85,0.6420996143495913,0.0,1.4098715179222999e-13,0.6420996143495913,0.05,0.05
Umu,0.9,0.6532194291303788,0.0,1.9540321016667808e-13,0.6532194291303788,0.05,0.05
Umu,0.95,0.667789876406613,0.0,2.693560890062704e-13,0.667789876406613,0.05,0.05
Umu,1.0,0.6562223089706085,0.6824932164767591,3.6664439444667475e-13,0.026270907506150624,0.05,0.05
Umu,1.1,0.6732439779390126,0.6784435124639229,5.893338020948691e-13,0.005199534524910265,0.05,0.06875000000000002
Umu,1.2,0.6663353548700971,0.6749987905244851,9.083426100976229e-13,0.008663435654388053,0.05,0.0875
Umu,1.3,0.639527617815214,0.6720327982331139,1.3518082583649297e-12,0.032505180417899994,0.05,0.10625000000000001
Umu,1.4,0.6016579042574992,0.6694515026265248,1.9528478835592527e-12,0.06779359836902556,0.06779359836902556,0.125
Umu,1.5,0.559356104364535,0.6671919719588453,2.7500292401037684e-12,0.10783586759431023,0.10783586759431023,0.14375000000000002
Umu,1.6,0.5161775414741374,0.6654952004981148,3.79106112841672e-12,0.14931765902397742,0.14931765902397742,0.16250000000000003
Umu,1.7,0.47421415417025464,0.6644494614870629,5.132012016249914e-12,0.19023530731680824,0.19023530731680824,0.19023530731680824
Umu,1.8,0.4345384232360583,0.664101273324498,6.839045230536424e-12,0.22956285008843974,0.2,0.2
Umu,1.9,0.39765570640482295,0.6644421223271434,8.989272543293436e-12,0.2667864159223205,0.2,0.2
Umu,2.0,0.3637685096600823,0.6653931475851534,1.1670904844142047e-11,0.30162463792507116,0.2,0.2
Umu,2.1,0.3345015964615968,0.666823626884298,1.4984321109672707e-11,0.33232203042270114,0.2,0.2
Umu,2.2,0.31094268430446936,0.6685944199011787,1.9043508983826945e-11,0.35765173559670943,0.2,0.2
Umu,2.3,0.3042114661744382,0.6705714839669339,2.397638076578066e-11,0.36636001779249566,0.2,0.2
Umu,2.4,0.29986624407595114,0.6726393433087031,2.9925286135579083e-11,0.372773099232752,0.2,0.2
Umu,2.5,0.29568890612257986,0.6747085376270073,3.7047768247959106e-11,0.37901963150442747,0.2,0.2
Umu,2.6,0.2905849551725028,0.6767177743087064,4.551767038737689e-11,0.38613281913620356,0.2,0.2
Umu,2.7,0.28423950592655317,0.6786304211209059,5.552632418651838e-11,0.39439091519435276,0.2,0.2
Umu,2.8,0.276720192435636,0.6804287349825517,6.728372312318693e-11,0.4037085425469158,0.2,0.2
Umu,2.9,0.26825192355039557,0.6821045112201818,8.101873726302152e-11,0.4138525876697862,0.2,0.2
Umu,3.0,0.2591109348492932,0.6836554260734233,9.697960905664681e-11,0.4245444912241302,0.2,0.2
Umu,3.1,0.24994512198336688,0.6850832362554512,1.1543459943341551e-10,0.4351381142720843,0.2,0.2
Umu,3.2,0.2409702575616867,0.6863940189885345,1.3667333331712118e-10,0.44542376142684775,0.2,0.2
Umu,3.3,0.2321594612199754,0.6875931459581316,1.610060171128749e-10,0.4554336847381561,0.2,0.2
Umu,3.4,0.2235206624844892,0.688686639843585,1.8876444474554803e-10,0.46516597735909576,0.2,0.2
Umu,3.5,0.21507592263524342,0.6896814786080282,2.2030299150748216e-10,0.47460555597278475,0.2,0.2
Umu,3.6,0.2068513021730489,0.6905841970651581,2.5599858220190167e-10,0.48373289489210913,0.2,0.2
Umu,3.7,0.19887027183520675,0.6914013993278445,2.9625237496968333e-10,0.4925311274926378,0.2,0.2
Umu,3.8,0.1911519620616176,0.6921379747724549,3.414898447895708e-10,0.5009860127108372,0.2,0.2
Umu,3.9,0.18371017047775576,0.69279860574474,3.921617535467037e-10,0.5090884352669842,0.2,0.2
Umu,4.0,0.17655325438915467,0.6933885990480604,4.487455578868636e-10,0.5168353446589057,0.2,0.2
Umu,4.1,0.16968488114401434,0.6939136466586853,5.11746224179844e-10,0.5242287655146709,0.2,0.2
Umu,4.2,0.1631053000582714,0.6943787458532988,5.816954361168801e-10,0.5312734457950274,0.2,0.2
Umu,4.3,0.15681142239573043,0.6947892189766077,6.591539407728137e-10,0.5379777965808773,0.2,0.2
Umu,4.4,0.15079796770463696,0.6951497579042045,7.447106641419789e-10,0.5443517901995675,0.2,0.2
Umu,4.5,0.14505762122632201,0.6954651794692184,8.389850179471886e-10,0.5504075582428964,0.2,0.2
Umu,4.6,0.13958197273351705,0.695739499964817,9.42625412767459e-10,0.5561575272312999,0.2,0.2
Umu,4.7,0.13436142104510027,0.6959769592392439,1.0563126559905928e-09,0.5616155381941436,0.2,0.2
Umu,4.8,0.12938593368446094,0.6961811172912504,1.1807581206505524e-09,0.5667951836067895,0.2,0.2
Umu,4.9,0.1246449145472167,0.69635575363359,1.3167075537986795e-09,0.5717108390863734,0.2,0.2
Umu,5.0,0.12012805615906132,0.69650335109242,1.4649356159336372e-09,0.5763752949333587,0.2,0.2
Umu,5.1,0.1158249897430835,0.6966262585811711,1.6262502033084047e-09,0.5808012688380877,0.2,0.2
Umu,5.2,0.11172546999055818,0.6967265765132108,1.8014924916060314e-09,0.5850011065226527,0.2,0.2
Umu,5.3,0.10781947114854487,0.6968061713858171,1.9915373955418583e-09,0.5889867002372723,0.2,0.2
Umu,5.4,0.10409712859598491,0.696867065244549,2.1972967102676838e-09,0.5927699366485641,0.2,0.2
Umu,5.5,0.10054905918462267,0.6969106997626744,2.4197148837073143e-09,0.5963616405780517,0.2,0.2
Umu,5.6,0.0971661702113132,0.6969385779327081,2.6597735964720173e-09,0.5997724077213948,0.2,0.2
Umu,5.7,0.09393972970276855,0.6969521592030581,2.918492006783416e-09,0.6030124295002895,0.2,0.2
Umu,5.8,0.09086142108167708,0.6969527422703502,3.1969264138650618e-09,0.606091321188673,0.2,0.2
Umu,5.9,0.08792337995439042,0.6969413531342408,3.496169320195918e-09,0.6090179731798503,0.2,0.2
Umu,6.0,0.08511807903564629,0.6969191280567454,3.81735392188473e-09,0.6118010490210991,0.2,0.2
Utau,0.2,0.8682532736104823,0.0,1.2496429522355396e-16,0.8682532736104823,0.05,0.05
Utau,0.25,0.8770713981836545,0.0,4.090357652558186e-16,0.8770713981836545,0.05,0.05
Utau,0.3,0.8619299298618455,0.0,9.11433974593615e-16,0.8619299298618455,0.05,0.05
Utau,0.35,0.8380579632588715,0.0,1.6957690330669221e-15,0.8380579632588715,0.05,0.05
Utau,0.4,0.8094621946655547,0.0,2.839732002452638e-15,0.8094621946655547,0.05,0.05
Utau,0.45,0.7780350737554476,0.0,4.436565585937866e-15,0.7780350737554476,0.05,0.05
Utau,0.5,0.7449725935924167,0.0,6.596940763224431e-15,0.7449725935924167,0.05,0.05
Utau,0.55,0.7111570128048146,0.0,9.451639588819839e-15,0.7111570128048146,0.05,0.05
Utau,0.6,0.6865523991439958,0.0,1.3543523836107877e-14,0.6865523991439958,0.05,0.05
Utau,0.65,0.6714863319306846,0.0,1.938714461545077e-14,0.6714863319306846,0.05,0.05
Utau,0.7,0.6593006835480708,0.0,2.7203338399099605e-14,0.6593006835480708,0.05,0.05
Utau,0.75,0.6473017471838736,0.0,3.724875201011902e-14,0.6473017471838736,0.05,0.05
Utau,0.8,0.6361720740702287,0.0,5.002897767818531e-14,0.6361720740702287,0.05,0.05
Utau,0.85,0.6320935023531185,0.0,6.718610795599179e-14,0.6320935023531185,0.05,0.05
Utau,0.9,0.629647962699022,0.0,8.904399889620696e-14,0.629647962699022,0.05,0.05
Utau,0.95,0.6259228493438053,0.0,1.1577269983908016e-13,0.6259228493438053,0.05,0.05
Utau,1.0,0.6213444403453224,0.5875682850858003,1.4809083885163226e-13,0.0337761552595221,0.05,0.05
Utau,1.1,0.6198693580899046,0.5808085219147243,2.3832133070707553e-13,0.039060836175180295,0.05,0.06250000000000001
Utau,1.2,0.6230118752092989,0.5683836508021544,3.722010142625889e-13,0.05462822440714459,0.05462822440714459,0.075
Utau,1.3,0.6202386687681277,0.5659639568441993,5.524023183398362e-13,0.054274711923928375,0.054274711923928375,0.08750000000000001
Utau,1.4,0.6116618507419999,0.5728829986717702,7.837322704540633e-13,0.03877885207022969,0.05,0.09999999999999999
Utau,1.5,0.5989097124320479,0.5863856094400631,1.0727928001779908e-12,0.012524102991984769,0.05,0.1125
Utau,1.6,0.5712687403072616,0.5920250377475607,1.4579275278487482e-12,0.020756297440299134,0.05,0.125
Utau,1.7,0.5342473368628261,0.5904749534164868,1.9684561681526406e-12,0.056227616553660736,0.056227616553660736,0.1375
Utau,1.8,0.4975951182088501,0.5891118188375337,2.612956503402051e-12,0.09151670062868365,0.09151670062868365,0.15000000000000002
Utau,1.9,0.46248675949891654,0.5879134892327366,3.4163359059962105e-12,0.12542672973382007,0.12542672973382007,0.16249999999999998
Utau,2.0,0.4303555056062382,0.5868769643541107,4.4073425873280825e-12,0.15652145874787257,0.15652145874787257,0.175
Utau,2.1,0.40113241776479075,0.5860089128019367,5.621063694016496e-12,0.1848764950371459,0.1848764950371459,0.1875
Utau,2.2,0.3742484433236289,0.5853271785185628,7.10103284268324e-12,0.21107873519493392,0.2,0.2
Utau,2.3,0.3492138027289856,0.5848421504925411,8.900300618103473e-12,0.2356283477635555,0.2,0.2
Utau,2.4,0.32568443984830525,0.5845525920042748,1.1082245149636247e-11,0.25886815215596953,0.2,0.2
Utau,2.5,0.30345921847742124,0.5844482744750308,1.3721262385343465e-11,0.2809890559976096,0.2,0.2
Utau,2.6,0.2988067678060554,0.5845155139632491,1.69034699615313e-11,0.2857087461571937,0.2,0.2
Utau,2.7,0.2900918875380801,0.5847506717129729,2.0727915710928204e-11,0.29465878417489283,0.2,0.2
Utau,2.8,0.27772644947282116,0.5851603269005448,2.5307770274618286e-11,0.3074338774277236,0.2,0.2
Utau,2.9,0.2642559433911373,0.5857403247027176,3.077027704767777e-11,0.3214843813115804,0.2,0.2
Utau,3.0,0.2505025507090113,0.5864747865565468,3.725695952451468e-11,0.33597223584753555,0.2,0.2
Utau,3.1,0.2378840293524361,0.5873404877757644,4.492397558673651e-11,0.3494564584233283,0.2,0.2
Utau,3.2,0.22657954534725594,0.5883464798388575,5.394714909352092e-11,0.3617669344916015,0.2,0.2
Utau,3.3,0.21608518254146333,0.5896657912156588,6.45472226269135e-11,0.3735806086741954,0.2,0.2
Utau,3.4,0.20610254815342077,0.5914067339768115,7.697379029246364e-11,0.3853041858233907,0.2,0.2
Utau,3.5,0.1964807482960825,0.5936007701218863,9.150162309204657e-11,0.39712002182580375,0.2,0.2
Utau,3.6,0.18715893385317883,0.5962260101039083,1.0843047994992816e-10,0.4090670762507294,0.2,0.2
Utau,3.7,0.17812324889167683,0.5992162574929433,1.2808767478855126e-10,0.42109300860126647,0.2,0.2
Utau,3.8,0.1749249636612963,0.6024702202647286,1.508314204958225e-10,0.42754525660343234,0.2,0.2
Utau,3.9,0.1807629127963972,0.6058870087428609,1.770488837882727e-10,0.4251240959464638,0.2,0.2
Utau,4.0,0.19521919682911815,0.6093800398939017,2.071555647762623e-10,0.4141608430647835,0.2,0.2
Utau,4.1,0.19755955869493977,0.6128798360656877,2.415953353389764e-10,0.415320277370748,0.2,0.2
Utau,4.2,0.19616037806567038,0.616332407086701,2.8084009485870777e-10,0.4201720290210306,0.2,0.2
Utau,4.3,0.19276921434683236,0.6196985632172228,3.253908600353407e-10,0.42692934887039047,0.2,0.2
Utau,4.4,0.1881940281090926,0.6229505507469353,3.757776029478686e-10,0.4347565226378427,0.2,0.2
Utau,4.5,0.18290202759239663,0.6260705917355007,4.3256051888100986e-10,0.4431685641431042,0.2,0.2
Utau,4.6,0.1771931316103925,0.6290477725543047,4.963296438705881e-10,0.45185464094391214,0.2,0.2
Utau,4.7,0.17126980156111465,0.6318773927674447,5.677067280901804e-10,0.4606075912063301,0.2,0.2
Utau,4.8,0.1652725917010153,0.634558496169928,6.473447084631562e-10,0.46928590446891266,0.2,0.2
Utau,4.9,0.15929966902866446,0.6370936804634856,7.359299004895916e-10,0.4777940114348212,0.2,0.2
Utau,5.0,0.1534200458744717,0.639486510208587,8.341795708043195e-10,0.48606646433411527,0.2,0.2
Utau,5.1,0.14768129589186063,0.6417420812397054,9.42844320049361e-10,0.4940607853478448,0.2,0.2
Utau,5.2,0.1421154002421718,0.6438663505387803,1.062708391783636e-09,0.5017509502966084,0.2,0.2
Utau,5.3,0.13674288702336868,0.645865744063427,1.194590176663184e-09,0.5091228570400583,0.2,0.2
Utau,5.4,0.13157570333078739,0.647747275715514,1.339344228546972e-09,0.5161715723847267,0.2,0.2
Utau,5.5,0.126619771087355,0.6495175299463459,1.4978591886168452e-09,0.5228977588589909,0.2,0.2
Utau,5.6,0.12187639382459299,0.6511831984731536,1.671060575472508e-09,0.5293068046485607,0.2,0.2
Utau,5.7,0.11734357144827627,0.6527508470960813,1.859911192865078e-09,0.535407275647805,0.2,0.2
Utau,5.8,0.11301699263799633,0.6542267214138469,2.065411219631982e-09,0.5412097287758505,0.2,0.2
Utau,5.9,0.10889078391303679,0.6556165815745171,2.2885978657658506e-09,0.5467257976614802,0.2,0.2
Utau,6.0,0.1049579136019135,0.6569260826408526,2.5305483244920015e-09,0.5519681690389391,0.2,0.2
