# Job started on: Fri Feb 20 08:44:32 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Fri Feb 20 08:44:49 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   0.5051   -0.0909 3.1788e+06
   0.5051   -0.0303 3.1793e+06
   0.5051    0.0303 3.1793e+06
   0.5051    0.0909 3.1788e+06
   0.5051    0.1515 3.1776e+06
   0.5051    0.2121 3.1759e+06
   0.5051    0.2727 3.1737e+06
   0.5051    0.3333 3.1708e+06
   0.5051    0.3939 3.1674e+06
   0.5051    0.4545 3.1633e+06
   0.5051    0.5152 3.1587e+06
   0.5051    0.5758 3.1535e+06
   0.5051    0.6364 3.1477e+06
   0.5051    0.6970 3.1413e+06
   0.5051    0.7576 3.1344e+06
   0.5051    0.8182 3.1268e+06
   0.5051    0.8788 3.1186e+06
   0.5051    0.9394 3.1098e+06
   0.5051    1.0000 3.1005e+06
   0.5051    1.0606 3.0905e+06
   0.5051    1.1212 3.0799e+06
   0.5051    1.1818 3.0687e+06
   0.5051    1.2424 3.0569e+06
   0.5051    1.3030 3.0444e+06
   0.5051    1.3636 3.0314e+06
   0.5051    1.4242 3.0177e+06
   0.5051    1.4848 3.0033e+06
   0.5051    1.5455 2.9884e+06
   0.5051    1.6061 2.9727e+06
   0.5051    1.6667 2.9564e+06
   0.5051    1.7273 2.9395e+06
   0.5051    1.7879 2.9219e+06
   0.5051    1.8485 2.9036e+06
   0.5051    1.9091 2.8846e+06
   0.5051    1.9697 2.8650e+06
   0.5051    2.0303 2.8447e+06
   0.5051    2.0909 2.8237e+06
   0.5051    2.1515 2.8019e+06
   0.5051    2.2121 2.7795e+06
   0.5051    2.2727 2.7564e+06
   0.5051    2.3333 2.7325e+06
   0.5051    2.3939 2.7079e+06
   0.5051    2.4545 2.6826e+06
   0.5051    2.5152 2.6566e+06
   0.5051    2.5758 2.6298e+06
   0.5051    2.6364 2.6023e+06
   0.5051    2.6970 2.5740e+06
   0.5051    2.7576 2.5449e+06
   0.5051    2.8182 2.5151e+06
   0.5051    2.8788 2.4846e+06
   0.5051    2.9394 2.4533e+06
   0.5051    3.0000 2.4213e+06
   1.0101   -3.0000 4.4308e+06
   1.0101   -2.9394 4.4903e+06
   1.0101   -2.8788 4.5484e+06
   1.0101   -2.8182 4.6052e+06
   1.0101   -2.7576 4.6606e+06
   1.0101   -2.6970 4.7147e+06
   1.0101   -2.6364 4.7673e+06
   1.0101   -2.5758 4.8186e+06
   1.0101   -2.5152 4.8685e+06
   1.0101   -2.4545 4.9170e+06
   1.0101   -2.3939 4.9641e+06
   1.0101   -2.3333 5.0100e+06
   1.0101   -2.2727 5.0545e+06
   1.0101   -2.2121 5.0976e+06
   1.0101   -2.1515 5.1395e+06
   1.0101   -2.0909 5.1800e+06
   1.0101   -2.0303 5.2193e+06
   1.0101   -1.9697 5.2572e+06
   1.0101   -1.9091 5.2938e+06
   1.0101   -1.8485 5.3292e+06
   1.0101   -1.7879 5.3633e+06
   1.0101   -1.7273 5.3962e+06
   1.0101   -1.6667 5.4278e+06
   1.0101   -1.6061 5.4582e+06
   1.0101   -1.5455 5.4874e+06
   1.0101   -1.4848 5.5154e+06
   1.0101   -1.4242 5.5422e+06
   1.0101   -1.3636 5.5678e+06
   1.0101   -1.3030 5.5922e+06
   1.0101   -1.2424 5.6155e+06
   1.0101   -1.1818 5.6376e+06
   1.0101   -1.1212 5.6585e+06
   1.0101   -1.0606 5.6783e+06
   1.0101   -1.0000 5.6969e+06
   1.0101   -0.9394 5.7144e+06
   1.0101   -0.8788 5.7307e+06
   1.0101   -0.8182 5.7459e+06
   1.0101   -0.7576 5.7600e+06
   1.0101   -0.6970 5.7731e+06
   1.0101   -0.6364 5.7850e+06
   1.0101   -0.5758 5.7958e+06
   1.0101   -0.5152 5.8055e+06
   1.0101   -0.4545 5.8141e+06
   1.0101   -0.3939 5.8217e+06
   1.0101   -0.3333 5.8282e+06
   1.0101   -0.2727 5.8336e+06
   1.0101   -0.2121 5.8380e+06
   1.0101   -0.1515 5.8412e+06
   1.0101   -0.0909 5.8434e+06
   1.0101   -0.0303 5.8445e+06
   1.0101    0.0303 5.8445e+06
   1.0101    0.0909 5.8434e+06
   1.0101    0.1515 5.8412e+06
   1.0101    0.2121 5.8380e+06
   1.0101    0.2727 5.8336e+06
   1.0101    0.3333 5.8282e+06
   1.0101    0.3939 5.8217e+06
   1.0101    0.4545 5.8141e+06
   1.0101    0.5152 5.8055e+06
   1.0101    0.5758 5.7958e+06
   1.0101    0.6364 5.7850e+06
   1.0101    0.6970 5.7731e+06
   1.0101    0.7576 5.7600e+06
   1.0101    0.8182 5.7459e+06
   1.0101    0.8788 5.7307e+06
   1.0101    0.9394 5.7144e+06
   1.0101    1.0000 5.6969e+06
   1.0101    1.0606 5.6783e+06
   1.0101    1.1212 5.6585e+06
   1.0101    1.1818 5.6376e+06
   1.0101    1.2424 5.6155e+06
   1.0101    1.3030 5.5922e+06
   1.0101    1.3636 5.5678e+06
   1.0101    1.4242 5.5422e+06
   1.0101    1.4848 5.5154e+06
   1.0101    1.5455 5.4874e+06
   1.0101    1.6061 5.4582e+06
   1.0101    1.6667 5.4278e+06
   1.0101    1.7273 5.3962e+06
   1.0101    1.7879 5.3633e+06
   1.0101    1.8485 5.3292e+06
   1.0101    1.9091 5.2938e+06
   1.0101    1.9697 5.2572e+06
   1.0101    2.0303 5.2193e+06
   1.0101    2.0909 5.1800e+06
   1.0101    2.1515 5.1395e+06
   1.0101    2.2121 5.0976e+06
   1.0101    2.2727 5.0545e+06
   1.0101    2.3333 5.0100e+06
   1.0101    2.3939 4.9641e+06
   1.0101    2.4545 4.9170e+06
   1.0101    2.5152 4.8685e+06
   1.0101    2.5758 4.8186e+06
   1.0101    2.6364 4.7673e+06
   1.0101    2.6970 4.7147e+06
   1.0101    2.7576 4.6606e+06
   1.0101    2.8182 4.6052e+06
   1.0101    2.8788 4.5484e+06
   1.0101    2.9394 4.4903e+06
   1.0101    3.0000 4.4308e+06
   1.5152   -3.0000 5.8847e+06
   1.5152   -2.9394 5.9656e+06
   1.5152   -2.8788 6.0447e+06
   1.5152   -2.8182 6.1221e+06
   1.5152   -2.7576 6.1975e+06
   1.5152   -2.6970 6.2712e+06
   1.5152   -2.6364 6.3431e+06
   1.5152   -2.5758 6.4131e+06
   1.5152   -2.5152 6.4812e+06
   1.5152   -2.4545 6.5475e+06
   1.5152   -2.3939 6.6120e+06
   1.5152   -2.3333 6.6746e+06
   1.5152   -2.2727 6.7355e+06
   1.5152   -2.2121 6.7946e+06
   1.5152   -2.1515 6.8519e+06
   1.5152   -2.0909 6.9074e+06
   1.5152   -2.0303 6.9611e+06
   1.5152   -1.9697 7.0131e+06
   1.5152   -1.9091 7.0633e+06
   1.5152   -1.8485 7.1118e+06
   1.5152   -1.7879 7.1586e+06
   1.5152   -1.7273 7.2037e+06
   1.5152   -1.6667 7.2471e+06
   1.5152   -1.6061 7.2888e+06
   1.5152   -1.5455 7.3289e+06
   1.5152   -1.4848 7.3673e+06
   1.5152   -1.4242 7.4040e+06
   1.5152   -1.3636 7.4391e+06
   1.5152   -1.3030 7.4727e+06
   1.5152   -1.2424 7.5046e+06
   1.5152   -1.1818 7.5349e+06
   1.5152   -1.1212 7.5637e+06
   1.5152   -1.0606 7.5908e+06
   1.5152   -1.0000 7.6164e+06
   1.5152   -0.9394 7.6405e+06
   1.5152   -0.8788 7.6629e+06
   1.5152   -0.8182 7.6839e+06
   1.5152   -0.7576 7.7033e+06
   1.5152   -0.6970 7.7212e+06
   1.5152   -0.6364 7.7376e+06
   1.5152   -0.5758 7.7524e+06
   1.5152   -0.5152 7.7658e+06
   1.5152   -0.4545 7.7777e+06
   1.5152   -0.3939 7.7881e+06
   1.5152   -0.3333 7.7970e+06
   1.5152   -0.2727 7.8043e+06
   1.5152   -0.2121 7.8103e+06
   1.5152   -0.1515 7.8147e+06
   1.5152   -0.0909 7.8177e+06
   1.5152   -0.0303 7.8191e+06
   1.5152    0.0303 7.8191e+06
   1.5152    0.0909 7.8177e+06
   1.5152    0.1515 7.8147e+06
   1.5152    0.2121 7.8103e+06
   1.5152    0.2727 7.8043e+06
   1.5152    0.3333 7.7970e+06
   1.5152    0.3939 7.7881e+06
   1.5152    0.4545 7.7777e+06
   1.5152    0.5152 7.7658e+06
   1.5152    0.5758 7.7524e+06
   1.5152    0.6364 7.7376e+06
   1.5152    0.6970 7.7212e+06
   1.5152    0.7576 7.7033e+06
   1.5152    0.8182 7.6839e+06
   1.5152    0.8788 7.6629e+06
   1.5152    0.9394 7.6405e+06
   1.5152    1.0000 7.6164e+06
   1.5152    1.0606 7.5908e+06
   1.5152    1.1212 7.5637e+06
   1.5152    1.1818 7.5349e+06
   1.5152    1.2424 7.5046e+06
   1.5152    1.3030 7.4727e+06
   1.5152    1.3636 7.4391e+06
   1.5152    1.4242 7.4040e+06
   1.5152    1.4848 7.3673e+06
   1.5152    1.5455 7.3289e+06
   1.5152    1.6061 7.2888e+06
   1.5152    1.6667 7.2471e+06
   1.5152    1.7273 7.2037e+06
   1.5152    1.7879 7.1586e+06
   1.5152    1.8485 7.1118e+06
   1.5152    1.9091 7.0633e+06
   1.5152    1.9697 7.0131e+06
   1.5152    2.0303 6.9611e+06
   1.5152    2.0909 6.9074e+06
   1.5152    2.1515 6.8519e+06
   1.5152    2.2121 6.7946e+06
   1.5152    2.2727 6.7355e+06
   1.5152    2.3333 6.6746e+06
   1.5152    2.3939 6.6120e+06
   1.5152    2.4545 6.5475e+06
   1.5152    2.5152 6.4812e+06
   1.5152    2.5758 6.4131e+06
   1.5152    2.6364 6.3431e+06
