6.66009500e-01,7.22558392e+01,-2.13073485e+01,-1.04547843e+01,6.82234780e+01,2.40000000e+01
3.33004750e-01,6.66459958e+01,-6.98110706e-01,-3.93694413e-01,-6.66174802e+01,1.00000000e+00
3.33004750e-01,2.77893929e+01,6.98110706e-01,3.93694413e-01,-2.77209357e+01,1.00000000e+00
3.33004750e-01,6.05216332e+02,-1.45554264e+00,2.70268026e+00,6.05205938e+02,2.00000000e+00
3.33004750e-01,1.59117839e+03,1.45554264e+00,-2.70268026e+00,1.59117444e+03,2.00000000e+00
6.66009500e-01,5.36657201e+01,1.32918004e+01,-3.20057356e+01,-4.09366916e+01,-2.40000000e+01
3.33004750e-01,8.23504535e+00,6.11089347e-01,3.50542735e-01,-8.01011439e+00,-2.00000000e+00
3.33004750e-01,5.44542477e+00,-6.11089347e-01,-3.50542735e-01,-5.09888336e+00,-2.00000000e+00
3.33004750e-01,1.29861352e+03,2.47950049e-01,-1.12233377e+00,1.29861180e+03,2.00000000e+00
3.33004750e-01,7.79762428e+02,-2.47950049e-01,1.12233377e+00,7.79759556e+02,2.00000000e+00
3.33004750e-01,2.35962426e+00,6.87150117e-01,1.27774120e+00,5.52539426e-01,4.00000000e+00
3.33004750e-01,4.31858258e+00,-6.87150117e-01,-1.27774120e+00,3.65891085e+00,4.00000000e+00
3.33004750e-01,3.60939193e+01,7.76665360e-01,-2.45562963e-01,3.60409458e+01,2.00000000e+00
3.33004750e-01,6.66943381e+00,-7.76665360e-01,2.45562963e-01,6.37652790e+00,2.00000000e+00
3.33004750e-01,2.69499465e+01,-4.42163527e-01,6.09385713e+00,-2.61879988e+01,-1.00000000e+00
3.33004750e-01,5.84337907e+01,4.42163527e-01,-6.09385713e+00,-5.80863113e+01,-1.00000000e+00
3.33004750e-01,2.83315226e+02,-2.37989735e-01,7.41054514e-01,-2.83308584e+02,-2.00000000e+00
3.33004750e-01,6.84902074e+02,2.37989735e-01,-7.41054514e-01,-6.84899327e+02,-2.00000000e+00
3.33004750e-01,5.62864205e+01,2.36971129e+01,3.63558124e+01,-3.58009100e+01,2.30000000e+01
3.33004750e-01,4.37057541e+01,-2.36971129e+01,-3.63558124e+01,-4.87205878e+00,2.30000000e+01
6.66009500e-01,3.14330124e+02,-2.05382618e+01,6.13240777e+00,-3.13593435e+02,-2.40000000e+01
6.66009500e-01,3.36304213e+03,-9.52614595e+00,-8.35613425e+00,3.36301779e+03,2.40000000e+01
6.66009500e-01,8.53252871e+01,1.08449619e+01,3.90546242e+01,-7.50624408e+01,-2.40000000e+01
3.33004750e-01,3.25256146e+00,1.19932951e+00,-1.60328270e+00,-1.84730082e+00,4.00000000e+00
