# Job started on: Sat Feb 21 16:27:05 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Sat Feb 21 16:27:23 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   0.5051   -0.1515 1.4019e+08
   0.5051   -0.0909 1.4018e+08
   0.5051   -0.0303 1.4018e+08
   0.5051    0.0303 1.4018e+08
   0.5051    0.0909 1.4018e+08
   0.5051    0.1515 1.4019e+08
   0.5051    0.2121 1.4021e+08
   0.5051    0.2727 1.4023e+08
   0.5051    0.3333 1.4026e+08
   0.5051    0.3939 1.4030e+08
   0.5051    0.4545 1.4034e+08
   0.5051    0.5152 1.4038e+08
   0.5051    0.5758 1.4043e+08
   0.5051    0.6364 1.4049e+08
   0.5051    0.6970 1.4055e+08
   0.5051    0.7576 1.4062e+08
   0.5051    0.8182 1.4070e+08
   0.5051    0.8788 1.4078e+08
   0.5051    0.9394 1.4086e+08
   0.5051    1.0000 1.4095e+08
   0.5051    1.0606 1.4104e+08
   0.5051    1.1212 1.4114e+08
   0.5051    1.1818 1.4124e+08
   0.5051    1.2424 1.4134e+08
   0.5051    1.3030 1.4145e+08
   0.5051    1.3636 1.4157e+08
   0.5051    1.4242 1.4168e+08
   0.5051    1.4848 1.4180e+08
   0.5051    1.5455 1.4192e+08
   0.5051    1.6061 1.4204e+08
   0.5051    1.6667 1.4217e+08
   0.5051    1.7273 1.4229e+08
   0.5051    1.7879 1.4241e+08
   0.5051    1.8485 1.4254e+08
   0.5051    1.9091 1.4266e+08
   0.5051    1.9697 1.4278e+08
   0.5051    2.0303 1.4289e+08
   0.5051    2.0909 1.4301e+08
   0.5051    2.1515 1.4312e+08
   0.5051    2.2121 1.4323e+08
   0.5051    2.2727 1.4333e+08
   0.5051    2.3333 1.4343e+08
   0.5051    2.3939 1.4352e+08
   0.5051    2.4545 1.4361e+08
   0.5051    2.5152 1.4369e+08
   0.5051    2.5758 1.4375e+08
   0.5051    2.6364 1.4381e+08
   0.5051    2.6970 1.4385e+08
   0.5051    2.7576 1.4388e+08
   0.5051    2.8182 1.4390e+08
   0.5051    2.8788 1.4390e+08
   0.5051    2.9394 1.4389e+08
   0.5051    3.0000 1.4386e+08
   1.0101   -3.0000 2.4007e+08
   1.0101   -2.9394 2.4102e+08
   1.0101   -2.8788 2.4193e+08
   1.0101   -2.8182 2.4280e+08
   1.0101   -2.7576 2.4362e+08
   1.0101   -2.6970 2.4441e+08
   1.0101   -2.6364 2.4515e+08
   1.0101   -2.5758 2.4586e+08
   1.0101   -2.5152 2.4653e+08
   1.0101   -2.4545 2.4717e+08
   1.0101   -2.3939 2.4777e+08
   1.0101   -2.3333 2.4835e+08
   1.0101   -2.2727 2.4890e+08
   1.0101   -2.2121 2.4942e+08
   1.0101   -2.1515 2.4991e+08
   1.0101   -2.0909 2.5037e+08
   1.0101   -2.0303 2.5081e+08
   1.0101   -1.9697 2.5123e+08
   1.0101   -1.9091 2.5162e+08
   1.0101   -1.8485 2.5200e+08
   1.0101   -1.7879 2.5235e+08
   1.0101   -1.7273 2.5268e+08
   1.0101   -1.6667 2.5300e+08
   1.0101   -1.6061 2.5329e+08
   1.0101   -1.5455 2.5357e+08
   1.0101   -1.4848 2.5384e+08
   1.0101   -1.4242 2.5408e+08
   1.0101   -1.3636 2.5432e+08
   1.0101   -1.3030 2.5454e+08
   1.0101   -1.2424 2.5474e+08
   1.0101   -1.1818 2.5493e+08
   1.0101   -1.1212 2.5511e+08
   1.0101   -1.0606 2.5527e+08
   1.0101   -1.0000 2.5542e+08
   1.0101   -0.9394 2.5556e+08
   1.0101   -0.8788 2.5569e+08
   1.0101   -0.8182 2.5581e+08
   1.0101   -0.7576 2.5592e+08
   1.0101   -0.6970 2.5602e+08
   1.0101   -0.6364 2.5612e+08
   1.0101   -0.5758 2.5620e+08
   1.0101   -0.5152 2.5628e+08
   1.0101   -0.4545 2.5635e+08
   1.0101   -0.3939 2.5642e+08
   1.0101   -0.3333 2.5648e+08
   1.0101   -0.2727 2.5653e+08
   1.0101   -0.2121 2.5657e+08
   1.0101   -0.1515 2.5660e+08
   1.0101   -0.0909 2.5663e+08
   1.0101   -0.0303 2.5665e+08
   1.0101    0.0303 2.5665e+08
   1.0101    0.0909 2.5663e+08
   1.0101    0.1515 2.5660e+08
   1.0101    0.2121 2.5657e+08
   1.0101    0.2727 2.5653e+08
   1.0101    0.3333 2.5648e+08
   1.0101    0.3939 2.5642e+08
   1.0101    0.4545 2.5635e+08
   1.0101    0.5152 2.5628e+08
   1.0101    0.5758 2.5620e+08
   1.0101    0.6364 2.5612e+08
   1.0101    0.6970 2.5602e+08
   1.0101    0.7576 2.5592e+08
