mass_GeV,has_sensitivity,any_variation_sensitive,any_halo_variation_sensitive,decay_structure_variation,decay_structure_has_sensitivity,decay_structure_restores_sensitivity,decay_structure_removes_sensitivity,decay_structure_included_in_halo,numerical_control_n_sensitive,numerical_control_any_sensitive,numerical_control_all_sensitive,numerical_control_sensitive_variations,numerical_control_included_in_halo,halo_restores_sensitivity,halo_restores_sensitivity_variations,halo_removes_sensitivity,halo_removes_sensitivity_variations,envelope_definition,invf_min_central,invf_min_open,invf_min_decay_structure,invf_min_decay_structure_open,invf_min_central_repeat_1,invf_min_central_repeat_2,invf_min_scale_lo,invf_min_scale_hi,invf_min_scale_lo_variation,invf_min_scale_hi_variation,invf_min_mb_lo,invf_min_mb_hi,invf_min_mb_lo_variation,invf_min_mb_hi_variation,invf_min_gg_lo,invf_min_gg_hi,invf_min_gg_lo_variation,invf_min_gg_hi_variation,invf_min_cbs_lo,invf_min_cbs_hi,invf_min_cbs_lo_variation,invf_min_cbs_hi_variation,invf_min_pdf_p16,invf_min_pdf_p84,invf_min_pdf_log10_std,invf_min_pdf_n_finite,invf_min_envelope_lo,invf_min_envelope_hi,invf_min_any_variation_open,invf_min_variation_missing,invf_min_envelope_lo_source,invf_min_envelope_hi_source,invf_min_physical_envelope_max_abs_dex,invf_min_repeat_median_abs_dex,invf_min_repeat_max_abs_dex,invf_min_repeat_median_abs_fraction,invf_min_repeat_max_abs_fraction,invf_min_repeat_missing,invf_min_repeat_not_subdominant,invf_max_central,invf_max_open,invf_max_decay_structure,invf_max_decay_structure_open,invf_max_central_repeat_1,invf_max_central_repeat_2,invf_max_scale_lo,invf_max_scale_hi,invf_max_scale_lo_variation,invf_max_scale_hi_variation,invf_max_mb_lo,invf_max_mb_hi,invf_max_mb_lo_variation,invf_max_mb_hi_variation,invf_max_gg_lo,invf_max_gg_hi,invf_max_gg_lo_variation,invf_max_gg_hi_variation,invf_max_cbs_lo,invf_max_cbs_hi,invf_max_cbs_lo_variation,invf_max_cbs_hi_variation,invf_max_pdf_p16,invf_max_pdf_p84,invf_max_pdf_log10_std,invf_max_pdf_n_finite,invf_max_envelope_lo,invf_max_envelope_hi,invf_max_any_variation_open,invf_max_variation_missing,invf_max_envelope_lo_source,invf_max_envelope_hi_source,invf_max_physical_envelope_max_abs_dex,invf_max_repeat_median_abs_dex,invf_max_repeat_max_abs_dex,invf_max_repeat_median_abs_fraction,invf_max_repeat_max_abs_fraction,invf_max_repeat_missing,invf_max_repeat_not_subdominant,decay_structure_topology_differs,halo_topology_differs,halo_topology_difference_variations,numerical_control_topology_differs,numerical_control_topology_difference_variations,campaign_has_sensitivity,invf_min_campaign_central,invf_max_campaign_central,canonical_rebase_topology_compatible,envelope_reference
3.4,False,True,True,decay_2310_structural,False,False,False,False,0,False,False,,False,True,scale_muR0p5_muF1;scale_muR1_muF2;cbs_up,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,True,scale_muR0p5_muF1;scale_muR1_muF2;cbs_up,False,,False,,,True,canonical_high_statistics_central
3.5,False,True,True,decay_2310_structural,False,False,False,False,0,False,False,,False,True,cbs_up,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,True,cbs_up,False,,False,,,True,canonical_high_statistics_central
3.6,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
3.7,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
3.8,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
3.9,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.0,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.1,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.2,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.3,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.4,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.5,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.6,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.65,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.7,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
4.75,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
