variation,axis,mass_GeV,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,central_has_sensitivity,central_peak_N,central_peak_invf,central_invf_min,central_invf_max,central_invf_min_open,central_invf_max_open,restores_sensitivity,removes_sensitivity,topology_differs,comparison_role,included_in_pointwise_halo
decay_2310_structural,decay_structure,0.66,True,5784.743676761913,5.462233911935431e-07,3.95471415935379e-08,3.3817534332270492e-06,False,False,True,5789.446832304698,5.456866362715199e-07,3.9588764095712555e-08,3.3788458589103498e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.68,True,5801.240443075833,5.407699913950929e-07,3.8923931290608964e-08,3.244652633093911e-06,False,False,True,5790.494523027536,5.402849825834857e-07,3.891796745607492e-08,3.2458607217041273e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.7,True,5434.356913566423,5.285884127738124e-07,3.835645143190938e-08,3.143857525759831e-06,False,False,True,5456.238061373479,5.29469053681749e-07,3.837542225174383e-08,3.141284419139751e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.72,True,4985.1625055344575,5.08837523491691e-07,3.8105774624689854e-08,3.0334886293235018e-06,False,False,True,4983.7348714104555,5.086195735926499e-07,3.8117669262111574e-08,3.034566746317533e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.74,True,5012.345937038408,4.893273559295849e-07,3.7048680084350526e-08,2.929733432592559e-06,False,False,True,5007.83319429178,4.895268218634394e-07,3.7087917063090684e-08,2.9306396777993147e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.76,True,4552.514781716454,4.841964251725865e-07,3.7114353988514595e-08,2.848223895406796e-06,False,False,True,4535.162196454028,4.830493088332219e-07,3.709513477595774e-08,2.8506185821338724e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.78,True,4276.857561821772,4.662428793481579e-07,3.676367079971724e-08,2.7509889624863803e-06,False,False,True,4289.263424174844,4.662177465306458e-07,3.67376218111267e-08,2.7540059950212915e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.8,True,4207.258325549168,4.557493022653712e-07,3.6236950263830507e-08,2.648928199889261e-06,False,False,True,4203.746996448752,4.5579013888942907e-07,3.624942013584581e-08,2.6492868051288736e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.82,True,4142.319814764962,4.479111842242273e-07,3.5766798283074044e-08,2.5755119172816665e-06,False,False,True,4137.206043935386,4.479207359863006e-07,3.5790981289481235e-08,2.5766622108617376e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.84,True,3776.4159429916335,4.397557370590162e-07,3.5285427066059175e-08,2.4734608192931475e-06,False,False,True,3762.372160030117,4.392999225011429e-07,3.5380987302119775e-08,2.4737514858871933e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.86,True,3539.5348795472946,4.225218967246415e-07,3.516657931358843e-08,2.410820037657546e-06,False,False,True,3529.645804835306,4.2257526759545627e-07,3.5210210674062576e-08,2.4079163780393622e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.88,True,3455.3681770428225,4.127898249138246e-07,3.4848776957261426e-08,2.315941141590326e-06,False,False,True,3442.455200488597,4.122034620623098e-07,3.4829846898867584e-08,2.314955116857734e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.9,True,3112.8078570393104,3.984265378869384e-07,3.4299574382531943e-08,2.2222022866969155e-06,False,False,True,3085.0830024359216,3.971714816056519e-07,3.4276914632400796e-08,2.2161753575225053e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.92,True,2379.6564787104144,3.50632016177078e-07,3.2799752719928774e-08,1.9464605473714e-06,False,False,True,2360.704644690451,3.486846699491245e-07,3.2696376528799385e-08,1.9373676911410052e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.94,True,797.3878549680699,2.328569185958829e-07,2.8232963618757032e-08,1.1427503155320535e-06,False,False,True,791.3984253228209,2.3189142921712275e-07,2.8133426394411367e-08,1.1316729622496838e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.96,False,,,,,False,False,False,,,,,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.98,True,364.8337827885044,1.6068561715031862e-07,2.4049009148678924e-08,7.227433247414468e-07,False,False,True,260.3510546775533,1.3896646198606018e-07,2.266946089903856e-08,5.9869039029048e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.0,True,645.3943819053326,2.1180580660840746e-07,2.7055481247018036e-08,1.0038196808609449e-06,False,False,True,372.44345319346087,1.6729954164225746e-07,2.4609805309751605e-08,7.468680157178837e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.05,True,660.3048540711104,2.152902106730405e-07,2.7367250002363043e-08,1.0212935248486875e-06,False,False,True,238.11584082804757,1.3842224153280505e-07,2.2949794897308307e-08,5.834796436824263e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.1,True,413.5702965663213,1.7065658063647874e-07,2.4790475899081373e-08,7.747871451447715e-07,False,False,True,104.55351537827455,9.104938416748717e-08,1.909405997490303e-08,3.440413816281424e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.15,True,179.82531480201183,1.2016547328793597e-07,2.1877591148716785e-08,4.892082215003068e-07,False,False,True,39.00881500522651,5.7499211902210733e-08,1.6049310514720074e-08,1.781050714135662e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.18,True,136.3340723740414,1.0291161087223166e-07,1.9951893530550228e-08,3.899432227458175e-07,False,False,True,23.45363981357469,4.372590585512827e-08,1.4107862451792717e-08,1.1645206867297233e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.19,True,118.99409789885458,9.652527455857205e-08,1.9786145681604484e-08,3.68146475131934e-07,False,False,True,18.18961648676941,3.8603167376618855e-08,1.3787481052036411e-08,9.871662004753163e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
