control,decay_samples,flavor,mass_GeV,variation,u2_min_central,u2_min_varied,u2_min_shift_dex,u2_max_central,u2_max_varied,u2_max_shift_dex
controlA,200,Umu,0.9,pdf_0001,4.3084570452191835e-08,4.328001177565307e-08,0.001965602820434615,0.0268450355079968,0.0347876383448728,0.11256096372316188
controlA,200,Umu,1.6,scale_muR1_muF0p5,1.3369990536068609e-08,2.5238028795722484e-08,0.27592433168474256,0.0005249418855627,0.000674445944487,0.10883592067666882
controlB,200,Umu,0.9,pdf_0001,4.3046198225682443e-08,4.318823734320642e-08,0.0014306781353469742,0.0268074371811244,0.0349955597608589,0.11575764756739101
controlB,200,Umu,1.6,scale_muR1_muF0p5,1.3323087098825186e-08,2.5221914406598173e-08,0.2771731804543292,0.0005248669414873,0.0006782522236555,0.11134200649076353
