variation_index,variation_name,variation_axis,variation_direction,run_tag,bottom_grid_tag,charm_grid_tag,u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator,event_chunk,seed_salt
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,1.781973955737387e-08,0.0002304476263883,False,False,13052.394500681969,4.297004704320844e-06,True,1.8,Umu,499999,3851,3851,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,2.36717491140754e-08,0.0001090149160679,False,False,2552.204681333479,2.58261876068268e-06,True,2.0,Umu,399999,3104,3104,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,2.3796264211194055e-08,5.392321463550063e-05,False,False,946.5375663143196,1.552225357427048e-06,True,2.2,Umu,399999,3152,3152,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,2.4882427286908096e-08,2.8123444832074335e-05,False,False,340.14804364839944,1.059560179277617e-06,True,2.4,Umu,399999,3079,3079,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,3.19699637396984e-08,1.511476900638598e-05,False,False,92.91040298243198,6.368249944718587e-07,True,2.6,Umu,399999,2978,2978,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,4.6037916495564995e-08,8.366358998715896e-06,False,False,27.54902373561086,5.607169938205458e-07,True,2.8,Umu,399999,2942,2942,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,7.073532822386251e-08,4.637775577946099e-06,False,False,10.503704227367091,1.059560179277617e-06,True,3.0,Umu,399999,2977,2977,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,9.99596125022745e-08,2.59951014221428e-06,False,False,6.824258311220643,9.329304026284696e-07,True,3.2,Umu,399999,3041,3041,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,1.395722859344063e-07,1.3816890938294962e-06,False,False,4.487750922327347,6.368249944718587e-07,True,3.4,Umu,299999,2274,2274,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,2.576220158493886e-07,7.00252707654953e-07,False,False,3.3325745098815087,4.347013158125027e-07,True,3.6,Umu,299999,2298,2298,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,1.0946759017273852e-05,,False,True,7922535.317926021,0.0880488358164348,True,0.305,Utau,662957,5634,5634,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,3.095446029334271e-06,,False,True,1017624.8941364288,0.0078428220613376,True,0.5,Utau,662957,5275,5275,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,9.942599449172153e-07,,False,True,417462.6027014398,0.001499268432786,True,0.7,Utau,662957,5063,5063,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,5.306326194041179e-07,0.0564814597977378,False,False,109606.86941425774,0.0004198707084443,True,0.9,Utau,662957,4797,4797,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,4.688678606596602e-07,0.0290370030008733,False,False,45178.03364755975,0.0002221946860939,True,1.0,Utau,662957,4948,4948,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,3.6983731265633065e-07,0.0088594490966949,False,False,10412.052313500602,9.115888299750836e-05,True,1.2,Utau,662957,4654,4654,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,4.498056712449258e-07,0.0033561156906327,False,False,1798.045621049613,4.824108704165374e-05,True,1.4,Utau,662957,4716,4716,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,6.614876129904054e-07,0.001430448397265,False,False,616.4927089516593,0.0001956398343517,True,1.6,Utau,562957,3957,3957,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,5.13863106637463e-07,0.0006520525945652,False,False,304.04631978140264,0.0001035321843295,True,1.8,Utau,299999,2468,2468,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,4.395005402713873e-07,0.0003093237616308,False,False,152.99105814447765,5.478901179593945e-05,True,2.0,Utau,299999,2395,2395,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,3.729674709349384e-07,0.0001553814035706,False,False,79.94496734441017,2.8994228538828813e-05,True,2.2,Utau,299999,2415,2415,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,3.257921866752195e-07,8.058427208735026e-05,False,False,43.92065974664141,1.742633386009651e-05,True,2.4,Utau,299999,2334,2334,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,2.9613319029202093e-07,4.300885712610241e-05,False,False,25.97473155067612,1.0473708979594508e-05,True,2.6,Utau,299999,2310,2310,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,2.929488976911474e-07,2.4000962854512393e-05,False,False,16.98410400899718,6.294988990221888e-06,True,2.8,Utau,299999,2243,2243,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,2.972542524264172e-07,1.2850922893854876e-05,False,False,10.652309367759504,4.297004704320844e-06,True,3.0,Utau,299999,2246,2246,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,3.254334349719712e-07,7.198655641137825e-06,False,False,7.361096416043706,2.58261876068268e-06,True,3.2,Utau,300000,2306,2306,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,5.160082187575378e-07,3.801214333511785e-06,False,False,5.03995535576736,1.762914118095948e-06,True,3.4,Utau,300000,2239,2239,50,exact,1000,
0,central,central,0,band_central_651bfaf4_cfg81825753,central,central,6.945782805052233e-07,1.8669386468754688e-06,False,False,3.504446236233224,1.2033778407775905e-06,True,3.6,Utau,200000,1464,1464,50,exact,1000,
1,scale_muR0p5_muF0p5,scale,scale_muR0p5_muF0p5,band_scale_muR0p5_muF0p5_b0277fc5_cfg769a8d0e,scale_muR0p5_muF0p5,scale_muR0p5_muF0p5,1.4424343434847385e-08,,False,True,147130451881.2552,0.0114895100018731,True,0.305,Ue,1062957,7634,7634,50,exact,1000,
