flavor,mass_GeV,delta_bc,u2_min,u2_min_bc_lo,u2_min_bc_hi,bc_frac_at_u2min,decay_samples,max_hit_events,seed_salt,source_stage,central_has_sensitivity,bc_down_has_sensitivity,bc_up_has_sensitivity
Utau,3.2,0.4,3.012923809301271e-07,3.987588452275715e-07,2.42286015607662e-07,0.502742864604201,50,100000000,,broad_exact50,True,True,True
Utau,3.4,0.4,5.012187051339987e-07,6.004782254558761e-07,3.947351082967628e-07,0.3111989462597905,50,100000000,,broad_exact50,True,True,True
Utau,3.6,0.4,6.848102974469797e-07,7.444910174719235e-07,6.181718051184012e-07,0.1060560568442487,200,100000000,,closure_exact200,True,True,True
Utau,3.62,0.4,6.555571895221498e-07,7.285491564421802e-07,5.756085403428308e-07,0.149990402066274,200,100000000,,closure_exact200,True,True,True
Utau,3.63,0.4,6.642340884159387e-07,7.344313726442607e-07,5.875268820826848e-07,0.1418169582093207,200,100000000,,closure_exact200,True,True,True
Utau,3.64,0.4,6.881059717131796e-07,7.505315473551629e-07,6.198824258684927e-07,0.0967843370583715,200,100000000,,closure_exact200,True,True,True
Utau,3.65,0.4,6.905215314819682e-07,7.672036144396541e-07,6.10524453520532e-07,0.1079365854802825,200,100000000,,closure_exact200,True,True,True
Utau,3.675,0.4,7.71522155552068e-07,8.485446733521394e-07,6.948775967876494e-07,0.0868893834065474,200,100000000,,closure_exact200,True,True,True
Utau,3.685,0.4,7.879597522999378e-07,8.724285505531644e-07,7.099256419346888e-07,0.0642632260666787,400,100000000,,endpoint_exact400,True,True,True
Utau,3.7,0.4,,,,,400,100000000,,endpoint_exact400,False,False,False
