event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,event_decay_prob,particle1_decay_prob,particle2_decay_prob
48,9900015,2.57842,7.44694,0.547948,2210.48,79,83.88420665314432,False,,,,0.0,1,0,0.0,0.0,0.0
49,9900015,52.9783,-2.87359,-0.542057,470.367,79,17.84968089773241,False,,,,0.0,1,0,0.0,0.0,0.0
50,-9900015,11.8443,-1.97482,-3.05781,43.4929,79,1.6504865058921776,False,,,,0.0,1,0,0.0,0.0,0.0
51,-9900015,9.0645,5.07734,-2.85139,726.76,79,27.5793881995038,False,,,,0.0,1,0,0.0,0.0,0.0
52,-9900015,17.7485,-1.93373,2.36712,62.6507,79,2.377494601065899,False,,,,0.0,1,0,0.0,0.0,0.0
53,9900015,8.92446,4.25376,-0.79146,314.068,79,11.918381987233417,False,,,,0.0,1,0,0.0,0.0,0.0
54,9900015,11.0964,5.22639,1.51799,1032.66,79,39.18780755421267,False,,,,0.0,1,0,0.0,0.0,0.0
55,9900015,0.418066,-8.15758,-1.00108,729.467,79,27.682114551884304,False,,,,0.0,1,0,0.0,0.0,0.0
56,9900015,27.5693,0.124914,0.897172,27.7847,79,1.0543852541509622,False,,,,0.0,1,0,0.0,0.0,0.0
57,-9900015,6.51507,-4.63722,-2.87641,336.395,79,12.765656191001268,False,,,,0.0,1,0,0.0,0.0,0.0
58,9900015,9.231,-5.38391,-3.091,1005.62,79,38.16168248277975,False,,,,0.0,1,0,0.0,0.0,0.0
59,-9900015,14.0938,-3.56289,2.0712,248.71,79,9.438149649263291,False,,,,0.0,1,0,0.0,0.0,0.0
60,-9900015,5.8663,5.83016,-3.01464,998.492,79,37.89118619915646,False,,,,0.0,1,0,0.0,0.0,0.0
61,9900015,33.2646,-4.30589,1.08921,1233.27,79,46.8006385667924,False,,,,0.0,1,0,0.0,0.0,0.0
62,9900015,9.43489,-4.33241,0.591081,359.19,79,13.630690251774682,False,,,,0.0,1,0,0.0,0.0,0.0
63,9900015,12.7548,6.23654,-0.66149,3259.4,79,123.6890553930633,False,,,,0.0,1,0,0.0,0.0,0.0
64,-9900015,27.4079,4.49377,-2.19222,1226.09,79,46.52816896572405,False,,,,0.0,1,0,0.0,0.0,0.0
65,-9900015,6.13054,3.22619,-1.06005,77.3163,79,2.9340308380335953,False,,,,0.0,1,0,0.0,0.0,0.0
66,9900015,14.8673,0.662079,2.63466,18.2466,79,0.6924295017902279,False,,,,0.0,1,0,0.0,0.0,0.0
67,9900015,24.7343,4.4684,-0.808836,1078.77,79,40.937608850210125,False,,,,0.0,1,0,0.0,0.0,0.0
68,9900015,9.93459,-5.9347,-0.566551,1877.29,79,71.24017512390127,False,,,,0.0,1,0,0.0,0.0,0.0
69,9900015,17.3981,-4.77446,0.531267,1030.45,79,39.10394156279747,False,,,,0.0,1,0,0.0,0.0,0.0
70,9900015,80.9958,2.28892,0.287466,403.589,79,15.315561814147088,False,,,,0.0,1,0,0.0,0.0,0.0
